"line","lyric","element","element_artist"
1,"You took me back","Verse 1","Taylor Swift"
2,"But you shouldn't have","Verse 1","Taylor Swift"
3,"Now it's your fault if I mess around","Verse 1","Taylor Swift"
4,"I took a drag","Verse 1","Taylor Swift"
5,"But I shouldn't have","Verse 1","Taylor Swift"
6,"Now I'm coughing up like I","Verse 1","Taylor Swift"
7,"Never smoked a pack","Verse 1","Taylor Swift"
8,"Gasoline, pretty please","Chorus","Taylor Swift"
9,"I want to get off","Chorus","Taylor Swift"
10,"But you're such a tease","Chorus","Taylor Swift"
11,"Throw the keys back to me","Chorus","Taylor Swift"
12,"Go on and kick off your boots","Chorus","Taylor Swift"
13,"In the passenger seat","Chorus","Taylor Swift"
14,"I get sad, you know I get sad","Verse 2","Taylor Swift"
15,"And I can't look past what I'm sad about","Verse 2","Taylor Swift"
16,"You did me bad (Did me bad, did me bad)","Verse 2","Taylor Swift"
17,"And I did it back (Did it back, did it back)","Verse 2","Taylor Swift"
18,"You needed ass, well, what's","Verse 2","Taylor Swift"
19,"Wrong with that?","Verse 2","Taylor Swift"
20,"Gasoline (Gasoline), pretty please (Pretty please)","Chorus","Taylor Swift"
21,"I want to get off (Gasoline)","Chorus","Taylor Swift"
22,"But you're such a tease","Chorus","Taylor Swift"
23,"Throw the keys (Throw the keys) back to me (Back to me)","Chorus","Taylor Swift"
24,"Go on and kick off your boots (Gasoline)","Chorus","Taylor Swift"
25,"In the passenger seat","Chorus","Taylor Swift"
26,"Strike a match, strike a match, watch it blow","Bridge","Taylor Swift"
27,"We're watching the sunrise from the kitchen counter","Bridge","Taylor Swift"
28,"Want you bad, want you bad, don't you know?","Bridge","Taylor Swift"
29,"When you're lying between my legs it doesn't matter","Bridge","Taylor Swift"
30,"Strike a match, strike a match, watch it blow","Bridge","Taylor Swift"
31,"You say you wanna go slower but I wanna go faster","Bridge","Taylor Swift"
32,"Want you bad, want you bad, don't you know?","Bridge","Taylor Swift"
33,"Faster and faster","Bridge","Taylor Swift"
34,"Gasoline, pretty please","Outro","Taylor Swift"
35,"I want to get off","Outro","Taylor Swift"
36,"But you're such a tease","Outro","Taylor Swift"
