"line","lyric","element","element_artist"
1,"Don't look at me, you got a girl at home","Intro","Taylor Swift"
2,"And everybody knows that, everybody knows that, ah-ah","Intro","Taylor Swift"
3,"Don't look at me, you got a girl at home","Intro","Taylor Swift"
4,"And everybody knows that","Intro","Taylor Swift"
5,"I don't even know her","Verse 1","Taylor Swift"
6,"But I feel a responsibility","Verse 1","Taylor Swift"
7,"To do what's upstanding and right","Verse 1","Taylor Swift"
8,"It's kinda like a code, yeah","Verse 1","Taylor Swift"
9,"And you've been getting closer and closer","Verse 1","Taylor Swift"
10,"And crossing so many lines","Verse 1","Taylor Swift"
11,"And it would be a fine proposition","Pre-Chorus","Taylor Swift"
12,"If I was a stupid girl","Pre-Chorus","Taylor Swift"
13,"But, honey, I am no one's exception","Pre-Chorus","Taylor Swift"
14,"This, I have previously learned","Pre-Chorus","Taylor Swift"
15,"So don't look at me, you got a girl at home","Chorus","Taylor Swift"
16,"And everybody knows that, everybody knows that, ah-ah","Chorus","Taylor Swift"
17,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
18,"And everybody knows that, everybody knows that","Chorus","Taylor Swift"
19,"I see you turn off your phone","Chorus","Taylor Swift"
20,"And now you've got me alone, and I say","Chorus","Taylor Swift"
21,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
22,"And everybody knows that, everybody knows that","Chorus","Taylor Swift"
23,"I just wanna make sure","Verse 2","Taylor Swift"
24,"You understand perfectly","Verse 2","Taylor Swift"
25,"You're the kind of man who makes me sad","Verse 2","Taylor Swift"
26,"While she waits up","Verse 2","Taylor Swift"
27,"You chase down the newest thing","Verse 2","Taylor Swift"
28,"And take for granted what you have","Verse 2","Taylor Swift"
29,"And it would be a fine proposition","Pre-Chorus","Taylor Swift"
30,"If I was a stupid girl","Pre-Chorus","Taylor Swift"
31,"And, yeah, I might go with it","Pre-Chorus","Taylor Swift"
32,"If I hadn't once been just like her","Pre-Chorus","Taylor Swift"
33,"So don't look at me, you got a girl at home","Chorus","Taylor Swift"
34,"And everybody knows that, everybody knows that, ah-ah","Chorus","Taylor Swift"
35,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
36,"And everybody knows that, everybody knows that","Chorus","Taylor Swift"
37,"I see you turn off your phone","Chorus","Taylor Swift"
38,"And now you've got me alone, and I say","Chorus","Taylor Swift"
39,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
40,"And everybody knows that, everybody knows that","Chorus","Taylor Swift"
41,"Oh-oh","Post-Chorus","Taylor Swift"
42,"Oh-oh","Post-Chorus","Taylor Swift"
43,"Call a cab, lose my number","Bridge","Taylor Swift"
44,"You're about to lose your girl","Bridge","Taylor Swift"
45,"Call a cab, lose my number","Bridge","Taylor Swift"
46,"Let's consider this lesson learned","Bridge","Taylor Swift"
47,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
48,"And everybody knows that, everybody knows that, ah-ah","Chorus","Taylor Swift"
49,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
50,"And everybody knows that, everybody knows that","Chorus","Taylor Swift"
51,"Wanna see you pick up your phone","Chorus","Taylor Swift"
52,"And tell her you're coming home","Chorus","Taylor Swift"
53,"Don't look at me, you got a girl at home","Chorus","Taylor Swift"
54,"And everybody knows that, everybody knows that","Chorus","Taylor Swift"
55,"It would be a fine proposition","Outro","Taylor Swift"
56,"If I hadn't once been just like her","Outro","Taylor Swift"
