"line","lyric","element","element_artist"
1,"We were supposed to be just friends","Verse 1","Taylor Swift"
2,"You don't live in my part of town but maybe I'll see you out some weekend","Verse 1","Taylor Swift"
3,"Depending on what kind of mood and situationship I'm in","Verse 1","Taylor Swift"
4,"And what's in my system","Verse 1","Taylor Swift"
5,"I think there's been a glitch, ah-yeah","Chorus","Taylor Swift"
6,"Five seconds later, I'm fastenin' myself to you with a stitch, ah-yeah","Chorus","Taylor Swift"
7,"And I'm not even sorry, nights are so starry, blood moonlit","Chorus","Taylor Swift"
8,"It must be counterfeit","Chorus","Taylor Swift"
9,"I think there's been a glitch, uh-yeah","Chorus","Taylor Swift"
10,"Uh-huh, uh","Chorus","Taylor Swift"
11,"I was supposed to sweat you out","Verse 2","Taylor Swift"
12,"In search of glorious happenings of happenstance on someone else's playground","Verse 2","Taylor Swift"
13,"But it's been two-thousand one-hundred and ninety days of our love blackout","Verse 2","Taylor Swift"
14,"(Our love is blacking out)","Verse 2","Taylor Swift"
15,"The system's breaking down","Verse 2","Taylor Swift"
16,"(The system's breaking down)","Verse 2","Taylor Swift"
17,"I think there's been a glitch, ah-yeah","Chorus","Taylor Swift"
18,"Five seconds later, I'm fastenin' myself to you with a stitch, ah-yeah","Chorus","Taylor Swift"
19,"And I'm not even sorry, nights are so starry, blood moonlit","Chorus","Taylor Swift"
20,"It must be counterfeit","Chorus","Taylor Swift"
21,"I think there's been a glitch, uh-yeah","Chorus","Taylor Swift"
22,"Uh-huh, uh","Chorus","Taylor Swift"
23,"A brief interruption, a slight malfunction","Bridge","Taylor Swift"
24,"I'd go back to wanting dudes who give nothing","Bridge","Taylor Swift"
25,"I thought we had no chance","Bridge","Taylor Swift"
26,"And that's romance, let's dance","Bridge","Taylor Swift"
27,"Glitch, ah-yeah","Chorus","Taylor Swift"
28,"Five seconds later, I'm fastenin' myself to you with a stitch, ah-yeah","Chorus","Taylor Swift"
29,"And I'm not even sorry, nights are so starry, blood moon lit (Blood moon lit)","Chorus","Taylor Swift"
30,"It must be counterfeit (It must be counterfeit)","Chorus","Taylor Swift"
31,"I think there's been a glitch, uh-yeah","Chorus","Taylor Swift"
32,"Uh-huh, uh","Chorus","Taylor Swift"
