"line","lyric","element","element_artist"
1,"I was born in the arms of imaginary friends","Verse 1","Taylor Swift"
2,"Free to roam, made a home out of everywhere I've been","Verse 1","Taylor Swift"
3,"Then you come crashing in, like the realest thing","Verse 1","Taylor Swift"
4,"Trying my best to understand all that your love can bring","Verse 1","Taylor Swift"
5,"Oh half of my heart's got a grip on the situation","Chorus 1","Taylor Swift"
6,"Half of my heart takes time","Chorus 1","Taylor Swift"
7,"Half of my heart's got a right mind to tell you","Chorus 1","Taylor Swift"
8,"That I can't keep loving you (can't keep loving you)","Chorus 1","Taylor Swift"
9,"Oh, with half of my heart","Chorus 1","Taylor Swift"
10,"I was made to believe I'd never love somebody else","Verse 2","Taylor Swift"
11,"Made a plan, stay the man who can only love himself","Verse 2","Taylor Swift"
12,"Lonely was the song I sang, until the day you came","Verse 2","Taylor Swift"
13,"Showing me another way and all that my love can bring","Verse 2","Taylor Swift"
14,"Oh half of my heart's got a grip on the situation","Chorus 1","Taylor Swift"
15,"Half of my heart takes time","Chorus 1","Taylor Swift"
16,"Half of my heart's got a right mind to tell you","Chorus 1","Taylor Swift"
17,"That I can't keep loving you (can't keep loving you)","Chorus 1","Taylor Swift"
18,"Oh, with half of my heart","Chorus 1","Taylor Swift"
19,"Your faith is strong","Verse 3","Taylor Swift"
20,"But I can only fall short for so long","Verse 3","Taylor Swift"
21,"Down the road, later on","Verse 3","Taylor Swift"
22,"You will hate that I never gave more to you than half of my heart","Verse 3","Taylor Swift"
23,"But I can't stop loving you","Verse 3","Taylor Swift"
24,"I can't stop loving you","Backup Vocals","Taylor Swift"
25,"But I can't stop loving you with half of my","Backup Vocals","Taylor Swift"
26,"Half of my heart","Backup Vocals","Taylor Swift"
27,"Half of my heart","Backup Vocals","Taylor Swift"
28,"Half of my heart's got a real cool imagination","Chorus 2","Taylor Swift"
29,"Half of my heart's got you","Chorus 2","Taylor Swift"
30,"Half of my heart's got the right mind to tell you","Chorus 2","Taylor Swift"
31,"Half of my heart won't do","Chorus 2","Taylor Swift"
32,"Half of my heart is a shotgun wedding to a bride with a paper ring","Outro","Taylor Swift"
33,"And half of my heart is the part of a man who's never truly loved anything","Outro","Taylor Swift"
34,"Half of my heart","Outro","Taylor Swift"
35,"Half of my heart","Outro","Taylor Swift"
36,"Half of my heart","Outro","Taylor Swift"
37,"Half of my heart","Outro","Taylor Swift"
38,"Half of my heart","Outro","Taylor Swift"
39,"Half of my heart","Outro","Taylor Swift"
