"line","lyric","element","element_artist"
1,"You and I walk a fragile line","Verse 1","Taylor Swift"
2,"I have known it all this time","Verse 1","Taylor Swift"
3,"But I never thought I'd live to see it break","Verse 1","Taylor Swift"
4,"It's getting dark and it's all so quiet","Verse 1","Taylor Swift"
5,"And I can't trust anything now","Verse 1","Taylor Swift"
6,"And it's coming over you like it's all a big mistake","Verse 1","Taylor Swift"
7,"Oh, holding my breath","Pre-Chorus","Taylor Swift"
8,"Won't lose you again","Pre-Chorus","Taylor Swift"
9,"Something's made your eyes go cold","Pre-Chorus","Taylor Swift"
10,"Come on, come on, don't leave me like this","Chorus","Taylor Swift"
11,"I thought I had you figured out","Chorus","Taylor Swift"
12,"Something's gone terribly wrong","Chorus","Taylor Swift"
13,"You're all I wanted","Chorus","Taylor Swift"
14,"Come on, come on, don't leave me like this","Chorus","Taylor Swift"
15,"I thought I had you figured out","Chorus","Taylor Swift"
16,"Can't breathe whenever you're gone","Chorus","Taylor Swift"
17,"Can't turn back now, I'm haunted","Chorus","Taylor Swift"
18,"Stood there and watched you walk away","Verse 2","Taylor Swift"
19,"From everything we had","Verse 2","Taylor Swift"
20,"But I still mean every word I said to you","Verse 2","Taylor Swift"
21,"He will try to take away my pain","Verse 2","Taylor Swift"
22,"And he just might make me smile","Verse 2","Taylor Swift"
23,"But the whole time, I'm wishing he was you instead","Verse 2","Taylor Swift"
24,"Oh, holding my breath","Pre-Chorus","Taylor Swift"
25,"Won't see you again","Pre-Chorus","Taylor Swift"
26,"Something keeps me holding onto nothing","Pre-Chorus","Taylor Swift"
27,"Come on, come on, don't leave me like this","Chorus","Taylor Swift"
28,"I thought I had you figured out","Chorus","Taylor Swift"
29,"Something's gone terribly wrong","Chorus","Taylor Swift"
30,"You're all I wanted","Chorus","Taylor Swift"
31,"Come on, come on, don't leave me like this","Chorus","Taylor Swift"
32,"I thought I had you figured out","Chorus","Taylor Swift"
33,"Can't breathe whenever you're gone","Chorus","Taylor Swift"
34,"I can't turn back now, I'm haunted","Chorus","Taylor Swift"
35,"I know, I know","Bridge","Taylor Swift"
36,"I just know","Bridge","Taylor Swift"
37,"You're not gone","Bridge","Taylor Swift"
38,"You can't be gone, no","Bridge","Taylor Swift"
39,"Come on, come on, don't leave me like this","Chorus","Taylor Swift"
40,"I thought I had you figured out","Chorus","Taylor Swift"
41,"Something's gone terribly wrong (Terribly wrong)","Chorus","Taylor Swift"
42,"Won't finish what you started","Chorus","Taylor Swift"
43,"Come on, come on, don't leave me like this","Chorus","Taylor Swift"
44,"I thought I had you figured out","Chorus","Taylor Swift"
45,"Can't breathe whenever you're gone","Chorus","Taylor Swift"
46,"I can't go back, I'm haunted","Chorus","Taylor Swift"
47,"Oh","Outro","Taylor Swift"
48,"You and I walk a fragile line","Outro","Taylor Swift"
49,"I have known it all this time","Outro","Taylor Swift"
50,"Never ever thought I'd see it break","Outro","Taylor Swift"
51,"Never thought I'd see it","Outro","Taylor Swift"
