"line","lyric","element","element_artist"
1,"Lock broken, slur spoken","Verse 1","Taylor Swift"
2,"Wound open, game token","Verse 1","Taylor Swift"
3,"I didn't know you were keeping count","Verse 1","Taylor Swift"
4,"Rain soaking, blind hoping","Verse 1","Taylor Swift"
5,"You said I was freeloading","Verse 1","Taylor Swift"
6,"I didn't know you were keeping count","Verse 1","Taylor Swift"
7,"High infidelity","Chorus","Taylor Swift"
8,"Put on your records and regret me","Chorus","Taylor Swift"
9,"I bent the truth too far tonight","Chorus","Taylor Swift"
10,"I was dancing around, dancing around it","Chorus","Taylor Swift"
11,"High infidelity","Chorus","Taylor Swift"
12,"Put on your headphones and burn my city","Chorus","Taylor Swift"
13,"Your picket fence is sharp as knives","Chorus","Taylor Swift"
14,"I was dancing around, dancing around it","Chorus","Taylor Swift"
15,"Do you really want to know where I was April 29th?","Refrain","Taylor Swift"
16,"Do I really have to chart the constellations in his eyes?","Refrain","Taylor Swift"
17,"Storm coming, good husband","Verse 2","Taylor Swift"
18,"Bad omen","Verse 2","Taylor Swift"
19,"Dragged my feet right down the aisle","Verse 2","Taylor Swift"
20,"At the house lonely, good money","Verse 2","Taylor Swift"
21,"I'd pay if you'd just know me","Verse 2","Taylor Swift"
22,"Seemed like the right thing at the time","Verse 2","Taylor Swift"
23,"You know there's many different ways","Refrain","Taylor Swift"
24,"That you can kill the one you love","Refrain","Taylor Swift"
25,"The slowest way is never loving them enough","Refrain","Taylor Swift"
26,"Do you really want to know where I was April 29th?","Refrain","Taylor Swift"
27,"Do I really have to tell you how he brought me back to life?","Refrain","Taylor Swift"
28,"High infidelity","Chorus","Taylor Swift"
29,"Put on your records and regret me","Chorus","Taylor Swift"
30,"I bent the truth too far tonight","Chorus","Taylor Swift"
31,"I was dancing around, dancing around it","Chorus","Taylor Swift"
32,"High infidelity","Chorus","Taylor Swift"
33,"Put on your headphones and burn my city","Chorus","Taylor Swift"
34,"Your picket fence is sharp as knives","Chorus","Taylor Swift"
35,"I was dancing around, dancing around it","Chorus","Taylor Swift"
36,"Do you really want to know where I was April 29th?","Refrain","Taylor Swift"
37,"Do I really have to chart the constellations in his eyes?","Refrain","Taylor Swift"
38,"You know there's many different ways that you can kill the one you love","Refrain","Taylor Swift"
39,"The slowest way is never loving them enough","Refrain","Taylor Swift"
40,"High infidelity","Chorus","Taylor Swift"
41,"Put on your records and regret meeting me","Chorus","Taylor Swift"
42,"I bent the truth too far tonight","Chorus","Taylor Swift"
43,"I was dancing around, dancing around it","Chorus","Taylor Swift"
44,"High infidelity","Chorus","Taylor Swift"
45,"Put on your headphones and burn my city","Chorus","Taylor Swift"
46,"Your picket fence is sharp as knives","Chorus","Taylor Swift"
47,"I was dancing around, dancing around it","Chorus","Taylor Swift"
48,"Ooh, ooh, ooh","Post-Chorus","Taylor Swift"
49,"Woo, woo, woo","Post-Chorus","Taylor Swift"
50,"Woo","Post-Chorus","Taylor Swift"
51,"Ooh, ooh, ohh","Post-Chorus","Taylor Swift"
52,"Woo, woo, woo","Post-Chorus","Taylor Swift"
53,"Yeah, there's many different ways that you can kill the one you love","Post-Chorus","Taylor Swift"
54,"And it's never enough, it's never enough","Post-Chorus","Taylor Swift"
55,"Lock broken, slur spoken","Outro","Taylor Swift"
56,"Wound open, game token","Outro","Taylor Swift"
57,"I didn't know you were keeping count","Outro","Taylor Swift"
58,"Rain soaking, blind hoping","Outro","Taylor Swift"
59,"You said I was freeloading","Outro","Taylor Swift"
60,"I didn't know you were keeping count","Outro","Taylor Swift"
61,"But oh, you were keeping count","Outro","Taylor Swift"
