"line","lyric","element","element_artist"
1,"Bet your window's rolled down and your hair's pulled back","Verse 1","Taylor Swift"
2,"And I bet you got no idea you're going way too fast","Verse 1","Taylor Swift"
3,"You're trying not to think about what went wrong","Verse 1","Taylor Swift"
4,"Trying not to stop 'til you get where you goin'","Verse 1","Taylor Swift"
5,"You're trying to stay awake so I bet you turn on the radio","Verse 1","Taylor Swift"
6,"And the song goes","Verse 1","Taylor Swift"
7,"I can't live without you, I can't live without you, baby","Pre-Chorus","Taylor Swift"
8,"I can't live without you, I can't live without you, baby, oh, baby","Pre-Chorus","Taylor Swift"
9,"The highway won't hold you tonight","Chorus:Tim McGraw","Taylor Swift"
10,"The highway don't know you're alive","Chorus:Tim McGraw","Taylor Swift"
11,"The highway don't care if you're all alone","Chorus:Tim McGraw","Taylor Swift"
12,"But I do, I do","Chorus:Tim McGraw","Taylor Swift"
13,"The highway won't dry your tears","Chorus:Tim McGraw","Taylor Swift"
14,"The highway don't need you here","Chorus:Tim McGraw","Taylor Swift"
15,"The highway don't care if you're coming home","Chorus:Tim McGraw","Taylor Swift"
16,"But I do, I do","Chorus:Tim McGraw","Taylor Swift"
17,"I bet you got a dead cell phone in your shotgun seat","Verse 2","Taylor Swift"
18,"Yeah, I bet you're bending God's ear talking 'bout me","Verse 2","Taylor Swift"
19,"You're trying not to let the first tear fall out","Verse 2","Taylor Swift"
20,"You're trying not to think about turning around","Verse 2","Taylor Swift"
21,"You're trying not to get lost in the sound but that song is always on","Verse 2","Taylor Swift"
22,"So you sing along","Verse 2","Taylor Swift"
23,"I can't live without you, I can't live without you, baby","Pre-Chorus","Taylor Swift"
24,"I can't live without you, I can't live without you, baby, oh baby","Pre-Chorus","Taylor Swift"
25,"The highway won't hold you tonight","Chorus","Taylor Swift"
26,"The highway don't know you're alive","Chorus","Taylor Swift"
27,"The highway don't care if you're all alone","Chorus","Taylor Swift"
28,"But I do, I do","Chorus","Taylor Swift"
29,"The highway won't dry your tears","Chorus","Taylor Swift"
30,"The highway don't need you here","Chorus","Taylor Swift"
31,"The highway don't care if you're coming home","Chorus","Taylor Swift"
32,"But I do, I do","Chorus","Taylor Swift"
33,"I can't live without you, I can't live without you, baby","Pre-Chorus","Taylor Swift"
34,"I can't live without you, I can't live without you, baby, oh baby","Pre-Chorus","Taylor Swift"
35,"The highway don't care","Bridge","Taylor Swift"
36,"The highway don't care","Bridge","Taylor Swift"
37,"The highway don't care","Bridge","Taylor Swift"
38,"But I do, I do","Bridge","Taylor Swift"
39,"I can't live without you, I can't live without you, baby","Bridge","Taylor Swift"
40,"I can't live without I can't live without you, baby, oh baby","Bridge","Taylor Swift"
41,"The highway don't care","Bridge","Taylor Swift"
42,"The highway don't care","Bridge","Taylor Swift"
43,"The highway don't care","Bridge","Taylor Swift"
44,"But I do, I do","Bridge","Taylor Swift"
45,"I can't live without you, I can't live without you, baby","Bridge","Taylor Swift"
46,"I can't live without I can't live without you, baby","Bridge","Taylor Swift"
47,"The highway don't care","Bridge","Taylor Swift"
48,"The highway don't care","Bridge","Taylor Swift"
49,"The highway don't care","Bridge","Taylor Swift"
50,"But I do, I do","Bridge","Taylor Swift"
51,"I can't live without you, I can't live without you, baby","Bridge","Taylor Swift"
52,"I can't live without I can't live without you, baby, oh baby","Bridge","Taylor Swift"
53,"The highway don't care","Bridge","Taylor Swift"
54,"The highway don't care","Bridge","Taylor Swift"
55,"The highway don't care","Bridge","Taylor Swift"
56,"But I do, I do","Bridge","Taylor Swift"
57,"I can't live without you, I can't live without you, baby","Outro","Taylor Swift"
