"line","lyric","element","element_artist"
1,"My only one","Verse 1","Taylor Swift"
2,"My smoking gun","Verse 1","Taylor Swift"
3,"My eclipsed sun","Verse 1","Taylor Swift"
4,"This has broken me down","Verse 1","Taylor Swift"
5,"My twisted knife","Verse 1","Taylor Swift"
6,"My sleepless night","Verse 1","Taylor Swift"
7,"My winless fight","Verse 1","Taylor Swift"
8,"This has frozen my ground","Verse 1","Taylor Swift"
9,"Stood on the cliffside screaming, ""Give me a reason""","Chorus","Taylor Swift"
10,"Your faithless love's the only hoax I believe in","Chorus","Taylor Swift"
11,"Don't want no other shade of blue but you","Chorus","Taylor Swift"
12,"No other sadness in the world would do","Chorus","Taylor Swift"
13,"My best laid plan","Verse 2","Taylor Swift"
14,"Your sleight of hand","Verse 2","Taylor Swift"
15,"My barren land","Verse 2","Taylor Swift"
16,"I am ash from your fire","Verse 2","Taylor Swift"
17,"Stood on the cliffside screaming, ""Give me a reason""","Chorus","Taylor Swift"
18,"Your faithless love's the only hoax I believe in","Chorus","Taylor Swift"
19,"Don't want no other shade of blue but you","Chorus","Taylor Swift"
20,"No other sadness in the world would do","Chorus","Taylor Swift"
21,"You know I left a part of me back in New York","Bridge","Taylor Swift"
22,"You knew the hero died so what's the movie for?","Bridge","Taylor Swift"
23,"You knew it still hurts underneath my scars","Bridge","Taylor Swift"
24,"From when they pulled me apart","Bridge","Taylor Swift"
25,"You knew the password so I let you in the door","Bridge","Taylor Swift"
26,"You knew you won so what's the point of keeping score?","Bridge","Taylor Swift"
27,"You knew it still hurts underneath my scars","Bridge","Taylor Swift"
28,"From when they pulled me apart","Bridge","Taylor Swift"
29,"But what you did was just as dark","Bridge","Taylor Swift"
30,"(Ah, ah, ah)","Bridge","Taylor Swift"
31,"Darling, this was just as hard","Bridge","Taylor Swift"
32,"As when they pulled me apart","Bridge","Taylor Swift"
33,"My only one","Outro","Taylor Swift"
34,"My kingdom come undone","Outro","Taylor Swift"
35,"My broken drum","Outro","Taylor Swift"
36,"You have beaten my heart","Outro","Taylor Swift"
37,"Don't want no other shade of blue but you","Outro","Taylor Swift"
38,"No other sadness in the world would do","Outro","Taylor Swift"
