"line","lyric","element","element_artist"
1,"Oh, oh, oh","Intro","Taylor Swift"
2,"Oh, oh, oh","Intro","Taylor Swift"
3,"Oh-oh, oh-oh","Intro","Taylor Swift"
4,"Stand there like a ghost","Verse 1","Taylor Swift"
5,"Shaking from the rain, rain","Verse 1","Taylor Swift"
6,"She'll open up the door and say, ""Are you insane?""","Verse 1","Taylor Swift"
7,"Say it's been a long six months","Verse 1","Taylor Swift"
8,"And you were too afraid to tell her what you want, want","Verse 1","Taylor Swift"
9,"And that's how it works","Pre-Chorus 1","Taylor Swift"
10,"That's how you get the girl","Pre-Chorus 1","Taylor Swift"
11,"And then, you say","Pre-Chorus 1","Taylor Swift"
12,"I want you for worse or for better","Chorus","Taylor Swift"
13,"I would wait forever and ever","Chorus","Taylor Swift"
14,"Broke your heart, I'll put it back together","Chorus","Taylor Swift"
15,"I would wait forever and ever","Chorus","Taylor Swift"
16,"And that's how it works","Chorus","Taylor Swift"
17,"That's how you get the girl, girl (Oh-oh, oh)","Chorus","Taylor Swift"
18,"And that's how it works","Chorus","Taylor Swift"
19,"That's how you get the girl, girl","Chorus","Taylor Swift"
20,"Remind her how it used to be, be, yeah-yeah","Verse 2","Taylor Swift"
21,"With pictures in frames of kisses on cheeks, cheeks","Verse 2","Taylor Swift"
22,"Tell her how you must have lost your mind, ooh-ooh","Verse 2","Taylor Swift"
23,"When you left her all alone","Verse 2","Taylor Swift"
24,"And never told her why, why","Verse 2","Taylor Swift"
25,"And that's how it works","Pre-Chorus 2","Taylor Swift"
26,"That's how you lost the girl","Pre-Chorus 2","Taylor Swift"
27,"And now, you say","Pre-Chorus 2","Taylor Swift"
28,"I want you for worse or for better","Chorus","Taylor Swift"
29,"I would wait forever and ever (Ever and ever)","Chorus","Taylor Swift"
30,"Broke your heart, I'll put it back together","Chorus","Taylor Swift"
31,"I would wait forever and ever","Chorus","Taylor Swift"
32,"And that's how it works","Chorus","Taylor Swift"
33,"That's how you get the girl, girl (Oh-oh, oh-oh)","Chorus","Taylor Swift"
34,"And that's how it works","Chorus","Taylor Swift"
35,"That's how you get the girl, girl","Chorus","Taylor Swift"
36,"Yeah, yeah","Chorus","Taylor Swift"
37,"And you know","Bridge","Taylor Swift"
38,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh","Bridge","Taylor Swift"
39,"That I don't want you to go, oh, oh","Bridge","Taylor Swift"
40,"Remind me how it used to be","Breakdown","Taylor Swift"
41,"Pictures in frames of kisses on cheeks","Breakdown","Taylor Swift"
42,"And say you want me, yeah-yeah","Breakdown","Taylor Swift"
43,"And then you say","Breakdown","Taylor Swift"
44,"'Cause I want you for worse or for better (Worse or for better)","Chorus","Taylor Swift"
45,"I would wait forever and ever (Ever and ever)","Chorus","Taylor Swift"
46,"Broke your heart, I'll put it back together","Chorus","Taylor Swift"
47,"I would wait forever and ever (I want you forever and ever)","Chorus","Taylor Swift"
48,"And that's how it works","Chorus","Taylor Swift"
49,"That's how you get the girl, girl (This is how it works)","Chorus","Taylor Swift"
50,"And that's how it works","Chorus","Taylor Swift"
51,"That's how you get the girl, girl (Get the girl)","Chorus","Taylor Swift"
52,"(That's how it works)","Chorus","Taylor Swift"
53,"And that's how it works","Chorus","Taylor Swift"
54,"That's how you get the girl, girl","Chorus","Taylor Swift"
55,"(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)","Chorus","Taylor Swift"
56,"And that's how it works","Chorus","Taylor Swift"
57,"That's how you get the girl, girl","Chorus","Taylor Swift"
58,"(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)","Chorus","Taylor Swift"
59,"That's how it works","Outro","Taylor Swift"
60,"That's how you got the girl","Outro","Taylor Swift"
