"line","lyric","element","element_artist"
1,"I bet this time of night, you're still up","Verse 1","Taylor Swift"
2,"I bet you're tired from a long hard week","Verse 1","Taylor Swift"
3,"I bet you're sittin' in your chair by the window","Verse 1","Taylor Swift"
4,"Looking out at the city, and I bet","Verse 1","Taylor Swift"
5,"Sometimes you wonder 'bout me","Verse 1","Taylor Swift"
6,"And I just wanna tell you","Chorus","Taylor Swift"
7,"It takes everything in me not to call you","Chorus","Taylor Swift"
8,"And I wish I could run to you","Chorus","Taylor Swift"
9,"And I hope you know that","Chorus","Taylor Swift"
10,"Every time I don't, I almost do, I almost do","Chorus","Taylor Swift"
11,"I bet you think I either moved on or hate you","Verse 2","Taylor Swift"
12,"'Cause each time you reach out, there's no reply","Verse 2","Taylor Swift"
13,"I bet it never, ever occurred to you","Verse 2","Taylor Swift"
14,"That I can't say hello to you and risk another goodbye","Verse 2","Taylor Swift"
15,"And I just wanna tell you","Chorus","Taylor Swift"
16,"It takes everything in me not to call you","Chorus","Taylor Swift"
17,"And I wish I could run to you","Chorus","Taylor Swift"
18,"And I hope you know that","Chorus","Taylor Swift"
19,"Every time I don't, I almost do, I almost do","Chorus","Taylor Swift"
20,"Oh, we made quite a mess, babe","Bridge","Taylor Swift"
21,"It's probably better off this way","Bridge","Taylor Swift"
22,"And I confess, baby","Bridge","Taylor Swift"
23,"In my dreams, you're touching my face","Bridge","Taylor Swift"
24,"And asking me if I wanna try again with you","Bridge","Taylor Swift"
25,"And I almost do","Bridge","Taylor Swift"
26,"And I just wanna tell you","Chorus","Taylor Swift"
27,"It takes everything in me not to call you","Chorus","Taylor Swift"
28,"And I wish I could run to you","Chorus","Taylor Swift"
29,"And I hope you know that","Chorus","Taylor Swift"
30,"Every time I don't, I almost do, I almost do","Chorus","Taylor Swift"
31,"I bet this time of night, you're still up","Outro","Taylor Swift"
32,"I bet you're tired from a long hard week","Outro","Taylor Swift"
33,"I bet you're sittin' in your chair by the window","Outro","Taylor Swift"
34,"Looking out at the city, and I hope","Outro","Taylor Swift"
35,"Sometimes you wonder 'bout me","Outro","Taylor Swift"
