"line","lyric","element","element_artist"
1,"3 AM and I'm still awake, I'll bet you're just fine","Verse 1","Taylor Swift"
2,"Fast asleep in your city that's better than mine","Verse 1","Taylor Swift"
3,"And the girl in your bed has a fine pedigree","Verse 1","Taylor Swift"
4,"And I'll bet your friends tell you she's better than me, huh","Verse 1","Taylor Swift"
5,"Well, I tried to fit in with your upper-crust circles","Verse 2","Taylor Swift"
6,"Yeah, they let me sit in back when we were in love","Verse 2","Taylor Swift"
7,"Oh, they sit around talkin' about the meaning of life","Verse 2","Taylor Swift"
8,"And the book that just saved 'em that I hadn't heard of","Verse 2","Taylor Swift"
9,"But now that we're done and it's over","Chorus","Taylor Swift"
10,"I bet you couldn't believe","Chorus","Taylor Swift"
11,"When you realized I'm harder to forget than I was to leave","Chorus","Taylor Swift"
12,"And I bet you think about me","Chorus","Taylor Swift"
13,"You grew up in a silver-spoon gated community","Verse 3","Taylor Swift"
14,"Glamorous, shiny, bright Beverly Hills","Verse 3","Taylor Swift"
15,"I was raised on a farm, no, it wasn't a mansion","Verse 3","Taylor Swift"
16,"Just livin' room dancin' and kitchen table bills","Verse 3","Taylor Swift"
17,"But you know what they say, you can't help who you fall for","Verse 4","Taylor Swift"
18,"And you and I fell like an early spring snow","Verse 4","Taylor Swift"
19,"But reality crept in, you said we're too different","Verse 4","Taylor Swift"
20,"You laughed at my dreams, rolled your eyes at my jokes","Verse 4","Taylor Swift"
21,"Mr. Superior Thinkin'","Chorus","Taylor Swift"
22,"Do you have all the space that you need?","Chorus","Taylor Swift"
23,"I don't have to be your shrink to know that you'll never be happy","Chorus","Taylor Swift"
24,"And I bet you think about me","Chorus","Taylor Swift"
25,"I bet you think about me, yes","Post-Chorus","Taylor Swift"
26,"I bet you think about me","Post-Chorus","Taylor Swift"
27,"Oh, block it all out","Bridge","Taylor Swift"
28,"The voices so loud, sayin'","Bridge","Taylor Swift"
29,"""Why did you let her go?""","Bridge","Taylor Swift"
30,"Does it make you feel sad","Bridge","Taylor Swift"
31,"That the love that you're lookin' for","Bridge","Taylor Swift"
32,"Is the love that you had?","Bridge","Taylor Swift"
33,"Now you're out in the world, searchin' for your soul","Verse 5","Taylor Swift"
34,"Scared not to be hip, scared to get old","Verse 5","Taylor Swift"
35,"Chasing make-believe status, last time you felt free","Verse 5","Taylor Swift"
36,"Was when none of that shit mattered 'cause you were with me","Verse 5","Taylor Swift"
37,"But now that we're done and it's over","Chorus","Taylor Swift"
38,"I bet it's hard to believe","Chorus","Taylor Swift"
39,"That it turned out I'm harder to forget than I was to leave","Chorus","Taylor Swift"
40,"And, yeah, I bet you think about me","Chorus","Taylor Swift"
41,"I bet you think about me, yes","Post-Chorus","Taylor Swift"
42,"I bet you think about me","Post-Chorus","Taylor Swift"
43,"I bet you think about me when you're out","Outro","Taylor Swift"
44,"At your cool indie music concerts every week","Outro","Taylor Swift"
45,"I bet you think about me in your house","Outro","Taylor Swift"
46,"With your organic shoes and your million-dollar couch","Outro","Taylor Swift"
47,"I bet you think about me when you say","Outro","Taylor Swift"
48,"""Oh my god, she's insane, she wrote a song about me""","Outro","Taylor Swift"
49,"I bet you think about me","Outro","Taylor Swift"
