"line","lyric","element","element_artist"
1,"How many days did I spend thinking","Verse 1","Taylor Swift"
2,"'Bout how you did me wrong, wrong, wrong?","Verse 1","Taylor Swift"
3,"Lived in the shade you were throwing","Verse 1","Taylor Swift"
4,"'Til all of my sunshine was gone, gone, gone","Verse 1","Taylor Swift"
5,"And I couldn't get away from ya","Verse 1","Taylor Swift"
6,"In my feelings more than Drake, so yeah","Verse 1","Taylor Swift"
7,"Your name on my lips, tongue-tied","Verse 1","Taylor Swift"
8,"Free rent, living in my mind","Verse 1","Taylor Swift"
9,"But then something happened one magical night","Pre-Chorus","Taylor Swift"
10,"I forgot that you existed","Chorus","Taylor Swift"
11,"And I thought that it would kill me, but it didn't","Chorus","Taylor Swift"
12,"And it was so nice","Chorus","Taylor Swift"
13,"So peaceful and quiet","Chorus","Taylor Swift"
14,"I forgot that you existed","Chorus","Taylor Swift"
15,"It isn't love, it isn't hate, it's just indifference","Chorus","Taylor Swift"
16,"I forgot that you","Chorus","Taylor Swift"
17,"Got out some popcorn","Verse 2","Taylor Swift"
18,"As soon as my rep started going down, down, down","Verse 2","Taylor Swift"
19,"Laughed on the school yard","Verse 2","Taylor Swift"
20,"As soon as I tripped up and hit the ground, ground, ground","Verse 2","Taylor Swift"
21,"And I would've stuck around for ya","Verse 2","Taylor Swift"
22,"Would've fought the whole town, so yeah","Verse 2","Taylor Swift"
23,"Would've been right there, front row","Verse 2","Taylor Swift"
24,"Even if nobody came to your show","Verse 2","Taylor Swift"
25,"But you showed who you are, then one magical night","Pre-Chorus","Taylor Swift"
26,"I forgot that you existed","Chorus","Taylor Swift"
27,"And I thought that it would kill me, but it didn't","Chorus","Taylor Swift"
28,"And it was so nice","Chorus","Taylor Swift"
29,"So peaceful and quiet","Chorus","Taylor Swift"
30,"I forgot that you existed","Chorus","Taylor Swift"
31,"It isn't love, it isn't hate, it's just indifference","Chorus","Taylor Swift"
32,"I forgot that you","Chorus","Taylor Swift"
33,"Sent me a clear message","Bridge","Taylor Swift"
34,"Taught me some hard lessons","Bridge","Taylor Swift"
35,"I just forget what they were","Bridge","Taylor Swift"
36,"It's all just a blur","Bridge","Taylor Swift"
37,"I forgot that you existed","Chorus","Taylor Swift"
38,"And I thought that it would kill me, but it didn't","Chorus","Taylor Swift"
39,"And it was so nice","Chorus","Taylor Swift"
40,"So peaceful and quiet","Chorus","Taylor Swift"
41,"I forgot that you existed","Chorus","Taylor Swift"
42,"I did, I did, I did","Chorus","Taylor Swift"
43,"It isn't hate, it's just indifference","Chorus","Taylor Swift"
44,"It isn't love, it isn't hate, it's just indifference","Chorus","Taylor Swift"
45,"So, yeah","Chorus","Taylor Swift"
