"line","lyric","element","element_artist"
1,"I, I, I, I, I, I, I, I-I","Intro","Taylor Swift"
2,"I, I, I, I, I, I, I, I-I","Intro","Taylor Swift"
3,"I, I, I, I, I, I, I, I-I (I, I, I, I)","Intro","Taylor Swift"
4,"You stand with your hand on my waistline","Verse 1","Taylor Swift"
5,"It's a scene and we're out here in plain sight","Verse 1","Taylor Swift"
6,"I can hear them whisper as we pass by","Verse 1","Taylor Swift"
7,"It's a bad sign, bad sign","Verse 1","Taylor Swift"
8,"Something happens when everybody finds out","Verse 1","Taylor Swift"
9,"See the vultures circling, dark clouds","Verse 1","Taylor Swift"
10,"Love's a fragile little flame, it could burn out","Verse 1","Taylor Swift"
11,"It could burn out","Verse 1","Taylor Swift"
12,"'Cause they got the cages, they got the boxes and guns","Pre-Chorus 1","Taylor Swift"
13,"They are the hunters, we are the foxes and we run","Pre-Chorus 1","Taylor Swift"
14,"Baby, I know places we won't be found","Chorus","Taylor Swift"
15,"And they'll be chasing their tails trying to track us down","Chorus","Taylor Swift"
16,"'Cause I, I know places we can hide","Chorus","Taylor Swift"
17,"I know places, I know places","Chorus","Taylor Swift"
18,"Lights flash and we'll run for the fences","Verse 2","Taylor Swift"
19,"Let them say what they want, we won't hear it","Verse 2","Taylor Swift"
20,"Loose lips sink ships all the damn time","Verse 2","Taylor Swift"
21,"Not this time","Verse 2","Taylor Swift"
22,"Just grab my hand and don't ever drop it, my love","Pre-Chorus 2","Taylor Swift"
23,"They are the hunters, we are the foxes, and we run","Pre-Chorus 2","Taylor Swift"
24,"Baby, I know places we won't be found","Chorus","Taylor Swift"
25,"And they'll be chasing their tails trying to track us down","Chorus","Taylor Swift"
26,"'Cause I, I know places we can hide","Chorus","Taylor Swift"
27,"I know places","Chorus","Taylor Swift"
28,"They are the hunters, we are the foxes, and we run","Bridge","Taylor Swift"
29,"Just grab my hand and don't ever drop it, my love","Bridge","Taylor Swift"
30,"Baby, I know places we won't be found","Chorus","Taylor Swift"
31,"And they'll be chasing their tails trying to track us down","Chorus","Taylor Swift"
32,"'Cause I, I know places we can hide","Chorus","Taylor Swift"
33,"I know places","Chorus","Taylor Swift"
34,"They take their shots, but we're bulletproof (I know places)","Outro","Taylor Swift"
35,"And you know for me, it's always you (I know places)","Outro","Taylor Swift"
36,"In the dead of night, your eyes so green (I know places)","Outro","Taylor Swift"
37,"And I know for you, it's always me (I know places)","Outro","Taylor Swift"
38,"I, I, I, I, I, I, I, I-I","Outro","Taylor Swift"
39,"I, I, I, I, I, I, I, I-I","Outro","Taylor Swift"
