"line","lyric","element","element_artist"
1,"I think he knows","Verse 1","Taylor Swift"
2,"His footprints on the sidewalk","Verse 1","Taylor Swift"
3,"Lead to where I can't stop","Verse 1","Taylor Swift"
4,"Go there every night","Verse 1","Taylor Swift"
5,"I think he knows","Verse 1","Taylor Swift"
6,"His hands around a cold glass","Verse 1","Taylor Swift"
7,"Make me wanna know that","Verse 1","Taylor Swift"
8,"Body like it's mine","Verse 1","Taylor Swift"
9,"He got that boyish look that I like in a man","Pre-Chorus","Taylor Swift"
10,"I am an architect, I'm drawing up the plans","Pre-Chorus","Taylor Swift"
11,"It's like I'm 17, nobody understands","Pre-Chorus","Taylor Swift"
12,"No one understands","Pre-Chorus","Taylor Swift"
13,"He got my heartbeat","Chorus","Taylor Swift"
14,"Skipping down 16th Avenue","Chorus","Taylor Swift"
15,"Got that, ah, I mean","Chorus","Taylor Swift"
16,"Wanna see what's under that attitude like","Chorus","Taylor Swift"
17,"I want you, bless my soul","Chorus","Taylor Swift"
18,"And I ain't gotta tell him, I think he knows","Chorus","Taylor Swift"
19,"I think he knows","Chorus","Taylor Swift"
20,"I think he knows","Verse 2","Taylor Swift"
21,"When we get all alone","Verse 2","Taylor Swift"
22,"I'll make myself at home","Verse 2","Taylor Swift"
23,"And he'll want me to stay","Verse 2","Taylor Swift"
24,"I think he knows","Verse 2","Taylor Swift"
25,"He'd better lock it down","Verse 2","Taylor Swift"
26,"Or I won't stick around","Verse 2","Taylor Swift"
27,"'Cause good ones never wait (Ha)","Verse 2","Taylor Swift"
28,"He got that boyish look that I like in a man","Pre-Chorus","Taylor Swift"
29,"I am an architect, I'm drawing up the plans","Pre-Chorus","Taylor Swift"
30,"He's so obsessed with me and, boy, I understand","Pre-Chorus","Taylor Swift"
31,"Boy, I understand","Pre-Chorus","Taylor Swift"
32,"He got my heartbeat (Heartbeat)","Chorus","Taylor Swift"
33,"Skipping down 16th Avenue","Chorus","Taylor Swift"
34,"Got that, ah, I mean (I mean)","Chorus","Taylor Swift"
35,"Wanna see what's under that attitude like","Chorus","Taylor Swift"
36,"I want you, bless my soul","Chorus","Taylor Swift"
37,"And I ain't gotta tell him, I think he knows","Chorus","Taylor Swift"
38,"I think he knows","Chorus","Taylor Swift"
39,"I want you, bless my","Post-Chorus","Taylor Swift"
40,"I want you, bless my","Post-Chorus","Taylor Swift"
41,"I want you, bless my","Post-Chorus","Taylor Swift"
42,"I want you, bless my soul","Post-Chorus","Taylor Swift"
43,"Lyrical smile, indigo eyes, hand on my thigh","Bridge","Taylor Swift"
44,"We could follow the sparks, I'll drive","Bridge","Taylor Swift"
45,"Lyrical smile, indigo eyes, hand on my thigh","Bridge","Taylor Swift"
46,"We could follow the sparks, I'll drive","Bridge","Taylor Swift"
47,"""So where we gonna go?""","Bridge","Taylor Swift"
48,"I whisper in the dark","Bridge","Taylor Swift"
49,"""Where we gonna go?""","Bridge","Taylor Swift"
50,"I think he knows","Bridge","Taylor Swift"
51,"He got my heartbeat (Heartbeat)","Chorus","Taylor Swift"
52,"Skipping down 16th Avenue (Baby)","Chorus","Taylor Swift"
53,"Got that, ah, I mean (I mean)","Chorus","Taylor Swift"
54,"Wanna see what's under that attitude like (Yeah)","Chorus","Taylor Swift"
55,"I want you, bless my soul","Chorus","Taylor Swift"
56,"And I ain't gotta tell him, I think he knows","Chorus","Taylor Swift"
57,"I think he knows","Chorus","Taylor Swift"
58,"I want you, bless my","Post-Chorus","Taylor Swift"
59,"I want you, bless my","Post-Chorus","Taylor Swift"
60,"I want you, bless my (Oh, baby)","Post-Chorus","Taylor Swift"
61,"I want you, bless my soul (He got my heartbeat)","Post-Chorus","Taylor Swift"
62,"I want you, bless my (Skipping down 16th Avenue, baby)","Post-Chorus","Taylor Swift"
63,"I want you, bless my","Post-Chorus","Taylor Swift"
64,"I want you, bless my soul","Post-Chorus","Taylor Swift"
65,"And I ain't gotta tell him, I think he knows","Post-Chorus","Taylor Swift"
