"line","lyric","element","element_artist"
1,"She can't see the way your eyes","Verse 1","Taylor Swift"
2,"Light up when you smile","Verse 1","Taylor Swift"
3,"She'll never notice how you stop and stare","Verse 1","Taylor Swift"
4,"Whenever she walks by","Verse 1","Taylor Swift"
5,"And you can't see me wanting you the way you want her","Pre-Chorus","Taylor Swift"
6,"But you are everything to me","Pre-Chorus","Taylor Swift"
7,"And I just wanna show you","Chorus","Taylor Swift"
8,"She don't even know you","Chorus","Taylor Swift"
9,"She's never gonna love you like I want to","Chorus","Taylor Swift"
10,"And you just see right through me","Chorus","Taylor Swift"
11,"But if you only knew me","Chorus","Taylor Swift"
12,"We could be a beautiful","Chorus","Taylor Swift"
13,"Miracle","Chorus","Taylor Swift"
14,"Unbelievable","Chorus","Taylor Swift"
15,"Instead of just invisible","Chorus","Taylor Swift"
16,"Oh, yeah","Chorus","Taylor Swift"
17,"There's a fire inside of you","Verse 2","Taylor Swift"
18,"That can't help but shine through","Verse 2","Taylor Swift"
19,"She's never gonna see the light","Verse 2","Taylor Swift"
20,"No matter what you do","Verse 2","Taylor Swift"
21,"And all I think about is how to make you think of me","Pre-Chorus","Taylor Swift"
22,"And everything that we could be","Pre-Chorus","Taylor Swift"
23,"I just wanna show you","Chorus","Taylor Swift"
24,"She don't even know you","Chorus","Taylor Swift"
25,"She's never gonna love you like I want to","Chorus","Taylor Swift"
26,"And you just see right through me","Chorus","Taylor Swift"
27,"If you only knew me","Chorus","Taylor Swift"
28,"We could be a beautiful","Chorus","Taylor Swift"
29,"Miracle","Chorus","Taylor Swift"
30,"Unbelievable","Chorus","Taylor Swift"
31,"Instead of just invisible","Chorus","Taylor Swift"
32,"Like shadows in a faded light","Bridge","Taylor Swift"
33,"Oh, we're invisible","Bridge","Taylor Swift"
34,"I just wanna open your eyes","Bridge","Taylor Swift"
35,"And make you realize","Bridge","Taylor Swift"
36,"I just wanna show you","Chorus","Taylor Swift"
37,"She don't even know you","Chorus","Taylor Swift"
38,"Baby, let me love you","Chorus","Taylor Swift"
39,"Let me want you","Chorus","Taylor Swift"
40,"You just see right through me","Chorus","Taylor Swift"
41,"But if you only knew me","Chorus","Taylor Swift"
42,"We could be a beautiful","Chorus","Taylor Swift"
43,"Miracle","Chorus","Taylor Swift"
44,"Unbelievable","Chorus","Taylor Swift"
45,"Instead of just invisible","Chorus","Taylor Swift"
46,"Oh, yeah","Chorus","Taylor Swift"
47,"She can't see the way your eyes","Outro","Taylor Swift"
48,"Light up when you smile","Outro","Taylor Swift"
