"line","lyric","element","element_artist"
1,"Green was the color of the grass","Verse 1","Taylor Swift"
2,"Where I used to read at Centennial Park","Verse 1","Taylor Swift"
3,"I used to think I would meet somebody there","Verse 1","Taylor Swift"
4,"Teal was the color of your shirt","Verse 1","Taylor Swift"
5,"When you were sixteen at the yogurt shop","Verse 1","Taylor Swift"
6,"You used to work at to make a little money","Verse 1","Taylor Swift"
7,"Time, curious time","Chorus","Taylor Swift"
8,"Gave me no compasses, gave me no signs","Chorus","Taylor Swift"
9,"Were there clues I didn't see?","Chorus","Taylor Swift"
10,"And isn't it just so pretty to think","Chorus","Taylor Swift"
11,"All along there was some","Chorus","Taylor Swift"
12,"Invisible string","Chorus","Taylor Swift"
13,"Tying you to me?","Chorus","Taylor Swift"
14,"Ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
15,"Bad was the blood of the song in the cab","Verse 2","Taylor Swift"
16,"On your first trip to LA","Verse 2","Taylor Swift"
17,"You ate at my favorite spot for dinner","Verse 2","Taylor Swift"
18,"Bold was the waitress on our three-year trip","Verse 2","Taylor Swift"
19,"Getting lunch down by the Lakes","Verse 2","Taylor Swift"
20,"She said I looked like an American singer","Verse 2","Taylor Swift"
21,"Time, mystical time","Chorus","Taylor Swift"
22,"Cutting me open, then healing me fine","Chorus","Taylor Swift"
23,"Were there clues I didn't see?","Chorus","Taylor Swift"
24,"And isn't it just so pretty to think","Chorus","Taylor Swift"
25,"All along there was some","Chorus","Taylor Swift"
26,"Invisible string","Chorus","Taylor Swift"
27,"Tying you to me?","Chorus","Taylor Swift"
28,"Ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
29,"A string that pulled me","Bridge","Taylor Swift"
30,"Out of all the wrong arms, right into that dive bar","Bridge","Taylor Swift"
31,"Something wrapped all of my past mistakes in barbed wire","Bridge","Taylor Swift"
32,"Chains around my demons","Bridge","Taylor Swift"
33,"Wool to brave the seasons","Bridge","Taylor Swift"
34,"One single thread of gold","Bridge","Taylor Swift"
35,"Tied me to you","Bridge","Taylor Swift"
36,"Cold was the steel of my axe to grind","Verse 3","Taylor Swift"
37,"For the boys who broke my heart","Verse 3","Taylor Swift"
38,"Now I send their babies presents","Verse 3","Taylor Swift"
39,"Gold was the color of the leaves","Verse 3","Taylor Swift"
40,"When I showed you around Centennial Park","Verse 3","Taylor Swift"
41,"Hell was the journey but it brought me heaven","Verse 3","Taylor Swift"
42,"Time, wondrous time","Chorus","Taylor Swift"
43,"Gave me the blues and then purple-pink skies","Chorus","Taylor Swift"
44,"And it's cool","Chorus","Taylor Swift"
45,"Baby, with me","Chorus","Taylor Swift"
46,"And isn't it just so pretty to think","Chorus","Taylor Swift"
47,"All along there was some","Chorus","Taylor Swift"
48,"Invisible string","Chorus","Taylor Swift"
49,"Tying you to me?","Chorus","Taylor Swift"
50,"Ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
51,"Me","Chorus","Taylor Swift"
52,"Ooh-ooh-ooh-ooh","Chorus","Taylor Swift"
53,"(Ah-ah-ah)","Outro","Taylor Swift"
54,"(Ah-ah-ah)","Outro","Taylor Swift"
