"line","lyric","element","element_artist"
1,"How's one to know?","Verse 1","Taylor Swift"
2,"I'd meet you where the spirit meets the bones","Verse 1","Taylor Swift"
3,"In a faith-forgotten land","Verse 1","Taylor Swift"
4,"In from the snow","Verse 1","Taylor Swift"
5,"Your touch brought forth an incandescent glow","Verse 1","Taylor Swift"
6,"Tarnished but so grand","Verse 1","Taylor Swift"
7,"And the old widow goes to the stone every day","Pre-Chorus","Taylor Swift"
8,"But I don't, I just sit here and wait","Pre-Chorus","Taylor Swift"
9,"Grieving for the living","Pre-Chorus","Taylor Swift"
10,"Oh, goddamn","Chorus","Taylor Swift"
11,"My pain fits in the palm of your freezing hand","Chorus","Taylor Swift"
12,"Taking mine, but it's been promised to another","Chorus","Taylor Swift"
13,"Oh, I can't","Chorus","Taylor Swift"
14,"Stop you putting roots in my dreamland","Chorus","Taylor Swift"
15,"My house of stone, your ivy grows","Chorus","Taylor Swift"
16,"And now I'm covered in you","Chorus","Taylor Swift"
17,"I wish to know","Verse 2","Taylor Swift"
18,"The fatal flaw that makes you long to be","Verse 2","Taylor Swift"
19,"Magnificently cursed","Verse 2","Taylor Swift"
20,"He's in the room","Verse 2","Taylor Swift"
21,"Your opal eyes are all I wish to see","Verse 2","Taylor Swift"
22,"He wants what's only yours","Verse 2","Taylor Swift"
23,"Oh, goddamn","Chorus","Taylor Swift"
24,"My pain fits in the palm of your freezing hand","Chorus","Taylor Swift"
25,"Taking mine, but it's been promised to another","Chorus","Taylor Swift"
26,"Oh, I can't","Chorus","Taylor Swift"
27,"Stop you putting roots in my dreamland","Chorus","Taylor Swift"
28,"My house of stone, your ivy grows","Chorus","Taylor Swift"
29,"And now I'm covered","Chorus","Taylor Swift"
30,"Clover blooms in the fields","Verse 3","Taylor Swift"
31,"Spring breaks loose, the time is near","Verse 3","Taylor Swift"
32,"What would he do if he found us out?","Verse 3","Taylor Swift"
33,"Crescent moon, coast is clear","Verse 3","Taylor Swift"
34,"Spring breaks loose, but so does fear","Verse 3","Taylor Swift"
35,"He's gonna burn this house to the ground","Verse 3","Taylor Swift"
36,"How's one to know?","Verse 3","Taylor Swift"
37,"I'd live and die for moments that we stole","Verse 3","Taylor Swift"
38,"On begged and borrowed time","Verse 3","Taylor Swift"
39,"So tell me to run","Verse 3","Taylor Swift"
40,"Or dare to sit and watch what we'll become","Verse 3","Taylor Swift"
41,"And drink my husband's wine","Verse 3","Taylor Swift"
42,"Oh, goddamn","Chorus","Taylor Swift"
43,"My pain fits in the palm of your freezing hand","Chorus","Taylor Swift"
44,"Taking mine, but it's been promised to another","Chorus","Taylor Swift"
45,"Oh, I can't","Chorus","Taylor Swift"
46,"Stop you putting roots in my dreamland","Chorus","Taylor Swift"
47,"My house of stone, your ivy grows","Chorus","Taylor Swift"
48,"And now I'm covered in you","Chorus","Taylor Swift"
49,"And I'm covered in you","Chorus","Taylor Swift"
50,"So yeah, it's a fire","Bridge","Taylor Swift"
51,"It's a goddamn blaze in the dark","Bridge","Taylor Swift"
52,"And you started it","Bridge","Taylor Swift"
53,"You started it","Bridge","Taylor Swift"
54,"So yeah, it's a war","Bridge","Taylor Swift"
55,"It's the goddamn fight of my life","Bridge","Taylor Swift"
56,"And you started it","Bridge","Taylor Swift"
57,"You started it","Bridge","Taylor Swift"
58,"Oh, I can't","Chorus","Taylor Swift"
59,"Stop you putting roots in my dreamland","Chorus","Taylor Swift"
60,"My house of stone, your ivy grows","Chorus","Taylor Swift"
61,"And now I'm covered","Chorus","Taylor Swift"
62,"In you, in you","Chorus","Taylor Swift"
63,"Now I'm covered in you","Chorus","Taylor Swift"
64,"In you","Chorus","Taylor Swift"
