"line","lyric","element","element_artist"
1,"I like the way you sound in the morning","Verse 1","Taylor Swift"
2,"We're on the phone and without a warning","Verse 1","Taylor Swift"
3,"I realize your laugh is the best sound","Verse 1","Taylor Swift"
4,"I have ever heard","Verse 1","Taylor Swift"
5,"I like the way I can't keep my focus","Verse 1","Taylor Swift"
6,"I watch you talk, you didn't notice","Verse 1","Taylor Swift"
7,"I hear the words but all I can think is","Verse 1","Taylor Swift"
8,"We should be together","Verse 1","Taylor Swift"
9,"Every time you smile, I smile","Pre-Chorus","Taylor Swift"
10,"And every time you shine, I'll shine for you","Pre-Chorus","Taylor Swift"
11,"Whoa oh, I'm feeling you, baby","Chorus","Taylor Swift"
12,"Don't be afraid to","Chorus","Taylor Swift"
13,"Jump then fall","Chorus","Taylor Swift"
14,"Jump then fall into me","Chorus","Taylor Swift"
15,"Baby, I'm never gonna leave you","Chorus","Taylor Swift"
16,"Say that you wanna be with me too","Chorus","Taylor Swift"
17,"'Cause I'ma stay through it all","Chorus","Taylor Swift"
18,"So jump then fall","Chorus","Taylor Swift"
19,"Well, I like the way your hair falls in your face","Verse 2","Taylor Swift"
20,"You got the keys to me","Verse 2","Taylor Swift"
21,"I love each freckle on your face, oh","Verse 2","Taylor Swift"
22,"I've never been so wrapped up, honey","Verse 2","Taylor Swift"
23,"I like the way you're everything I ever wanted","Verse 2","Taylor Swift"
24,"I had time to think it over","Verse 2","Taylor Swift"
25,"And all I can say is come closer","Verse 2","Taylor Swift"
26,"Take a deep breath and jump then fall into me","Verse 2","Taylor Swift"
27,"'Cause every time you smile, I smile","Pre-Chorus","Taylor Swift"
28,"And every time you shine, I'll shine for you","Pre-Chorus","Taylor Swift"
29,"Whoa oh, I'm feeling you, baby","Chorus","Taylor Swift"
30,"Don't be afraid to","Chorus","Taylor Swift"
31,"Jump then fall","Chorus","Taylor Swift"
32,"Jump then fall into me","Chorus","Taylor Swift"
33,"Baby, I'm never gonna leave you","Chorus","Taylor Swift"
34,"Say that you wanna be with me too","Chorus","Taylor Swift"
35,"'Cause I'ma stay through it all","Chorus","Taylor Swift"
36,"So jump then fall","Chorus","Taylor Swift"
37,"The bottom's gonna drop out from under our feet","Bridge","Taylor Swift"
38,"I'll catch you, I'll catch you","Bridge","Taylor Swift"
39,"When people say things that bring you to your knees","Bridge","Taylor Swift"
40,"I'll catch you","Bridge","Taylor Swift"
41,"The time is gonna come when you're so mad you could cry","Bridge","Taylor Swift"
42,"But I'll hold you through the night until you smile","Bridge","Taylor Swift"
43,"Whoa oh, I need you, baby","Chorus","Taylor Swift"
44,"Don't be afraid, please","Chorus","Taylor Swift"
45,"Jump then fall","Chorus","Taylor Swift"
46,"Jump then fall into me","Chorus","Taylor Swift"
47,"Baby, I'm never gonna leave you","Chorus","Taylor Swift"
48,"Say that you wanna be with me too","Chorus","Taylor Swift"
49,"'Cause I'ma stay through it all","Chorus","Taylor Swift"
50,"So jump then fall","Chorus","Taylor Swift"
51,"Jump then fall, baby","Chorus","Taylor Swift"
52,"Jump then fall into me, into me","Chorus","Taylor Swift"
53,"Every time you smile, I smile","Outro","Taylor Swift"
54,"And every time you shine, I shine","Outro","Taylor Swift"
55,"And every time you're here","Outro","Taylor Swift"
56,"Baby, I'll show you, I'll show you","Outro","Taylor Swift"
57,"You can jump then fall, jump then fall","Outro","Taylor Swift"
58,"Jump then fall into me, into me, yeah","Outro","Taylor Swift"
