"line","lyric","element","element_artist"
1,"""It only hurts this much right now""","Verse 1","Taylor Swift"
2,"Was what I was thinkin' the whole time","Verse 1","Taylor Swift"
3,"Breathe in, breathe through, breathe deep, breathe out","Verse 1","Taylor Swift"
4,"I'll be gettin' over you my whole life","Verse 1","Taylor Swift"
5,"You know how scared I am of elevators","Pre-Chorus","Taylor Swift"
6,"Never trust it if it rises fast","Pre-Chorus","Taylor Swift"
7,"It can't last","Pre-Chorus","Taylor Swift"
8,"Uh-oh, I'm fallin' in love","Chorus","Taylor Swift"
9,"Oh no, I'm fallin' in love again","Chorus","Taylor Swift"
10,"Oh, I'm fallin' in love","Chorus","Taylor Swift"
11,"I thought the plane was goin' down","Chorus","Taylor Swift"
12,"How'd you turn it right around?","Chorus","Taylor Swift"
13,"It only feels this raw right now","Verse 2","Taylor Swift"
14,"Lost in the labyrinth of my mind","Verse 2","Taylor Swift"
15,"Break up, break free, break through, break down","Verse 2","Taylor Swift"
16,"You would break your back to make me break a smile","Verse 2","Taylor Swift"
17,"You know how much I hate","Pre-Chorus","Taylor Swift"
18,"That everybody just expects me to bounce back","Pre-Chorus","Taylor Swift"
19,"Just like that","Pre-Chorus","Taylor Swift"
20,"Uh-oh, I'm fallin' in love","Chorus","Taylor Swift"
21,"Oh no, I'm fallin' in love again","Chorus","Taylor Swift"
22,"Oh, I'm fallin' in love","Chorus","Taylor Swift"
23,"I thought the plane was goin' down","Chorus","Taylor Swift"
24,"How'd you turn it right around?","Chorus","Taylor Swift"
25,"Uh-oh, I'm fallin' in love","Chorus","Taylor Swift"
26,"Oh no, I'm fallin' in love again","Chorus","Taylor Swift"
27,"Oh, I'm fallin' in love","Chorus","Taylor Swift"
28,"I thought the plane was goin' down","Chorus","Taylor Swift"
29,"How'd you turn it right around?","Chorus","Taylor Swift"
30,"Uh-oh, I'm fallin' in love","Chorus","Taylor Swift"
31,"Oh no, I'm fallin' in love again","Chorus","Taylor Swift"
32,"Oh, I'm fallin' in love","Chorus","Taylor Swift"
33,"I thought the plane was goin' down","Chorus","Taylor Swift"
34,"How'd you turn it right around?","Chorus","Taylor Swift"
35,"Uh-oh, I'm fallin' in love","Chorus","Taylor Swift"
36,"Oh no, I'm fallin' in love again","Chorus","Taylor Swift"
37,"Oh, I'm fallin' in love","Chorus","Taylor Swift"
38,"I thought the plane was goin' down","Chorus","Taylor Swift"
39,"How'd you turn it right around?","Chorus","Taylor Swift"
