"line","lyric","element","element_artist"
1,"I still remember the look on your face","Verse 1","Taylor Swift"
2,"Lit through the darkness at 1:58","Verse 1","Taylor Swift"
3,"The words that you whispered","Verse 1","Taylor Swift"
4,"For just us to know","Verse 1","Taylor Swift"
5,"You told me you loved me","Verse 1","Taylor Swift"
6,"So why did you go away?","Verse 1","Taylor Swift"
7,"Away","Verse 1","Taylor Swift"
8,"I do recall now the smell of the rain","Verse 2","Taylor Swift"
9,"Fresh on the pavement","Verse 2","Taylor Swift"
10,"I ran off the plane","Verse 2","Taylor Swift"
11,"That July 9th","Verse 2","Taylor Swift"
12,"The beat of your heart","Verse 2","Taylor Swift"
13,"It jumps through your shirt","Verse 2","Taylor Swift"
14,"I can still feel your arms","Verse 2","Taylor Swift"
15,"But now I'll go sit on the floor","Chorus","Taylor Swift"
16,"Wearing your clothes","Chorus","Taylor Swift"
17,"All that I know is","Chorus","Taylor Swift"
18,"I don't know how to be something you miss","Chorus","Taylor Swift"
19,"I never thought we'd have a last kiss","Chorus","Taylor Swift"
20,"Never imagined we'd end like this","Chorus","Taylor Swift"
21,"Your name, forever the name on my lips","Chorus","Taylor Swift"
22,"I do remember the swing of your step","Verse 3","Taylor Swift"
23,"The life of the party, you're showing off again","Verse 3","Taylor Swift"
24,"And I roll my eyes and then","Verse 3","Taylor Swift"
25,"You pull me in","Verse 3","Taylor Swift"
26,"I'm not much for dancing","Verse 3","Taylor Swift"
27,"But for you I did","Verse 3","Taylor Swift"
28,"Because I love your handshake, meeting my father","Verse 4","Taylor Swift"
29,"I love how you walk with your hands in your pockets","Verse 4","Taylor Swift"
30,"How you'd kiss me when I was in the middle of saying something","Verse 4","Taylor Swift"
31,"There's not a day I don't miss those rude interruptions","Verse 4","Taylor Swift"
32,"And I'll go sit on the floor","Chorus","Taylor Swift"
33,"Wearing your clothes","Chorus","Taylor Swift"
34,"All that I know is","Chorus","Taylor Swift"
35,"I don't know how to be something you miss","Chorus","Taylor Swift"
36,"I never thought we'd have a last kiss","Chorus","Taylor Swift"
37,"I never imagined we'd end like this","Chorus","Taylor Swift"
38,"Your name, forever the name on my lips, ooh","Chorus","Taylor Swift"
39,"So I'll watch your life in pictures like I used to watch you sleep","Bridge","Taylor Swift"
40,"And I feel you forget me like I used to feel you breathe","Bridge","Taylor Swift"
41,"And I keep up with our old friends just to ask them how you are","Bridge","Taylor Swift"
42,"Hope it's nice where you are","Bridge","Taylor Swift"
43,"And I hope the sun shines","Bridge","Taylor Swift"
44,"And it's a beautiful day","Bridge","Taylor Swift"
45,"And something reminds you","Bridge","Taylor Swift"
46,"You wish you had stayed","Bridge","Taylor Swift"
47,"You can plan for a change in weather and time","Bridge","Taylor Swift"
48,"But I never planned on you changing your mind","Bridge","Taylor Swift"
49,"So I'll go sit on the floor","Chorus","Taylor Swift"
50,"Wearing your clothes","Chorus","Taylor Swift"
51,"All that I know is","Chorus","Taylor Swift"
52,"I don't know how to be something you miss","Chorus","Taylor Swift"
53,"I never thought we'd have a last kiss","Chorus","Taylor Swift"
54,"Never imagined we'd end like this","Chorus","Taylor Swift"
55,"Your name, forever the name on my lips","Chorus","Taylor Swift"
56,"Just like our last kiss","Chorus","Taylor Swift"
57,"Forever the name on my lips","Chorus","Taylor Swift"
58,"Forever the name on my lips","Chorus","Taylor Swift"
59,"Just like our last","Outro","Taylor Swift"
