"line","lyric","element","element_artist"
1,"Meet me at midnight","Intro","Taylor Swift"
2,"Staring at the ceiling with you","Verse 1","Taylor Swift"
3,"Oh, you don't ever say too much","Verse 1","Taylor Swift"
4,"And you don't really read into","Verse 1","Taylor Swift"
5,"My melancholia","Verse 1","Taylor Swift"
6,"I been under scrutiny (Yeah, oh, yeah)","Pre-Chorus","Taylor Swift"
7,"You handled it beautifully (Yeah, oh, yeah)","Pre-Chorus","Taylor Swift"
8,"All this shit is new to me (Yeah, oh, yeah)","Pre-Chorus","Taylor Swift"
9,"I feel the lavender haze creeping up on me","Chorus","Taylor Swift"
10,"Surreal","Chorus","Taylor Swift"
11,"I'm damned if I do give a damn what people say","Chorus","Taylor Swift"
12,"No deal","Chorus","Taylor Swift"
13,"The 1950s shit they want from me","Chorus","Taylor Swift"
14,"I just wanna stay in that lavender haze","Chorus","Taylor Swift"
15,"All they keep asking me (All they keep asking me)","Verse 2","Taylor Swift"
16,"Is if I'm gonna be your bride","Verse 2","Taylor Swift"
17,"The only kinda girl they see (Only kinda girl they see)","Verse 2","Taylor Swift"
18,"Is a one-night or a wife","Verse 2","Taylor Swift"
19,"I find it dizzying (Yeah, oh, yeah)","Pre-Chorus","Taylor Swift"
20,"They're bringing up my history (Yeah, oh, yeah)","Pre-Chorus","Taylor Swift"
21,"But you weren't even listening (Yeah, oh, yeah)","Pre-Chorus","Taylor Swift"
22,"I feel the lavender haze creepin' up on me","Chorus","Taylor Swift"
23,"Surreal","Chorus","Taylor Swift"
24,"I'm damned if I do give a damn what people say","Chorus","Taylor Swift"
25,"No deal","Chorus","Taylor Swift"
26,"The 1950s shit they want from me","Chorus","Taylor Swift"
27,"I just wanna stay in that lavender haze","Chorus","Taylor Swift"
28,"That lavender haze","Post-Chorus","Taylor Swift"
29,"Talk your talk and go viral","Bridge","Taylor Swift"
30,"I just need this love spiral","Bridge","Taylor Swift"
31,"Get it off your chest","Bridge","Taylor Swift"
32,"Get it off my desk (Get it off my desk)","Bridge","Taylor Swift"
33,"Talk your talk and go viral","Bridge","Taylor Swift"
34,"I just need this love spiral","Bridge","Taylor Swift"
35,"Get it off your chest","Bridge","Taylor Swift"
36,"Get it off my desk","Bridge","Taylor Swift"
37,"I feel (I feel), the lavender haze creeping up on me","Chorus","Taylor Swift"
38,"Surreal","Chorus","Taylor Swift"
39,"I'm damned if I do give a damn what people say","Chorus","Taylor Swift"
40,"No deal (No deal)","Chorus","Taylor Swift"
41,"The 1950s shit they want from me","Chorus","Taylor Swift"
42,"I just wanna stay in that lavender haze","Chorus","Taylor Swift"
43,"Get it off your chest","Outro","Taylor Swift"
44,"Get it off my desk","Outro","Taylor Swift"
45,"The lavender haze","Outro","Taylor Swift"
46,"I just wanna stay","Outro","Taylor Swift"
47,"I just wanna stay in that lavender haze","Outro","Taylor Swift"
