"line","lyric","element","element_artist"
1,"We can go driving in, on my scooter","Intro","Taylor Swift"
2,"Uh, you know, just 'round London","Intro","Taylor Swift"
3,"Oh, I'd...","Intro","Taylor Swift"
4,"I love my hometown as much as Motown, I love SoCal","Verse 1","Taylor Swift"
5,"And you know I love Springsteen, faded blue jeans, Tennessee whiskey","Verse 1","Taylor Swift"
6,"But something happened, I heard him laughing","Verse 1","Taylor Swift"
7,"I saw the dimples first and then I heard the accent","Verse 1","Taylor Swift"
8,"They say home is where the heart is","Verse 1","Taylor Swift"
9,"But that's not where mine lives","Verse 1","Taylor Swift"
10,"You know I love a London boy","Chorus","Taylor Swift"
11,"I enjoy walking Camden Market in the afternoon","Chorus","Taylor Swift"
12,"He likes my American smile, like a child when our eyes meet","Chorus","Taylor Swift"
13,"Darling, I fancy you","Chorus","Taylor Swift"
14,"Took me back to Highgate, met all of his best mates","Chorus","Taylor Swift"
15,"So I guess all the rumors are true","Chorus","Taylor Swift"
16,"You know I love a London boy","Chorus","Taylor Swift"
17,"Boy, I fancy you (Ooh)","Chorus","Taylor Swift"
18,"And now I love high tea, stories from Uni, and the West End","Verse 2","Taylor Swift"
19,"You can find me in the pub, we are watching rugby with his school friends","Verse 2","Taylor Swift"
20,"Show me a gray sky, a rainy cab ride","Verse 2","Taylor Swift"
21,"Babes, don't threaten me with a good time","Verse 2","Taylor Swift"
22,"They say home is where the heart is","Verse 2","Taylor Swift"
23,"But God, I love the English","Verse 2","Taylor Swift"
24,"You know I love a London boy, I enjoy nights in Brixton","Chorus","Taylor Swift"
25,"Shoreditch in the afternoon","Chorus","Taylor Swift"
26,"He likes my American smile, like a child when our eyes meet","Chorus","Taylor Swift"
27,"Darling, I fancy you","Chorus","Taylor Swift"
28,"Took me back to Highgate, met all of his best mates","Chorus","Taylor Swift"
29,"So I guess all the rumors are true","Chorus","Taylor Swift"
30,"You know I love a London boy","Chorus","Taylor Swift"
31,"Boy, I fancy you","Chorus","Taylor Swift"
32,"So please show me Hackney","Bridge","Taylor Swift"
33,"Doesn't have to be Louis V up on Bond Street","Bridge","Taylor Swift"
34,"Just wanna be with you","Bridge","Taylor Swift"
35,"Wanna be with you","Bridge","Taylor Swift"
36,"Stick with me, I'm your queen","Bridge","Taylor Swift"
37,"Like a Tennessee Stella McCartney on the Heath","Bridge","Taylor Swift"
38,"Just wanna be with you (Wanna be with you)","Bridge","Taylor Swift"
39,"Wanna be with you (Oh)","Bridge","Taylor Swift"
40,"You know I love a London boy, I enjoy walking Soho","Chorus","Taylor Swift"
41,"Drinking in the afternoon (Yeah)","Chorus","Taylor Swift"
42,"He likes my American smile, like a child when our eyes meet","Chorus","Taylor Swift"
43,"Darling, I fancy you (You)","Chorus","Taylor Swift"
44,"Took me back to Highgate, met all of his best mates","Chorus","Taylor Swift"
45,"So I guess all the rumors are true (Yeah)","Chorus","Taylor Swift"
46,"You know I love a London boy (Oh)","Chorus","Taylor Swift"
47,"Boy (Oh), I fancy you (I fancy you, ooh)","Chorus","Taylor Swift"
48,"So please show me Hackney","Outro","Taylor Swift"
49,"Doesn't have to be Louis V up on Bond Street","Outro","Taylor Swift"
50,"Just wanna be with you","Outro","Taylor Swift"
51,"I, I, I fancy you","Outro","Taylor Swift"
52,"Oh whoa, oh, I","Outro","Taylor Swift"
53,"Stick with me, I'm your queen","Outro","Taylor Swift"
54,"Like a Tennessee Stella McCartney on the Heath","Outro","Taylor Swift"
55,"Just wanna be with you (Ooh)","Outro","Taylor Swift"
56,"Wanna be with you","Outro","Taylor Swift"
57,"I fancy you (Yeah), I fancy you","Outro","Taylor Swift"
58,"Oh whoa, ah","Outro","Taylor Swift"
