"line","lyric","element","element_artist"
1,"I said, remember this moment, in the back of my mind","Verse 1","Taylor Swift"
2,"The time we stood with our shaking hands","Verse 1","Taylor Swift"
3,"The crowds in stands went wild","Verse 1","Taylor Swift"
4,"We were the kings and the queens","Verse 1","Taylor Swift"
5,"And they read off our names","Verse 1","Taylor Swift"
6,"The night you danced like you knew our lives","Verse 1","Taylor Swift"
7,"Would never be the same","Verse 1","Taylor Swift"
8,"You held your head like a hero","Verse 1","Taylor Swift"
9,"On a history book page","Verse 1","Taylor Swift"
10,"It was the end of a decade","Verse 1","Taylor Swift"
11,"But the start of an age","Verse 1","Taylor Swift"
12,"Long live the walls we crashed through","Chorus","Taylor Swift"
13,"All the kingdom lights shined just for me and you","Chorus","Taylor Swift"
14,"I was screaming, long live all the magic we made","Chorus","Taylor Swift"
15,"And bring on all the pretenders","Chorus","Taylor Swift"
16,"One day, we will be remembered","Chorus","Taylor Swift"
17,"I said, remember this feeling","Verse 2","Taylor Swift"
18,"I passed the pictures around","Verse 2","Taylor Swift"
19,"Of all the years that we stood there","Verse 2","Taylor Swift"
20,"On the side-lines wishing for right now","Verse 2","Taylor Swift"
21,"We are the kings and the queens","Verse 2","Taylor Swift"
22,"You traded your baseball cap for a crown","Verse 2","Taylor Swift"
23,"When they gave us our trophies","Verse 2","Taylor Swift"
24,"And we held them up for our town","Verse 2","Taylor Swift"
25,"And the cynics were outraged","Verse 2","Taylor Swift"
26,"Screaming, ""This is absurd""","Verse 2","Taylor Swift"
27,"'Cause for a moment, a band of thieves","Verse 2","Taylor Swift"
28,"In ripped up jeans got to rule the world","Verse 2","Taylor Swift"
29,"Long live the walls we crashed through","Chorus","Taylor Swift"
30,"All the kingdom lights shined just for me and you","Chorus","Taylor Swift"
31,"I was screaming, long live all the magic we made","Chorus","Taylor Swift"
32,"And bring on all the pretenders","Chorus","Taylor Swift"
33,"I'm not afraid","Chorus","Taylor Swift"
34,"Long live all the mountains we moved","Chorus","Taylor Swift"
35,"I had the time of my life fighting dragons with you","Chorus","Taylor Swift"
36,"I was screaming, long live that look on your face","Chorus","Taylor Swift"
37,"And bring on all the pretenders","Chorus","Taylor Swift"
38,"One day, we will be remembered","Chorus","Taylor Swift"
39,"Hold on to spinning around","Bridge","Taylor Swift"
40,"Confetti falls to the ground","Bridge","Taylor Swift"
41,"May these memories break our fall","Bridge","Taylor Swift"
42,"Will you take a moment?","Bridge","Taylor Swift"
43,"Promise me this","Bridge","Taylor Swift"
44,"That you'll stand by me forever","Bridge","Taylor Swift"
45,"But if, God forbid, fate should step in","Bridge","Taylor Swift"
46,"And force us into a goodbye","Bridge","Taylor Swift"
47,"If you have children some day","Bridge","Taylor Swift"
48,"When they point to the pictures","Bridge","Taylor Swift"
49,"Please tell them my name","Bridge","Taylor Swift"
50,"Tell them how the crowds went wild","Bridge","Taylor Swift"
51,"Tell them how I hope they shine","Bridge","Taylor Swift"
52,"Long live the walls we crashed through","Bridge","Taylor Swift"
53,"I had the time of my life, with you","Bridge","Taylor Swift"
54,"Long, long live the walls we crashed through","Chorus","Taylor Swift"
55,"All the kingdom lights shined just for me and you","Chorus","Taylor Swift"
56,"I was screaming, long live all the magic we made","Chorus","Taylor Swift"
57,"And bring on all the pretenders","Chorus","Taylor Swift"
58,"I'm not afraid","Chorus","Taylor Swift"
59,"Singing, long live all the mountains we moved","Chorus","Taylor Swift"
60,"I had the time of my life fighting dragons with you","Chorus","Taylor Swift"
61,"And long, long live that look on your face","Chorus","Taylor Swift"
62,"And bring on all the pretenders","Chorus","Taylor Swift"
63,"One day, we will be remembered","Chorus","Taylor Swift"
