"line","lyric","element","element_artist"
1,"I said, ""Remember this moment""","Verse 1","Taylor Swift"
2,"In the back of my mind","Verse 1","Taylor Swift"
3,"The time we stood with our shaking hands","Verse 1","Taylor Swift"
4,"The crowds in stands went wild","Verse 1","Taylor Swift"
5,"We were the kings and the queens","Verse 1","Taylor Swift"
6,"And they read off our names","Verse 1","Taylor Swift"
7,"The night you danced like you knew our lives would","Verse 1","Taylor Swift"
8,"Never be the same","Verse 1","Taylor Swift"
9,"You held your head like a hero on a history book page","Verse 1","Taylor Swift"
10,"It was the end of a decade","Verse 1","Taylor Swift"
11,"But the start of an age","Verse 1","Taylor Swift"
12,"Long live the walls we crashed through","Chorus","Taylor Swift"
13,"How the kingdom lights shined just for me and you","Chorus","Taylor Swift"
14,"I was screaming, ""Long live all the magic we made""","Chorus","Taylor Swift"
15,"And bring on all the pretenders","Chorus","Taylor Swift"
16,"One day, we will be remembered","Chorus","Taylor Swift"
17,"I said, ""Remember this feeling""","Verse 2","Taylor Swift"
18,"I pass the pictures around","Verse 2","Taylor Swift"
19,"Of all the years that we stood there on the sidelines","Verse 2","Taylor Swift"
20,"Wishin' for right now","Verse 2","Taylor Swift"
21,"We are the kings and the queens","Verse 2","Taylor Swift"
22,"You traded your baseball cap for a crown","Verse 2","Taylor Swift"
23,"When they gave us our trophies","Verse 2","Taylor Swift"
24,"And we held them up for our town","Verse 2","Taylor Swift"
25,"And the cynics were outraged","Verse 2","Taylor Swift"
26,"Screaming, ""This is absurd""","Verse 2","Taylor Swift"
27,"'Cause for a moment, a band of thieves","Verse 2","Taylor Swift"
28,"In ripped up jeans got to rule the world","Verse 2","Taylor Swift"
29,"Long live the walls we crashed through","Chorus","Taylor Swift"
30,"How the kingdom lights shined just for me and you","Chorus","Taylor Swift"
31,"I was screaming, ""Long live all the magic we made""","Chorus","Taylor Swift"
32,"And bring on all the pretenders, I'm not afraid","Chorus","Taylor Swift"
33,"Long live all the mountains we moved","Chorus","Taylor Swift"
34,"I had the time of my life fighting dragons with you","Chorus","Taylor Swift"
35,"I was screaming, ""Long live that look on your face""","Chorus","Taylor Swift"
36,"And bring on all the pretenders","Chorus","Taylor Swift"
37,"One day, we will be remembered","Chorus","Taylor Swift"
38,"Hold on to spinning around","Bridge","Taylor Swift"
39,"Confetti falls to the ground","Bridge","Taylor Swift"
40,"May these memories break our fall","Bridge","Taylor Swift"
41,"Will you take a moment? Promise me this","Bridge","Taylor Swift"
42,"That you'll stand by me forever","Bridge","Taylor Swift"
43,"But if, God forbid, fate should step in","Bridge","Taylor Swift"
44,"And force us into a goodbye","Bridge","Taylor Swift"
45,"If you have children some day","Bridge","Taylor Swift"
46,"When they point to the pictures","Bridge","Taylor Swift"
47,"Please, tell 'em my name","Bridge","Taylor Swift"
48,"Tell 'em how the crowds went wild","Bridge","Taylor Swift"
49,"Tell 'em how I hope they shine","Bridge","Taylor Swift"
50,"Long live the walls we crashed through","Bridge","Taylor Swift"
51,"I had the time of my life with you","Bridge","Taylor Swift"
52,"Long, long live the walls we crashed through","Chorus","Taylor Swift"
53,"How the kingdom lights shined just for me and you","Chorus","Taylor Swift"
54,"And I was screaming, ""Long live all the magic we made""","Chorus","Taylor Swift"
55,"And bring on all the pretenders, I'm not afraid","Chorus","Taylor Swift"
56,"Singing, ""Long live all the mountains we moved""","Chorus","Taylor Swift"
57,"I had the time of my life fighting dragons with you","Chorus","Taylor Swift"
58,"And long, long live that look on your face","Chorus","Taylor Swift"
59,"And bring on all the pretenders","Chorus","Taylor Swift"
60,"One day, we will be remembered","Chorus","Taylor Swift"
