"line","lyric","element","element_artist"
1,"Fatefully","Verse 1","Taylor Swift"
2,"I tried to pick my battles 'til the battle picked me","Verse 1","Taylor Swift"
3,"Misery","Verse 1","Taylor Swift"
4,"Like the war of words I shouted in my sleep","Verse 1","Taylor Swift"
5,"And you passed right by","Verse 1","Taylor Swift"
6,"I was in the alley, surrounded on all sides","Verse 1","Taylor Swift"
7,"The knife cuts both ways","Verse 1","Taylor Swift"
8,"If the shoe fits, walk in it 'til your high heels break","Verse 1","Taylor Swift"
9,"And I fell from the pedestal","Chorus","Taylor Swift"
10,"Right down the rabbit hole","Chorus","Taylor Swift"
11,"Long story short, it was a bad time","Chorus","Taylor Swift"
12,"Pushed from the precipice","Chorus","Taylor Swift"
13,"Clung to the nearest lips","Chorus","Taylor Swift"
14,"Long story short, it was the wrong guy","Chorus","Taylor Swift"
15,"Now I'm all about you","Post-Chorus","Taylor Swift"
16,"I'm all about you, ah","Post-Chorus","Taylor Swift"
17,"Yeah, yeah","Post-Chorus","Taylor Swift"
18,"I'm all about you, ah","Post-Chorus","Taylor Swift"
19,"Yeah, yeah","Post-Chorus","Taylor Swift"
20,"Actually","Verse 2","Taylor Swift"
21,"I always felt I must look better in the rear view","Verse 2","Taylor Swift"
22,"Missing me","Verse 2","Taylor Swift"
23,"At the golden gates they once held the keys to","Verse 2","Taylor Swift"
24,"When I dropped my sword","Verse 2","Taylor Swift"
25,"I threw it in the bushes and knocked on your door","Verse 2","Taylor Swift"
26,"And we live in peace","Verse 2","Taylor Swift"
27,"But if someone comes at us, this time, I'm ready","Verse 2","Taylor Swift"
28,"'Cause I fell from the pedestal","Chorus","Taylor Swift"
29,"Right down the rabbit hole","Chorus","Taylor Swift"
30,"Long story short, it was a bad time","Chorus","Taylor Swift"
31,"Pushed from the precipice","Chorus","Taylor Swift"
32,"Clung to the nearest lips","Chorus","Taylor Swift"
33,"Long story short, it was the wrong guy","Chorus","Taylor Swift"
34,"Now I'm all about you","Post-Chorus","Taylor Swift"
35,"I'm all about you, ah","Post-Chorus","Taylor Swift"
36,"Yeah, yeah","Post-Chorus","Taylor Swift"
37,"I'm all about you","Post-Chorus","Taylor Swift"
38,"No more keepin' score","Bridge","Taylor Swift"
39,"Now I just keep you warm (Keep you warm)","Bridge","Taylor Swift"
40,"No more tug of war","Bridge","Taylor Swift"
41,"Now I just know there's more (Know there's more)","Bridge","Taylor Swift"
42,"No more keepin' score","Bridge","Taylor Swift"
43,"Now I just keep you warm (Keep you warm)","Bridge","Taylor Swift"
44,"And my waves meet your shore","Bridge","Taylor Swift"
45,"Ever and evermore","Bridge","Taylor Swift"
46,"Past me","Verse 3","Taylor Swift"
47,"I wanna tell you not to get lost in these petty things","Verse 3","Taylor Swift"
48,"Your nemeses","Verse 3","Taylor Swift"
49,"Will defeat themselves before you get the chance to swing","Verse 3","Taylor Swift"
50,"And he's passing by","Verse 3","Taylor Swift"
51,"Rare as the glimmer of a comet in the sky","Verse 3","Taylor Swift"
52,"And he feels like home","Verse 3","Taylor Swift"
53,"If the shoe fits, walk in it everywhere you go","Verse 3","Taylor Swift"
54,"And I fell from the pedestal","Chorus","Taylor Swift"
55,"Right down the rabbit hole","Chorus","Taylor Swift"
56,"Long story short, it was a bad time","Chorus","Taylor Swift"
57,"Pushed from the precipice","Chorus","Taylor Swift"
58,"Climbed right back up the cliff","Chorus","Taylor Swift"
59,"Long story short, I survived","Chorus","Taylor Swift"
60,"Now I'm all about you","Post-Chorus","Taylor Swift"
61,"(And now) I'm all about you, ah","Post-Chorus","Taylor Swift"
62,"(And now) I'm all about you","Post-Chorus","Taylor Swift"
63,"(And now) I'm all about you, ah","Post-Chorus","Taylor Swift"
64,"Yeah, yeah","Post-Chorus","Taylor Swift"
65,"I'm all about you","Post-Chorus","Taylor Swift"
66,"(And now) Yeah, yeah","Post-Chorus","Taylor Swift"
67,"I'm all about you","Post-Chorus","Taylor Swift"
68,"Long story short, it was a bad time","Outro","Taylor Swift"
69,"Long story short, I survived","Outro","Taylor Swift"
