"line","lyric","element","element_artist"
1,"We could leave the Christmas lights up 'til January","Verse 1","Taylor Swift"
2,"And this is our place, we make the rules","Verse 1","Taylor Swift"
3,"And there's a dazzling haze, a mysterious way about you, dear","Verse 1","Taylor Swift"
4,"Have I known you twenty seconds or twenty years?","Verse 1","Taylor Swift"
5,"Can I go where you go?","Chorus","Taylor Swift"
6,"Can we always be this close?","Chorus","Taylor Swift"
7,"Forever and ever, ah","Chorus","Taylor Swift"
8,"Take me out, and take me home","Chorus","Taylor Swift"
9,"You're my, my, my, my lover","Chorus","Taylor Swift"
10,"We could let our friends crash in the living room","Verse 2","Taylor Swift"
11,"This is our place, we make the call","Verse 2","Taylor Swift"
12,"And I'm highly suspicious that everyone who sees you wants you","Verse 2","Taylor Swift"
13,"I've loved you three summers now, honey, but I want 'em all","Verse 2","Taylor Swift"
14,"Can I go where you go?","Chorus","Taylor Swift"
15,"Can we always be this close?","Chorus","Taylor Swift"
16,"Forever and ever, ah","Chorus","Taylor Swift"
17,"Take me out, and take me home (Forever and ever)","Chorus","Taylor Swift"
18,"You're my, my, my, my lover","Chorus","Taylor Swift"
19,"Ladies and gentlemen, will you please stand?","Bridge","Taylor Swift"
20,"With every guitar string scar on my hand","Bridge","Taylor Swift"
21,"I take this magnetic force of a man to be my lover","Bridge","Taylor Swift"
22,"My heart's been borrowed and yours has been blue","Bridge","Taylor Swift"
23,"All's well that ends well to end up with you","Bridge","Taylor Swift"
24,"Swear to be overdramatic and true to my lover","Bridge","Taylor Swift"
25,"And you'll save all your dirtiest jokes for me","Bridge","Taylor Swift"
26,"And at every table, I'll save you a seat, lover","Bridge","Taylor Swift"
27,"Can I go where you go?","Chorus","Taylor Swift"
28,"Can we always be this close?","Chorus","Taylor Swift"
29,"Forever and ever, ah","Chorus","Taylor Swift"
30,"Take me out, and take me home (Forever and ever)","Chorus","Taylor Swift"
31,"You're my, my, my, my","Chorus","Taylor Swift"
32,"Oh, you're my, my, my, my","Chorus","Taylor Swift"
33,"Darling, you're my, my, my, my lover","Chorus","Taylor Swift"
