"line","lyric","element","element_artist"
1,"When the morning came","Verse 1","Taylor Swift"
2,"We were cleaning incense off your vinyl shelf","Verse 1","Taylor Swift"
3,"'Cause we lost track of time again","Verse 1","Taylor Swift"
4,"Laughing with my feet in your lap","Verse 1","Taylor Swift"
5,"Like you were my closest friend","Verse 1","Taylor Swift"
6,"""How'd we end up on the floor, anyway?"" You say","Verse 1","Taylor Swift"
7,"""Your roommate's cheap-ass screw-top rosé, that's how""","Verse 1","Taylor Swift"
8,"I see you every day now","Verse 1","Taylor Swift"
9,"And I chose you","Chorus","Taylor Swift"
10,"The one I was dancing with","Chorus","Taylor Swift"
11,"In New York, no shoes","Chorus","Taylor Swift"
12,"Looked up at the sky and it was","Chorus","Taylor Swift"
13,"The burgundy on my t-shirt","Chorus","Taylor Swift"
14,"When you splashed your wine into me","Chorus","Taylor Swift"
15,"And how the blood rushed into my cheeks","Chorus","Taylor Swift"
16,"So scarlet, it was","Chorus","Taylor Swift"
17,"The mark they saw on my collarbone","Chorus","Taylor Swift"
18,"The rust that grew between telephones","Chorus","Taylor Swift"
19,"The lips I used to call home","Chorus","Taylor Swift"
20,"So scarlet, it was maroon","Chorus","Taylor Swift"
21,"When the silence came","Verse 2","Taylor Swift"
22,"We were shaking, blind and hazy","Verse 2","Taylor Swift"
23,"How the hell did we lose sight of us again?","Verse 2","Taylor Swift"
24,"Sobbing with your head in your hands","Verse 2","Taylor Swift"
25,"Ain't that the way shit always ends?","Verse 2","Taylor Swift"
26,"You were standing hollow-eyed in the hallway","Verse 2","Taylor Swift"
27,"Carnations you had thought were roses, that's us","Verse 2","Taylor Swift"
28,"I feel you, no matter what","Verse 2","Taylor Swift"
29,"The rubies that I gave up","Verse 2","Taylor Swift"
30,"And I lost you","Chorus","Taylor Swift"
31,"The one I was dancing with","Chorus","Taylor Swift"
32,"In New York, no shoes","Chorus","Taylor Swift"
33,"Looked up at the sky and it was (Maroon)","Chorus","Taylor Swift"
34,"The burgundy on my t-shirt","Chorus","Taylor Swift"
35,"When you splashed your wine into me","Chorus","Taylor Swift"
36,"And how the blood rushed into my cheeks","Chorus","Taylor Swift"
37,"So scarlet, it was (Maroon)","Chorus","Taylor Swift"
38,"The mark they saw on my collarbone","Chorus","Taylor Swift"
39,"The rust that grew between telephones","Chorus","Taylor Swift"
40,"The lips I used to call home","Chorus","Taylor Swift"
41,"So scarlet, it was maroon","Chorus","Taylor Swift"
42,"And I wake with your memory over me","Bridge","Taylor Swift"
43,"That's a real fucking legacy, legacy (It was maroon)","Bridge","Taylor Swift"
44,"And I wake with your memory over me","Bridge","Taylor Swift"
45,"That's a real fucking legacy to leave","Bridge","Taylor Swift"
46,"The burgundy on my t-shirt","Chorus","Taylor Swift"
47,"When you splashed your wine into me","Chorus","Taylor Swift"
48,"And how the blood rushed into my cheeks","Chorus","Taylor Swift"
49,"So scarlet, it was maroon","Chorus","Taylor Swift"
50,"The mark they saw on my collarbone","Chorus","Taylor Swift"
51,"The rust that grew between telephones","Chorus","Taylor Swift"
52,"The lips I used to call home","Chorus","Taylor Swift"
53,"So scarlet, it was maroon","Chorus","Taylor Swift"
54,"It was maroon","Outro","Taylor Swift"
55,"It was maroon","Outro","Taylor Swift"
