"line","lyric","element","element_artist"
1,"She said, I was seven and you were nine","Verse 1","Taylor Swift"
2,"I looked at you like the stars that shined","Verse 1","Taylor Swift"
3,"In the sky, the pretty lights","Verse 1","Taylor Swift"
4,"And our daddies used to joke about the two of us","Verse 1","Taylor Swift"
5,"Growing up and falling in love and our mamas smiled","Verse 1","Taylor Swift"
6,"And rolled their eyes and said, ""Oh my, my, my""","Verse 1","Taylor Swift"
7,"Take me back to the house in the backyard tree","Chorus 1","Taylor Swift"
8,"Said you'd beat me up, you were bigger than me","Chorus 1","Taylor Swift"
9,"You never did, you never did","Chorus 1","Taylor Swift"
10,"Take me back when our world was one block wide","Chorus 1","Taylor Swift"
11,"I dared you to kiss me and ran when you tried","Chorus 1","Taylor Swift"
12,"Just two kids, you and I","Chorus 1","Taylor Swift"
13,"Oh my, my, my, my","Chorus 1","Taylor Swift"
14,"Well, I was sixteen when suddenly","Verse 2","Taylor Swift"
15,"I wasn't that little girl you used to see","Verse 2","Taylor Swift"
16,"But your eyes still shined like pretty lights","Verse 2","Taylor Swift"
17,"And our daddies used to joke about the two of us","Verse 2","Taylor Swift"
18,"They never believed we'd really fall in love","Verse 2","Taylor Swift"
19,"And our mamas smiled and rolled their eyes","Verse 2","Taylor Swift"
20,"And said, ""Oh my, my, my""","Verse 2","Taylor Swift"
21,"Take me back to the creek beds we turned up","Chorus 2","Taylor Swift"
22,"Two A.M. riding in your truck, and all I need is you next to me","Chorus 2","Taylor Swift"
23,"Take me back to the time we had our very first fight","Chorus 2","Taylor Swift"
24,"The slamming of doors instead of kissing goodnight","Chorus 2","Taylor Swift"
25,"You stayed outside 'til the morning light","Chorus 2","Taylor Swift"
26,"Oh my, my, my, my","Chorus 2","Taylor Swift"
27,"A few years had gone and come around","Verse 3","Taylor Swift"
28,"We were sitting at our favorite spot in town","Verse 3","Taylor Swift"
29,"And you looked at me, got down on one knee","Verse 3","Taylor Swift"
30,"Take me back to the time when we walked down the aisle","Chorus 3","Taylor Swift"
31,"Our whole town came and our mamas cried","Chorus 3","Taylor Swift"
32,"You said ""I do"" and I did too","Chorus 3","Taylor Swift"
33,"Take me home where we met so many years before","Chorus 3","Taylor Swift"
34,"We'll rock our babies on that very front porch","Chorus 3","Taylor Swift"
35,"After all this time, you and I","Chorus 3","Taylor Swift"
36,"I'll be eighty-seven; you'll be eighty-nine","Outro","Taylor Swift"
37,"I'll still look at you like the stars that shine","Outro","Taylor Swift"
38,"In the sky, oh my, my, my","Outro","Taylor Swift"
