"line","lyric","element","element_artist"
1,"Once upon a time, the planets and the fates","Verse 1","Taylor Swift"
2,"And all the stars aligned","Verse 1","Taylor Swift"
3,"You and I ended up in the same room","Verse 1","Taylor Swift"
4,"At the same time","Verse 1","Taylor Swift"
5,"And the touch of a hand lit the fuse","Pre-Chorus","Taylor Swift"
6,"Of a chain reaction of countermoves","Pre-Chorus","Taylor Swift"
7,"To assess the equation of you","Pre-Chorus","Taylor Swift"
8,"Checkmate, I couldn't lose","Pre-Chorus","Taylor Swift"
9,"What if I told you none of it was accidental?","Chorus","Taylor Swift"
10,"And the first night that you saw me","Chorus","Taylor Swift"
11,"Nothing was gonna stop me","Chorus","Taylor Swift"
12,"I laid the groundwork, and then","Chorus","Taylor Swift"
13,"Just like clockwork","Chorus","Taylor Swift"
14,"The dominoes cascaded in the line","Chorus","Taylor Swift"
15,"What if I told you I'm a mastermind?","Chorus","Taylor Swift"
16,"And now you're mine","Chorus","Taylor Swift"
17,"It was all by design","Chorus","Taylor Swift"
18,"'Cause I'm a mastermind","Chorus","Taylor Swift"
19,"You see, all the wisest women","Verse 2","Taylor Swift"
20,"Had to do it this way","Verse 2","Taylor Swift"
21,"'Cause we were born to be the pawn","Verse 2","Taylor Swift"
22,"In every lover's game","Verse 2","Taylor Swift"
23,"If you fail to plan, you plan to fail","Pre-Chorus","Taylor Swift"
24,"Strategy sets the scene for the tale","Pre-Chorus","Taylor Swift"
25,"I'm the wind in our free-flowing sails","Pre-Chorus","Taylor Swift"
26,"And the liquor in our cocktails","Pre-Chorus","Taylor Swift"
27,"What if I told you none of it was accidental?","Chorus","Taylor Swift"
28,"And the first night that you saw me","Chorus","Taylor Swift"
29,"I knew I wanted your body","Chorus","Taylor Swift"
30,"I laid the groundwork, and then","Chorus","Taylor Swift"
31,"Just like clockwork","Chorus","Taylor Swift"
32,"The dominoes cascaded in a line","Chorus","Taylor Swift"
33,"What if I told you I'm a mastermind?","Chorus","Taylor Swift"
34,"And now you're mine","Chorus","Taylor Swift"
35,"It was all my design","Chorus","Taylor Swift"
36,"'Cause I'm a mastermind","Chorus","Taylor Swift"
37,"No one wanted to play with me as a little kid","Bridge","Taylor Swift"
38,"So I've been scheming like a criminal ever since","Bridge","Taylor Swift"
39,"To make them love me and make it seem effortless","Bridge","Taylor Swift"
40,"This is the first time I've felt the need to confess","Bridge","Taylor Swift"
41,"And I swear","Bridge","Taylor Swift"
42,"I'm only cryptic and Machiavellian","Bridge","Taylor Swift"
43,"'Cause I care","Bridge","Taylor Swift"
44,"So I told you none of it was accidental","Chorus","Taylor Swift"
45,"And the first night that you saw me","Chorus","Taylor Swift"
46,"Nothing was gonna stop me","Chorus","Taylor Swift"
47,"I laid the groundwork, and then","Chorus","Taylor Swift"
48,"Saw a wide smirk on your face","Chorus","Taylor Swift"
49,"You knew the entire time","Chorus","Taylor Swift"
50,"You knew that I'm a mastermind","Chorus","Taylor Swift"
51,"And now you're mine","Chorus","Taylor Swift"
52,"Yeah, all you did was smile","Chorus","Taylor Swift"
53,"'Cause I'm a mastermind","Chorus","Taylor Swift"
