"line","lyric","element","element_artist"
1,"Rain","Intro","Taylor Swift"
2,"He wanted it comfortable, I wanted that pain","Intro","Taylor Swift"
3,"He wanted a bride, I was making my own name","Intro","Taylor Swift"
4,"Chasing that fame, he stayed the same","Intro","Taylor Swift"
5,"All of me changed like midnight","Intro","Taylor Swift"
6,"My town was a wasteland","Verse 1","Taylor Swift"
7,"Full of cages, full of fences","Verse 1","Taylor Swift"
8,"Pageant queens and big pretenders","Verse 1","Taylor Swift"
9,"But for some, it was paradise","Verse 1","Taylor Swift"
10,"My boy was a montage","Verse 1","Taylor Swift"
11,"A slow-motion, love potion","Verse 1","Taylor Swift"
12,"Jumping off things in the ocean","Verse 1","Taylor Swift"
13,"I broke his heart 'cause he was nice","Verse 1","Taylor Swift"
14,"He was sunshine, I was midnight rain","Verse 1","Taylor Swift"
15,"He wanted it comfortable, I wanted that pain","Chorus","Taylor Swift"
16,"He wanted a bride, I was making my own name","Chorus","Taylor Swift"
17,"Chasing that fame, he stayed the same","Chorus","Taylor Swift"
18,"All of me changed like midnight","Chorus","Taylor Swift"
19,"It came like a postcard","Verse 2","Taylor Swift"
20,"Picture perfect shiny family","Verse 2","Taylor Swift"
21,"Holiday peppermint candy","Verse 2","Taylor Swift"
22,"But for him, it's every day","Verse 2","Taylor Swift"
23,"So I peered through a window","Verse 2","Taylor Swift"
24,"A deep portal, time travel","Verse 2","Taylor Swift"
25,"All the love we unravel","Verse 2","Taylor Swift"
26,"And the life I gave away","Verse 2","Taylor Swift"
27,"'Cause he was sunshine, I was midnight rain","Verse 2","Taylor Swift"
28,"He wanted it comfortable, I wanted that pain","Chorus","Taylor Swift"
29,"He wanted a bride, I was making my own name","Chorus","Taylor Swift"
30,"Chasing that fame, he stayed the same","Chorus","Taylor Swift"
31,"All of me changed like midnight rain","Chorus","Taylor Swift"
32,"He wanted it comfortable, I wanted that pain","Chorus","Taylor Swift"
33,"He wanted a bride, I was making my own name","Chorus","Taylor Swift"
34,"Chasing that fame, he stayed the same","Chorus","Taylor Swift"
35,"All of me changed like midnight","Chorus","Taylor Swift"
36,"I guess sometimes we all get","Outro","Taylor Swift"
37,"Just what we wanted, just what we wanted","Outro","Taylor Swift"
38,"And he never thinks of me","Outro","Taylor Swift"
39,"Except for when I'm on TV","Outro","Taylor Swift"
40,"I guess sometimes we all get","Outro","Taylor Swift"
41,"Some kind of haunted, some kind of haunted","Outro","Taylor Swift"
42,"And I never think of him","Outro","Taylor Swift"
43,"Except on midnights like this","Outro","Taylor Swift"
44,"(Midnights like this, midnights like this)","Outro","Taylor Swift"
