"line","lyric","element","element_artist"
1,"You were in college, working part-time, waiting tables","Verse 1","Taylor Swift"
2,"Left a small town and never looked back","Verse 1","Taylor Swift"
3,"I was a flight risk, with a fear of falling","Verse 1","Taylor Swift"
4,"Wondering why we bother with love, if it never lasts","Verse 1","Taylor Swift"
5,"I say, ""Can you believe it?""","Pre-Chorus 1","Taylor Swift"
6,"As we're lying on the couch","Pre-Chorus 1","Taylor Swift"
7,"The moment, I could see it","Pre-Chorus 1","Taylor Swift"
8,"Yes, yes, I can see it now","Pre-Chorus 1","Taylor Swift"
9,"Do you remember, we were sitting there, by the water?","Chorus","Taylor Swift"
10,"You put your arm around me for the first time","Chorus","Taylor Swift"
11,"You made a rebel of a careless man's careful daughter","Chorus","Taylor Swift"
12,"You are the best thing that's ever been mine","Chorus","Taylor Swift"
13,"Flash forward, and we're taking on the world together","Verse 2","Taylor Swift"
14,"And there's a drawer of my things at your place","Verse 2","Taylor Swift"
15,"You learn my secrets and you figure out why I'm guarded","Verse 2","Taylor Swift"
16,"You say we'll never make my parents' mistakes","Verse 2","Taylor Swift"
17,"But we got bills to pay","Pre-Chorus 2","Taylor Swift"
18,"We got nothing figured out","Pre-Chorus 2","Taylor Swift"
19,"When it was hard to take","Pre-Chorus 2","Taylor Swift"
20,"Yes, yes","Pre-Chorus 2","Taylor Swift"
21,"This is what I thought about:","Pre-Chorus 2","Taylor Swift"
22,"Do you remember, we were sitting there, by the water?","Chorus","Taylor Swift"
23,"You put your arm around me for the first time","Chorus","Taylor Swift"
24,"You made a rebel of a careless man's careful daughter","Chorus","Taylor Swift"
25,"You are the best thing that's ever been mine","Chorus","Taylor Swift"
26,"Do you remember all the city lights on the water?","Chorus","Taylor Swift"
27,"You saw me start to believe for the first time","Chorus","Taylor Swift"
28,"You made a rebel of a careless man's careful daughter","Chorus","Taylor Swift"
29,"You are the best thing that's ever been mine","Chorus","Taylor Swift"
30,"And I remember that fight, 2:30 AM","Bridge","Taylor Swift"
31,"As everything was slipping right out of our hands","Bridge","Taylor Swift"
32,"I ran out, crying, and you followed me out into the street","Bridge","Taylor Swift"
33,"Braced myself for the goodbye","Bridge","Taylor Swift"
34,"'Cause that's all I've ever known","Bridge","Taylor Swift"
35,"Then, you took me by surprise","Bridge","Taylor Swift"
36,"You said, ""I'll never leave you alone.""","Bridge","Taylor Swift"
37,"You said, ""I remember how we felt, sitting by the water","Chorus 2","Taylor Swift"
38,"And every time I look at you, it's like the first time","Chorus 2","Taylor Swift"
39,"I fell in love with a careless man's careful daughter","Chorus 2","Taylor Swift"
40,"She is the best thing that's ever been mine""","Chorus 2","Taylor Swift"
41,"Hold on, make it last","Chorus 2","Taylor Swift"
42,"Hold on, never turn back","Chorus 2","Taylor Swift"
43,"You made a rebel of a careless man's careful daughter","Chorus 2","Taylor Swift"
44,"You are the best thing that's ever been mine","Chorus 2","Taylor Swift"
45,"Yeah, yeah","Outro","Taylor Swift"
46,"Do you believe it? (Hold on)","Outro","Taylor Swift"
47,"We're gonna make it now (Hold on)","Outro","Taylor Swift"
48,"And I can see it","Outro","Taylor Swift"
49,"Yeah, yeah","Outro","Taylor Swift"
50,"I can see it now (See it now)","Outro","Taylor Swift"
