"line","lyric","element","element_artist"
1,"Ah-ah, ah-ah","Intro","Taylor Swift"
2,"Ah-ah, ah-ah","Intro","Taylor Swift"
3,"You were in college working part-time, waitin' tables","Verse 1","Taylor Swift"
4,"Left a small town, never looked back","Verse 1","Taylor Swift"
5,"I was a flight risk with a fear of falling","Verse 1","Taylor Swift"
6,"Wonderin' why we bother with love if it never lasts","Verse 1","Taylor Swift"
7,"I say, ""Can you believe it?""","Pre-Chorus","Taylor Swift"
8,"As we're lyin' on the couch","Pre-Chorus","Taylor Swift"
9,"The moment I could see it","Pre-Chorus","Taylor Swift"
10,"Yes, yes, I can see it now","Pre-Chorus","Taylor Swift"
11,"Do you remember, we were sittin' there by the water?","Chorus","Taylor Swift"
12,"You put your arm around me for the first time","Chorus","Taylor Swift"
13,"You made a rebel of a careless man's careful daughter","Chorus","Taylor Swift"
14,"You are the best thing that's ever been mine","Chorus","Taylor Swift"
15,"Flash forward and we're takin' on the world together","Verse 2","Taylor Swift"
16,"And there's a drawer of my things at your place","Verse 2","Taylor Swift"
17,"You learn my secrets and you figure out why I'm guarded","Verse 2","Taylor Swift"
18,"You say we'll never make my parents' mistakes","Verse 2","Taylor Swift"
19,"But we got bills to pay","Pre-Chorus","Taylor Swift"
20,"We got nothing figured out","Pre-Chorus","Taylor Swift"
21,"When it was hard to take","Pre-Chorus","Taylor Swift"
22,"Yes, yes, this is what I thought about","Pre-Chorus","Taylor Swift"
23,"Do you remember, we were sittin' there by the water?","Chorus","Taylor Swift"
24,"You put your arm around me for the first time","Chorus","Taylor Swift"
25,"You made a rebel of a careless man's careful daughter","Chorus","Taylor Swift"
26,"You are the best thing that's ever been mine","Chorus","Taylor Swift"
27,"Do you remember all the city lights on the water?","Chorus","Taylor Swift"
28,"You saw me start to believe for the first time","Chorus","Taylor Swift"
29,"You made a rebel of a careless man's careful daughter","Chorus","Taylor Swift"
30,"You are the best thing that's ever been mine","Chorus","Taylor Swift"
31,"Oh-oh, oh","Post-Chorus","Taylor Swift"
32,"And I remember that fight, 2:30AM","Bridge","Taylor Swift"
33,"As everything was slippin' right out of our hands","Bridge","Taylor Swift"
34,"I ran out cryin' and you followed me out into the street","Bridge","Taylor Swift"
35,"Braced myself for the goodbye","Bridge","Taylor Swift"
36,"'Cause that's all I've ever known","Bridge","Taylor Swift"
37,"Then you took me by surprise","Bridge","Taylor Swift"
38,"You said, ""I'll never leave you alone""","Bridge","Taylor Swift"
39,"You said, ""I remember how it felt sitting by the water","Chorus","Taylor Swift"
40,"And every time I look at you, it's like the first time","Chorus","Taylor Swift"
41,"I fell in love with a careless man's careful daughter","Chorus","Taylor Swift"
42,"She is the best thing that's ever been mine""","Chorus","Taylor Swift"
43,"Hold on and make it last","Post-Chorus","Taylor Swift"
44,"Hold on, never turn back","Post-Chorus","Taylor Swift"
45,"(Hold on) You made a rebel of a careless man's careful daughter","Post-Chorus","Taylor Swift"
46,"(Hold on) You are the best thing that's ever been mine","Post-Chorus","Taylor Swift"
47,"Yes, yes, do you believe it? (Hold on)","Outro","Taylor Swift"
48,"Yes, yes, we're gonna make it now (Hold on, yeah)","Outro","Taylor Swift"
49,"Yes, yes, and I can see it (Hold on)","Outro","Taylor Swift"
50,"Yes, yes, I can see it now","Outro","Taylor Swift"
