"line","lyric","element","element_artist"
1,"I want you to know","Verse 1","Taylor Swift"
2,"I'm a mirrorball","Verse 1","Taylor Swift"
3,"I'll show you every version of yourself tonight","Verse 1","Taylor Swift"
4,"I'll get you out on the floor","Verse 1","Taylor Swift"
5,"Shimmering beautiful","Verse 1","Taylor Swift"
6,"And when I break, it's in a million pieces","Verse 1","Taylor Swift"
7,"Hush, when no one is around, my dear","Chorus","Taylor Swift"
8,"You'll find me on my tallest tiptoes","Chorus","Taylor Swift"
9,"Spinning in my highest heels, love","Chorus","Taylor Swift"
10,"Shining just for you","Chorus","Taylor Swift"
11,"Hush, I know they said the end is near","Chorus","Taylor Swift"
12,"But I'm still on my tallest tiptoes","Chorus","Taylor Swift"
13,"Spinning in my highest heels, love","Chorus","Taylor Swift"
14,"Shining just for you","Chorus","Taylor Swift"
15,"I want you to know","Verse 2","Taylor Swift"
16,"I'm a mirrorball","Verse 2","Taylor Swift"
17,"I can change everything about me to fit in","Verse 2","Taylor Swift"
18,"You are not like the regulars","Verse 2","Taylor Swift"
19,"The masquerade revelers","Verse 2","Taylor Swift"
20,"Drunk as they watch my shattered edges glisten","Verse 2","Taylor Swift"
21,"Hush, when no one is around, my dear","Chorus","Taylor Swift"
22,"You'll find me on my tallest tiptoes","Chorus","Taylor Swift"
23,"Spinning in my highest heels, love","Chorus","Taylor Swift"
24,"Shining just for you","Chorus","Taylor Swift"
25,"Hush, I know they said the end is near","Chorus","Taylor Swift"
26,"But I'm still on my tallest tiptoes","Chorus","Taylor Swift"
27,"Spinning in my highest heels, love","Chorus","Taylor Swift"
28,"Shining just for you","Chorus","Taylor Swift"
29,"And they called off the circus, burned the disco down","Bridge","Taylor Swift"
30,"When they sent home the horses and the rodeo clowns","Bridge","Taylor Swift"
31,"I'm still on that tightrope","Bridge","Taylor Swift"
32,"I'm still trying everything to get you laughing at me","Bridge","Taylor Swift"
33,"And I'm still a believer, but I don't know why","Bridge","Taylor Swift"
34,"I've never been a natural, all I do is try, try, try","Bridge","Taylor Swift"
35,"I'm still on that trapeze","Bridge","Taylor Swift"
36,"I'm still trying everything to keep you looking at me","Bridge","Taylor Swift"
37,"Because I'm a mirrorball","Outro","Taylor Swift"
38,"I'm a mirrorball","Outro","Taylor Swift"
39,"And I'll show you every version of yourself tonight","Outro","Taylor Swift"
