"line","lyric","element","element_artist"
1,"Mr. ""Perfect face""","Verse 1","Taylor Swift"
2,"Mr. ""Here to stay""","Verse 1","Taylor Swift"
3,"Mr. ""Looked me in the eye and told me you would never go away""","Verse 1","Taylor Swift"
4,"Everything was right","Verse 1","Taylor Swift"
5,"Mr. ""I've been waitin' for you all my life""","Verse 1","Taylor Swift"
6,"Mr. ""Every single day until the end, I will be by your side""","Verse 1","Taylor Swift"
7,"But that was when I got to know Mr. ""Change of heart""","Pre-Chorus","Taylor Swift"
8,"Mr. ""Leaves me all alone,"" I fall apart","Pre-Chorus","Taylor Swift"
9,"It takes everything in me just to get up each day","Pre-Chorus","Taylor Swift"
10,"But it's wonderful to see that you're okay","Pre-Chorus","Taylor Swift"
11,"Hello, Mr. ""Perfectly fine""","Chorus","Taylor Swift"
12,"How's your heart after breakin' mine?","Chorus","Taylor Swift"
13,"Mr. ""Always at the right place at the right time,"" baby","Chorus","Taylor Swift"
14,"Hello, Mr. ""Casually cruel""","Chorus","Taylor Swift"
15,"Mr. ""Everything revolves around you""","Chorus","Taylor Swift"
16,"I've been Miss Misery since your goodbye","Chorus","Taylor Swift"
17,"And you're Mr. ""Perfectly fine""","Chorus","Taylor Swift"
18,"Mr. ""Never told me why""","Verse 2","Taylor Swift"
19,"Mr. ""Never had to see me cry""","Verse 2","Taylor Swift"
20,"Mr. ""Insincere apology so he doesn't look like the bad guy""","Verse 2","Taylor Swift"
21,"He goes about his day","Verse 2","Taylor Swift"
22,"Forgets he ever even heard my name","Verse 2","Taylor Swift"
23,"Well, I thought you might be different than the rest, I guess you're all the same","Verse 2","Taylor Swift"
24,"'Cause I hear he's got his arm 'round a brand-new girl","Pre-Chorus","Taylor Swift"
25,"I've been pickin' up my heart, he's been pickin' up her","Pre-Chorus","Taylor Swift"
26,"And I never got past what you put me through","Pre-Chorus","Taylor Swift"
27,"But it's wonderful to see that it never fazed you","Pre-Chorus","Taylor Swift"
28,"Hello, Mr. ""Perfectly fine""","Chorus","Taylor Swift"
29,"How's your heart after breakin' mine?","Chorus","Taylor Swift"
30,"Mr. ""Always at the right place at the right time,"" baby","Chorus","Taylor Swift"
31,"Hello, Mr. ""Casually cruel""","Chorus","Taylor Swift"
32,"Mr. ""Everything revolves around you""","Chorus","Taylor Swift"
33,"I've been Miss Misery since your goodbye","Chorus","Taylor Swift"
34,"And you're Mr. ""Perfectly fine""","Chorus","Taylor Swift"
35,"So dignified in your well-pressed suit","Verse 3","Taylor Swift"
36,"So strategized, all the eyes on you","Verse 3","Taylor Swift"
37,"Sashay your way to your seat","Verse 3","Taylor Swift"
38,"It's the best seat, in the best room","Verse 3","Taylor Swift"
39,"Oh, he's so smug, Mr. ""Always wins""","Verse 3","Taylor Swift"
40,"So far above me in every sense","Verse 3","Taylor Swift"
41,"So far above feeling anything","Verse 3","Taylor Swift"
42,"And it's really such a shame","Bridge","Taylor Swift"
43,"It's such a shame","Bridge","Taylor Swift"
44,"'Cause I was Miss ""Here to stay""","Bridge","Taylor Swift"
45,"Now I'm Miss ""Gonna be alright someday""","Bridge","Taylor Swift"
46,"And someday maybe you'll miss me","Bridge","Taylor Swift"
47,"But by then, you'll be Mr. ""Too late""","Bridge","Taylor Swift"
48,"Goodbye, Mr. ""Perfectly fine""","Chorus","Taylor Swift"
49,"How's your heart after breakin' mine?","Chorus","Taylor Swift"
50,"Mr. ""Always at the right place at the right time,"" baby","Chorus","Taylor Swift"
51,"Goodbye, Mr. ""Casually cruel""","Chorus","Taylor Swift"
52,"Mr. ""Everything revolves around you""","Chorus","Taylor Swift"
53,"I've been Miss Misery for the last time","Chorus","Taylor Swift"
54,"And you're Mr. ""Perfectly fine""","Chorus","Taylor Swift"
55,"You're perfectly fine","Outro","Taylor Swift"
56,"Mr. ""Look me in the eye and told me you would never go away""","Outro","Taylor Swift"
57,"You said you'd never go away","Outro","Taylor Swift"
