"line","lyric","element","element_artist"
1,"We gather here, we line up, weepin' in a sunlit room","Verse 1","Taylor Swift"
2,"And if I'm on fire, you'll be made of ashes, too","Verse 1","Taylor Swift"
3,"Even on my worst day, did I deserve, babe","Verse 1","Taylor Swift"
4,"All the hell you gave me?","Verse 1","Taylor Swift"
5,"'Cause I loved you, I swear I loved you","Verse 1","Taylor Swift"
6,"'Til my dying day","Verse 1","Taylor Swift"
7,"I didn't have it in myself to go with grace","Chorus","Taylor Swift"
8,"And you're the hero flying around, saving face","Chorus","Taylor Swift"
9,"And if I'm dead to you, why are you at the wake?","Chorus","Taylor Swift"
10,"Cursing my name, wishing I stayed","Chorus","Taylor Swift"
11,"Look at how my tears ricochet","Chorus","Taylor Swift"
12,"We gather stones, never knowing what they'll mean","Verse 2","Taylor Swift"
13,"Some to throw, some to make a diamond ring","Verse 2","Taylor Swift"
14,"You know I didn't want to have to haunt you","Verse 2","Taylor Swift"
15,"But what a ghostly scene","Verse 2","Taylor Swift"
16,"You wear the same jewels that I gave you","Verse 2","Taylor Swift"
17,"As you bury me","Verse 2","Taylor Swift"
18,"I didn't have it in myself to go with grace","Chorus","Taylor Swift"
19,"'Cause when I'd fight, you used to tell me I was brave","Chorus","Taylor Swift"
20,"And if I'm dead to you, why are you at the wake?","Chorus","Taylor Swift"
21,"Cursing my name, wishing I stayed","Chorus","Taylor Swift"
22,"Look at how my tears ricochet","Chorus","Taylor Swift"
23,"And I can go anywhere I want","Bridge","Taylor Swift"
24,"Anywhere I want, just not home","Bridge","Taylor Swift"
25,"And you can aim for my heart, go for blood","Bridge","Taylor Swift"
26,"But you would still miss me in your bones","Bridge","Taylor Swift"
27,"And I still talk to you (When I'm screaming at the sky)","Bridge","Taylor Swift"
28,"And when you can't sleep at night (You hear my stolen lullabies)","Bridge","Taylor Swift"
29,"I didn't have it in myself to go with grace","Chorus","Taylor Swift"
30,"And so the battleships will sink beneath the waves","Chorus","Taylor Swift"
31,"You had to kill me, but it killed you just the same","Chorus","Taylor Swift"
32,"Cursing my name, wishing I stayed","Chorus","Taylor Swift"
33,"You turned into your worst fears","Chorus","Taylor Swift"
34,"And you're tossing out blame, drunk on this pain","Chorus","Taylor Swift"
35,"Crossing out the good years","Chorus","Taylor Swift"
36,"And you're cursing my name, wishing I stayed","Chorus","Taylor Swift"
37,"Look at how my tears ricochet","Chorus","Taylor Swift"
