"line","lyric","element","element_artist"
1,"It keeps me awake, the look on your face","Verse 1","Taylor Swift"
2,"The moment you heard the news","Verse 1","Taylor Swift"
3,"You're screaming inside and frozen in time","Verse 1","Taylor Swift"
4,"You did all that you could do","Verse 1","Taylor Swift"
5,"The game was rigged, the ref got tricked","Verse 1","Taylor Swift"
6,"The wrong ones think they're right","Verse 1","Taylor Swift"
7,"You were outnumbered this time","Verse 1","Taylor Swift"
8,"But only the young, only the young","Chorus","Taylor Swift"
9,"Only the young, only the young","Chorus","Taylor Swift"
10,"Can run","Chorus","Taylor Swift"
11,"Can run","Chorus","Taylor Swift"
12,"So run, and run, and run","Chorus","Taylor Swift"
13,"So every day now","Verse 2","Taylor Swift"
14,"You brace for the sound you've only heard on TV","Verse 2","Taylor Swift"
15,"You go to class, scared","Verse 2","Taylor Swift"
16,"Wondering where the best hiding spot would be","Verse 2","Taylor Swift"
17,"And the big bad man and his big bad clan","Verse 2","Taylor Swift"
18,"Their hands are stained with red","Verse 2","Taylor Swift"
19,"Oh, how quickly they forget","Verse 2","Taylor Swift"
20,"They aren't gonna help us","Pre-Chorus","Taylor Swift"
21,"Too busy helping themselves","Pre-Chorus","Taylor Swift"
22,"They aren't gonna change this","Pre-Chorus","Taylor Swift"
23,"We gotta do it ourselves","Pre-Chorus","Taylor Swift"
24,"They think that it's over","Pre-Chorus","Taylor Swift"
25,"But it's just begun","Pre-Chorus","Taylor Swift"
26,"Only one thing can save us","Chorus","Taylor Swift"
27,"Only the young (Only the young)","Chorus","Taylor Swift"
28,"Only the young (Only the young)","Chorus","Taylor Swift"
29,"Only the young (Only the young)","Chorus","Taylor Swift"
30,"Only the young","Chorus","Taylor Swift"
31,"Only the young (Only the young)","Chorus","Taylor Swift"
32,"Only the young (Only the young)","Chorus","Taylor Swift"
33,"Only the young (Only the young)","Chorus","Taylor Swift"
34,"Only the young","Chorus","Taylor Swift"
35,"Only the young (Only the young; Don't say you're too tired to fight)","Chorus","Taylor Swift"
36,"Only the young (Only the young; It's just a matter of time)","Chorus","Taylor Swift"
37,"Only the young (Only the young; Up there's the finish line)","Chorus","Taylor Swift"
38,"Only the young","Chorus","Taylor Swift"
39,"Can run","Chorus","Taylor Swift"
40,"Don't say you're too tired to fight","Post-Chorus","Taylor Swift"
41,"It's just a matter of time (Can run)","Post-Chorus","Taylor Swift"
42,"Up there's the finish line (So run, and run, and run)","Post-Chorus","Taylor Swift"
43,"Don't say you're too tired to fight","Post-Chorus","Taylor Swift"
44,"It's just a matter of time (So run)","Post-Chorus","Taylor Swift"
45,"Up there's the finish line (And run, and run, and run)","Post-Chorus","Taylor Swift"
46,"Only the young","Outro","Taylor Swift"
47,"Only the young","Outro","Taylor Swift"
48,"Only the young","Outro","Taylor Swift"
