"line","lyric","element","element_artist"
1,"Looking at it now","Verse 1","Taylor Swift"
2,"It all seems so simple","Verse 1","Taylor Swift"
3,"We were lying on your couch","Verse 1","Taylor Swift"
4,"I remember","Verse 1","Taylor Swift"
5,"You took a Polaroid of us","Verse 1","Taylor Swift"
6,"Then discovered (Then discovered)","Verse 1","Taylor Swift"
7,"The rest of the world was black and white","Verse 1","Taylor Swift"
8,"But we were in screaming color","Verse 1","Taylor Swift"
9,"And I remember thinkin'","Verse 1","Taylor Swift"
10,"Are we out of the woods yet? Are we out of the woods yet?","Chorus","Taylor Swift"
11,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
12,"Are we in the clear yet? Are we in the clear yet?","Chorus","Taylor Swift"
13,"Are we in the clear yet, in the clear yet? Good","Chorus","Taylor Swift"
14,"Are we out of the woods yet? Are we out of the woods yet?","Chorus","Taylor Swift"
15,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
16,"Are we in the clear yet? Are we in the clear yet?","Chorus","Taylor Swift"
17,"Are we in the clear yet, in the clear yet? Good","Chorus","Taylor Swift"
18,"(Are we out of the woods?)","Chorus","Taylor Swift"
19,"Looking at it now","Verse 2","Taylor Swift"
20,"Last December (Last December)","Verse 2","Taylor Swift"
21,"We were built to fall apart","Verse 2","Taylor Swift"
22,"Then fall back together (Back together)","Verse 2","Taylor Swift"
23,"Ooh, your necklace hanging from my neck","Verse 2","Taylor Swift"
24,"The night we couldn't quite forget","Verse 2","Taylor Swift"
25,"When we decided, we decided","Verse 2","Taylor Swift"
26,"To move the furniture so we could dance","Verse 2","Taylor Swift"
27,"Baby, like we stood a chance","Verse 2","Taylor Swift"
28,"Two paper airplanes flying, flying, flying","Verse 2","Taylor Swift"
29,"And I remember thinkin'","Verse 2","Taylor Swift"
30,"Are we out of the woods yet? Are we out of the woods yet?","Chorus","Taylor Swift"
31,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
32,"Are we in the clear yet? Are we in the clear yet?","Chorus","Taylor Swift"
33,"Are we in the clear yet, in the clear yet? Good","Chorus","Taylor Swift"
34,"Are we out of the woods yet? Are we out of the woods yet? (Oh)","Chorus","Taylor Swift"
35,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
36,"Are we in the clear yet? Are we in the clear yet?","Chorus","Taylor Swift"
37,"Are we in the clear yet, in the clear yet? Good","Chorus","Taylor Swift"
38,"(Are we out of the woods?)","Chorus","Taylor Swift"
39,"Remember when you hit the brakes too soon?","Bridge","Taylor Swift"
40,"Twenty stitches in the hospital room","Bridge","Taylor Swift"
41,"When you started crying, baby, I did too","Bridge","Taylor Swift"
42,"But when the sun came up, I was lookin' at you","Bridge","Taylor Swift"
43,"Remember when we couldn't take the heat?","Bridge","Taylor Swift"
44,"I walked out, I said, ""I'm settin' you free""","Bridge","Taylor Swift"
45,"But the monsters turned out to be just trees","Bridge","Taylor Swift"
46,"When the sun came up, you were lookin' at me","Bridge","Taylor Swift"
47,"You were lookin' at me, oh, you were looking at me","Bridge","Taylor Swift"
48,"(Are we out of the woods yet? Are we out of the woods yet?)","Bridge","Taylor Swift"
49,"(Are we out of the woods yet? Are we out of the woods?)","Bridge","Taylor Swift"
50,"I remember","Bridge","Taylor Swift"
51,"(Are we in the clear yet? Are we in the clear yet?)","Bridge","Taylor Swift"
52,"(Are we in the clear yet, in the clear yet? Good)","Bridge","Taylor Swift"
53,"Oh, I remember","Bridge","Taylor Swift"
54,"Are we out of the woods yet? Are we out of the woods yet? (Yeah)","Chorus","Taylor Swift"
55,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
56,"Are we in the clear yet? Are we in the clear yet? (Say, are we?)","Chorus","Taylor Swift"
57,"Are we in the clear yet, in the clear yet? Good","Chorus","Taylor Swift"
58,"Are we out of the woods yet? Are we out of the woods yet?","Chorus","Taylor Swift"
59,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
60,"Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah)","Chorus","Taylor Swift"
61,"Are we in the clear yet, in the clear yet? Good (Clear yet? Good)","Chorus","Taylor Swift"
62,"Are we out of the woods yet? Are we out of the woods yet?","Chorus","Taylor Swift"
63,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
64,"Are we in the clear yet? Are we in the clear yet?","Chorus","Taylor Swift"
65,"Are we in the clear yet, in the clear yet? Good (Do you remember?)","Chorus","Taylor Swift"
66,"Are we out of the woods yet? Are we out of the woods yet?","Chorus","Taylor Swift"
67,"Are we out of the woods yet? Are we out of the woods?","Chorus","Taylor Swift"
68,"Are we in the clear yet? Are we in the clear yet?","Chorus","Taylor Swift"
69,"Are we in the clear yet, in the clear yet? Good","Chorus","Taylor Swift"
