"line","lyric","element","element_artist"
1,"The moon is high","Verse 1","Taylor Swift"
2,"Like your friends were the night that we first met","Verse 1","Taylor Swift"
3,"Went home and tried to stalk you on the internet","Verse 1","Taylor Swift"
4,"Now I've read all of the books beside your bed","Verse 1","Taylor Swift"
5,"The wine is cold","Verse 1","Taylor Swift"
6,"Like the shoulder that I gave you in the street","Verse 1","Taylor Swift"
7,"Cat and mouse for a month or two or three","Verse 1","Taylor Swift"
8,"Now I wake up in the night and watch you breathe","Verse 1","Taylor Swift"
9,"(Ayy)","Pre-Chorus","Taylor Swift"
10,"Kiss me once 'cause you know I had a long night (Oh)","Pre-Chorus","Taylor Swift"
11,"Kiss me twice 'cause it's gonna be alright (Uh)","Pre-Chorus","Taylor Swift"
12,"Three times 'cause I waited my whole life (1, 2, 1, 2, 3, 4)","Pre-Chorus","Taylor Swift"
13,"I like shiny things, but I'd marry you with paper rings","Chorus","Taylor Swift"
14,"Uh huh, that's right","Chorus","Taylor Swift"
15,"Darling, you're the one I want, and","Chorus","Taylor Swift"
16,"I hate accidents except when we went from friends to this","Chorus","Taylor Swift"
17,"Uh huh, that's right","Chorus","Taylor Swift"
18,"Darling, you're the one I want","Chorus","Taylor Swift"
19,"In paper rings, in picture frames, in dirty dreams","Chorus","Taylor Swift"
20,"Oh, you're the one I want","Chorus","Taylor Swift"
21,"In the winter, in the icy outdoor pool","Verse 2","Taylor Swift"
22,"When you jumped in first, I went in too","Verse 2","Taylor Swift"
23,"I'm with you even if it makes me blue","Verse 2","Taylor Swift"
24,"Which takes me back","Verse 2","Taylor Swift"
25,"To the color that we painted your brother's wall","Verse 2","Taylor Swift"
26,"Honey, without all the exes, fights, and flaws","Verse 2","Taylor Swift"
27,"We wouldn't be standing here so tall, so","Verse 2","Taylor Swift"
28,"(Ayy)","Pre-Chorus","Taylor Swift"
29,"Kiss you once 'cause I know you had a long night (Oh)","Pre-Chorus","Taylor Swift"
30,"Kiss you twice 'cause it's gonna be alright (Uh)","Pre-Chorus","Taylor Swift"
31,"Three times 'cause you waited your whole life (1, 2, 1, 2, 3, 4)","Pre-Chorus","Taylor Swift"
32,"Ah","Pre-Chorus","Taylor Swift"
33,"I like shiny things, but I'd marry you with paper rings","Chorus","Taylor Swift"
34,"Uh huh, that's right","Chorus","Taylor Swift"
35,"Darling, you're the one I want, and","Chorus","Taylor Swift"
36,"I hate accidents except when we went from friends to this","Chorus","Taylor Swift"
37,"Uh huh, that's right","Chorus","Taylor Swift"
38,"Darling, you're the one I want","Chorus","Taylor Swift"
39,"In paper rings, in picture frames, in dirty dreams","Chorus","Taylor Swift"
40,"Oh, you're the one I want","Chorus","Taylor Swift"
41,"I want to drive away with you","Bridge","Taylor Swift"
42,"I want your complications too","Bridge","Taylor Swift"
43,"I want your dreary Mondays","Bridge","Taylor Swift"
44,"Wrap your arms around me, baby boy","Bridge","Taylor Swift"
45,"I want to drive away with you","Bridge","Taylor Swift"
46,"I want your complications too","Bridge","Taylor Swift"
47,"I want your dreary Mondays","Bridge","Taylor Swift"
48,"Wrap your arms around me, baby boy","Bridge","Taylor Swift"
49,"Uh huh","Bridge","Taylor Swift"
50,"I like shiny things, but I'd marry you with paper rings","Chorus","Taylor Swift"
51,"Ah-ah, that's right, you're the one I want","Chorus","Taylor Swift"
52,"I hate accidents except when we went from friends to this","Chorus","Taylor Swift"
53,"Ah-ah, darling, you're the one I want","Chorus","Taylor Swift"
54,"I like shiny things, but I'd marry you with paper rings","Chorus","Taylor Swift"
55,"Uh huh, that's right","Chorus","Taylor Swift"
56,"Darling, you're the one I want, and","Chorus","Taylor Swift"
57,"I hate accidents except when we went from friends to this","Chorus","Taylor Swift"
58,"Uh huh, that's right","Chorus","Taylor Swift"
59,"Darling, you're the one I want","Chorus","Taylor Swift"
60,"In paper rings, in picture frames, in all my dreams","Chorus","Taylor Swift"
61,"You're the one I want","Chorus","Taylor Swift"
62,"In paper rings, in picture frames, in all my dreams","Chorus","Taylor Swift"
63,"Oh, you're the one I want","Chorus","Taylor Swift"
64,"You're the one I want, one I want","Outro","Taylor Swift"
65,"You're the one I want, one I want","Outro","Taylor Swift"
