"line","lyric","element","element_artist"
1,"State the obvious, I didn't get my perfect fantasy","Verse 1","Taylor Swift"
2,"I realize you love yourself more than you could ever love me","Verse 1","Taylor Swift"
3,"So go and tell your friends that I'm obsessive and crazy","Verse 1","Taylor Swift"
4,"That's fine you won't mind if I say","Verse 1","Taylor Swift"
5,"By the way","Verse 1","Taylor Swift"
6,"I hate that stupid old pickup truck you never let me drive","Chorus","Taylor Swift"
7,"You're a redneck heartbreak who's really bad at lying","Chorus","Taylor Swift"
8,"So watch me strike a match on all my wasted time","Chorus","Taylor Swift"
9,"As far as I'm concerned you're just another picture to burn","Chorus","Taylor Swift"
10,"There's no time for tears","Verse 2","Taylor Swift"
11,"I'm just sitting here planning my revenge","Verse 2","Taylor Swift"
12,"There's nothing stopping me","Verse 2","Taylor Swift"
13,"From going out with all of your best friends","Verse 2","Taylor Swift"
14,"And if you come around saying sorry to me","Verse 2","Taylor Swift"
15,"My daddy's gonna show you how sorry you'll be","Verse 2","Taylor Swift"
16,"I hate that stupid old pickup truck you never let me drive","Chorus","Taylor Swift"
17,"You're a redneck heartbreak who's really bad at lying","Chorus","Taylor Swift"
18,"So watch me strike a match on all my wasted time","Chorus","Taylor Swift"
19,"As far as I'm concerned you're just another picture to burn","Chorus","Taylor Swift"
20,"And if you're missing me, you'd better keep it to yourself","Bridge","Taylor Swift"
21,"'Cause coming back around here would be bad for your health...","Bridge","Taylor Swift"
22,"'Cause I hate that stupid old pickup truck you never let me drive","Chorus","Taylor Swift"
23,"You're a redneck heartbreak who's really bad at lying","Chorus","Taylor Swift"
24,"So watch me strike a match on all my wasted time","Chorus","Taylor Swift"
25,"In case you haven't heard,","Chorus","Taylor Swift"
26,"I really really hate that","Chorus","Taylor Swift"
27,"I hate that stupid old pickup truck you never let me drive","Chorus","Taylor Swift"
28,"You're a redneck heartbreak who's really bad at lying","Chorus","Taylor Swift"
29,"So watch me strike a match on all my wasted time","Chorus","Taylor Swift"
30,"As far as I'm concerned you're just another picture to burn","Chorus","Taylor Swift"
31,"Burn, burn, burn, baby, burn","Outro","Taylor Swift"
32,"You're just another picture to burn","Outro","Taylor Swift"
33,"Baby, burn","Outro","Taylor Swift"
