"line","lyric","element","element_artist"
1,"Knew he was a killer first time that I saw him","Verse 1","Taylor Swift"
2,"Wondered how many girls he had loved and left haunted","Verse 1","Taylor Swift"
3,"But if he's a ghost, then I can be a phantom","Verse 1","Taylor Swift"
4,"Holdin' him for ransom, some","Verse 1","Taylor Swift"
5,"Some boys are tryin' too hard, he don't try at all though","Verse 1","Taylor Swift"
6,"Younger than my exes, but he act like such a man, so","Verse 1","Taylor Swift"
7,"I see nothing better, I keep him forever","Verse 1","Taylor Swift"
8,"Like a vendetta-ta","Verse 1","Taylor Swift"
9,"I, I, I see how this is gon' go","Pre-Chorus","Taylor Swift"
10,"Touch me and you'll never be alone","Pre-Chorus","Taylor Swift"
11,"I-Island breeze and lights down low","Pre-Chorus","Taylor Swift"
12,"No one has to know","Pre-Chorus","Taylor Swift"
13,"In the middle of the night, in my dreams","Chorus","Taylor Swift"
14,"You should see the things we do, baby","Chorus","Taylor Swift"
15,"In the middle of the night, in my dreams","Chorus","Taylor Swift"
16,"I know I'm gonna be with you, so I take my time","Chorus","Taylor Swift"
17,"Are you ready for it?","Chorus","Taylor Swift"
18,"Knew I was a robber first time that he saw me","Verse 2","Taylor Swift"
19,"Stealing hearts and running off and never sayin' sorry","Verse 2","Taylor Swift"
20,"But if I'm a thief, then he can join the heist, and","Verse 2","Taylor Swift"
21,"We'll move to an island, and","Verse 2","Taylor Swift"
22,"And he can be my jailer, Burton to this Taylor","Verse 2","Taylor Swift"
23,"Every love I've known in comparison is a failure","Verse 2","Taylor Swift"
24,"I forget their names now, I'm so very tame now","Verse 2","Taylor Swift"
25,"Never be the same now, now","Verse 2","Taylor Swift"
26,"I, I, I see how this is gon' go","Pre-Chorus","Taylor Swift"
27,"Touch me and you'll never be alone","Pre-Chorus","Taylor Swift"
28,"I-Island breeze and lights down low","Pre-Chorus","Taylor Swift"
29,"No one has to know (No one has to know)","Pre-Chorus","Taylor Swift"
30,"In the middle of the night, in my dreams","Chorus","Taylor Swift"
31,"You should see the things we do, baby","Chorus","Taylor Swift"
32,"In the middle of the night in my dreams","Chorus","Taylor Swift"
33,"I know I'm gonna be with you, so I take my time","Chorus","Taylor Swift"
34,"Are you ready for it?","Chorus","Taylor Swift"
35,"Oh, are you ready for it?","Chorus","Taylor Swift"
36,"Baby, let the games begin","Refrain","Taylor Swift"
37,"Let the games begin","Refrain","Taylor Swift"
38,"Let the games begin","Refrain","Taylor Swift"
39,"Baby, let the games begin","Refrain","Taylor Swift"
40,"Let the games begin","Refrain","Taylor Swift"
41,"Let the games begin","Refrain","Taylor Swift"
42,"I, I, I see how this is gon' go","Pre-Chorus","Taylor Swift"
43,"Touch me and you'll never be alone","Pre-Chorus","Taylor Swift"
44,"I-Island breeze and lights down low","Pre-Chorus","Taylor Swift"
45,"No one has to know","Pre-Chorus","Taylor Swift"
46,"In the middle of the night (Night), in my dreams (My dreams)","Chorus","Taylor Swift"
47,"You should see the things we do (We do), baby (Baby), hmm (Eh)","Chorus","Taylor Swift"
48,"In the middle of the night, in my dreams (My dreams)","Chorus","Taylor Swift"
49,"I know I'm gonna be with you (I know I'm gonna be with you)","Chorus","Taylor Swift"
50,"So I take my time","Chorus","Taylor Swift"
51,"In the middle of the night","Chorus","Taylor Swift"
52,"Baby, let the games begin","Refrain","Taylor Swift"
53,"Let the games begin","Refrain","Taylor Swift"
54,"Let the games begin","Refrain","Taylor Swift"
55,"Are you ready for it?","Refrain","Taylor Swift"
56,"Baby, let the games begin","Refrain","Taylor Swift"
57,"Let the games begin","Refrain","Taylor Swift"
58,"Let the games begin","Refrain","Taylor Swift"
59,"Are you ready for it?","Refrain","Taylor Swift"
