"line","lyric","element","element_artist"
1,"Loving him is like driving a new Maserati down a dead-end street","Verse 1","Taylor Swift"
2,"Faster than the wind, passionate as sin, ending so suddenly","Verse 1","Taylor Swift"
3,"Loving him is like trying to change your mind once you're already flying through the free fall","Verse 1","Taylor Swift"
4,"Like the colors in autumn, so bright, just before they lose it all","Verse 1","Taylor Swift"
5,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
6,"Missing him was dark gray, all alone","Chorus","Taylor Swift"
7,"Forgetting him was like trying to know somebody you never met","Chorus","Taylor Swift"
8,"But loving him was red","Chorus","Taylor Swift"
9,"(Red, red, red)","Post-Chorus","Taylor Swift"
10,"(Red, red, red)","Post-Chorus","Taylor Swift"
11,"(Red, red, red)","Post-Chorus","Taylor Swift"
12,"(Red, red, red)","Post-Chorus","Taylor Swift"
13,"But loving him was red","Post-Chorus","Taylor Swift"
14,"(Red, red, red)","Post-Chorus","Taylor Swift"
15,"(Red, red, red)","Post-Chorus","Taylor Swift"
16,"(Red, red, red)","Post-Chorus","Taylor Swift"
17,"(Red, red, red)","Post-Chorus","Taylor Swift"
18,"Touching him was like","Verse 2","Taylor Swift"
19,"Realizing all you ever wanted was right there in front of you","Verse 2","Taylor Swift"
20,"Memorizing him was as","Verse 2","Taylor Swift"
21,"Easy as knowing all the words to your old favorite song","Verse 2","Taylor Swift"
22,"Fighting with him was like","Verse 2","Taylor Swift"
23,"Trying to solve a crossword and realizing there's no right answer","Verse 2","Taylor Swift"
24,"Regretting him was like","Verse 2","Taylor Swift"
25,"Wishing you never found out that love could be that strong","Verse 2","Taylor Swift"
26,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
27,"Missing him was dark gray, all alone (Woah)","Chorus","Taylor Swift"
28,"Forgetting him was like","Chorus","Taylor Swift"
29,"Trying to know somebody you never met","Chorus","Taylor Swift"
30,"But loving him was red","Chorus","Taylor Swift"
31,"(Red, red, red)","Post-Chorus","Taylor Swift"
32,"(Red, red, red)","Post-Chorus","Taylor Swift"
33,"Oh, red (Red, red, red)","Post-Chorus","Taylor Swift"
34,"(Red, red, red)","Post-Chorus","Taylor Swift"
35,"Burning red (Red, red, red)","Post-Chorus","Taylor Swift"
36,"(Red, red, red)","Post-Chorus","Taylor Swift"
37,"(Red, red, red)","Post-Chorus","Taylor Swift"
38,"(Red, red, red)","Post-Chorus","Taylor Swift"
39,"Remembering him comes in flashbacks and echoes","Bridge","Taylor Swift"
40,"Tell myself it's time now, gotta let go","Bridge","Taylor Swift"
41,"But moving on from him is impossible","Bridge","Taylor Swift"
42,"When I still see it all in my head","Bridge","Taylor Swift"
43,"In burning red","Bridge","Taylor Swift"
44,"Loving him was red","Bridge","Taylor Swift"
45,"Oh, losing him was blue like I'd never known","Chorus","Taylor Swift"
46,"Missing him was dark gray, all alone (Woah)","Chorus","Taylor Swift"
47,"Forgetting him was like trying to know somebody you never met","Chorus","Taylor Swift"
48,"'Cause loving him was red","Chorus","Taylor Swift"
49,"(Red, red, red; red, red, red)","Post-Chorus","Taylor Swift"
50,"Yeah, yeah, red","Post-Chorus","Taylor Swift"
51,"(Red, red, red; red, red, red)","Post-Chorus","Taylor Swift"
52,"Burning red (Red, red, red; red, red, red)","Post-Chorus","Taylor Swift"
53,"(Red, red, red; red, red, red)","Post-Chorus","Taylor Swift"
54,"And that's why he's spinning 'round in my head (Red, red, red; red, red, red)","Breakdown","Taylor Swift"
55,"Comes back to me (Red, red, red; red, red, red), burning red","Breakdown","Taylor Swift"
56,"(Red, red, red; red, red, red) Yeah, yeah","Breakdown","Taylor Swift"
57,"(Red, red, red; red, red, red)","Breakdown","Taylor Swift"
58,"His love was like driving a new Maserati down a dead-end street","Outro","Taylor Swift"
