"line","lyric","element","element_artist"
1,"I tapped on your window on your darkest night","Verse 1","Taylor Swift"
2,"The shape of you was jagged and weak","Verse 1","Taylor Swift"
3,"There was nowhere for me to stay, but I stayed anyway","Verse 1","Taylor Swift"
4,"And if I would've known how many pieces you had crumbled into","Verse 1","Taylor Swift"
5,"I might have let them lay","Verse 1","Taylor Swift"
6,"Are you really gonna talk about timing in times like these?","Chorus","Taylor Swift"
7,"And let all your damage damage me","Chorus","Taylor Swift"
8,"And carry your baggage up my street","Chorus","Taylor Swift"
9,"And make me your future history, it's time","Chorus","Taylor Swift"
10,"You've come a long way; open the blinds, let me see your face","Chorus","Taylor Swift"
11,"You wouldn't be the first renegade to need somebody","Chorus","Taylor Swift"
12,"Is it insensitive for me to say, ""Get your shit together so I can love you?""","Chorus","Taylor Swift"
13,"Is it really your anxiety that stops you from giving me everything?","Chorus","Taylor Swift"
14,"Or do you just not want to?","Chorus","Taylor Swift"
15,"I tapped on your window on your darkest night","Verse 2","Taylor Swift"
16,"The shape of you was jagged and weak","Verse 2","Taylor Swift"
17,"There was nowhere for me to stay, but I stayed anyway","Verse 2","Taylor Swift"
18,"You fire off missiles 'cause you hate yourself","Verse 2","Taylor Swift"
19,"But do you know you're demolishing me?","Verse 2","Taylor Swift"
20,"And then you squeeze my hand as I'm about to leave","Verse 2","Taylor Swift"
21,"Are you really gonna talk about timing in times like these?","Chorus","Taylor Swift"
22,"And let all your damage damage me","Chorus","Taylor Swift"
23,"And carry your baggage up my street","Chorus","Taylor Swift"
24,"And make me your future history, it's time","Chorus","Taylor Swift"
25,"You've come a long way; open the blinds, let me see your face","Chorus","Taylor Swift"
26,"You wouldn't be the first renegade to need somebody","Chorus","Taylor Swift"
27,"Is it insensitive for me to say, ""Get your shit together so I can love you?""","Chorus","Taylor Swift"
28,"Is it really your anxiety that stops you from giving me everything?","Chorus","Taylor Swift"
29,"Or do you just not want to?","Chorus","Taylor Swift"
30,"And if I would've known","Bridge","Taylor Swift"
31,"How sharp the pieces were you'd crumbled into","Bridge","Taylor Swift"
32,"I might've let them lay","Bridge","Taylor Swift"
33,"Are you really gonna talk about timing in times like these?","Chorus","Taylor Swift"
34,"And let all your damage damage me","Chorus","Taylor Swift"
35,"And carry your baggage up my street","Chorus","Taylor Swift"
36,"And make me your future history, it's time","Chorus","Taylor Swift"
37,"You've come a long way; open the blinds, let me see your face","Chorus","Taylor Swift"
38,"You wouldn't be the first renegade to need somebody","Chorus","Taylor Swift"
39,"To need somebody, to need somebody, to need somebody, to need","Outro","Taylor Swift"
40,"Are you really gonna talk about timing in times like these?","Outro","Taylor Swift"
41,"And let all your damage damage me","Outro","Taylor Swift"
42,"And carry your baggage up my street","Outro","Taylor Swift"
43,"And make me your future history, it's time","Outro","Taylor Swift"
44,"Is it insensitive for me to say, ""Get your shit together so I can love you?""","Outro","Taylor Swift"
45,"You come a long way, open the blinds, let me see your face","Outro","Taylor Swift"
46,"You wouldn't be the first renegade to need somebody","Outro","Taylor Swift"
47,"Is it really your anxiety that stops you from giving me everything?","Outro","Taylor Swift"
48,"Or do you just not want to?","Outro","Taylor Swift"
