"line","lyric","element","element_artist"
1,"I remember your bare feet, down the hallway","Verse 1","Taylor Swift"
2,"I remember your little laugh","Verse 1","Taylor Swift"
3,"Race cars on the kitchen floor, plastic dinosaurs","Verse 1","Taylor Swift"
4,"I love you to the moon and back","Verse 1","Taylor Swift"
5,"I remember your blue eyes looking into mine","Verse 1","Taylor Swift"
6,"Like we had our own secret club","Verse 1","Taylor Swift"
7,"I remember you dancing before bedtime","Verse 1","Taylor Swift"
8,"Then jumping on me, waking me up","Verse 1","Taylor Swift"
9,"I can still feel you hold my hand, little man","Verse 1","Taylor Swift"
10,"And even the moment I knew","Verse 1","Taylor Swift"
11,"You fought it hard like an army guy","Verse 1","Taylor Swift"
12,"Remember I leaned in and whispered to you","Verse 1","Taylor Swift"
13,"""Come on, baby, with me","Chorus","Taylor Swift"
14,"We're going to fly away from here","Chorus","Taylor Swift"
15,"You were my best four years""","Chorus","Taylor Swift"
16,"I remember the drive home","Verse 2","Taylor Swift"
17,"When the blind hope turned to crying and screaming, ""Why?""","Verse 2","Taylor Swift"
18,"Flowers pile up in the worst way, no one knows what to say","Verse 2","Taylor Swift"
19,"About a beautiful boy who died","Verse 2","Taylor Swift"
20,"And it's about to be Halloween","Verse 2","Taylor Swift"
21,"You could be anything you wanted if you were still here","Verse 2","Taylor Swift"
22,"I remember the last day, when I kissed your face","Verse 2","Taylor Swift"
23,"And whispered in your ear","Verse 2","Taylor Swift"
24,"""Come on, baby, with me","Chorus","Taylor Swift"
25,"We're going to fly away from here","Chorus","Taylor Swift"
26,"Out of this curtained room and this hospital gray, we'll just disappear","Chorus","Taylor Swift"
27,"Come on, baby, with me","Chorus","Taylor Swift"
28,"We're going to fly away from here","Chorus","Taylor Swift"
29,"You were my best four years""","Chorus","Taylor Swift"
30,"What if I'm standing in your closet trying to talk to you?","Bridge","Taylor Swift"
31,"And what if I kept the hand-me-downs you won't grow into?","Bridge","Taylor Swift"
32,"And what if I really thought some miracle would see us through?","Bridge","Taylor Swift"
33,"What if the miracle was even getting one moment with you?","Bridge","Taylor Swift"
34,"Come on, baby, with me","Chorus","Taylor Swift"
35,"We're going to fly away from here","Chorus","Taylor Swift"
36,"Come on, baby, with me","Chorus","Taylor Swift"
37,"We're going to fly away from here","Chorus","Taylor Swift"
38,"You were my best four years","Chorus","Taylor Swift"
39,"I remember your bare feet, down the hallway","Outro","Taylor Swift"
40,"I love you to the moon and back","Outro","Taylor Swift"
