"line","lyric","element","element_artist"
1,"Long handwritten note, deep in your pocket","Verse 1","Taylor Swift"
2,"Words, how little they mean, when you're a little too late","Verse 1","Taylor Swift"
3,"I stood right by the tracks, your face in a locket","Verse 1","Taylor Swift"
4,"Good girls, hopeful they'll be and long they will wait","Verse 1","Taylor Swift"
5,"We had a beautiful magic love there","Chorus","Taylor Swift"
6,"What a sad, beautiful, tragic love affair","Chorus","Taylor Swift"
7,"In dreams, I meet you in warm conversation","Verse 2","Taylor Swift"
8,"And we both wake in lonely beds, different cities","Verse 2","Taylor Swift"
9,"And time is taking its sweet time erasing you","Verse 2","Taylor Swift"
10,"And you've got your demons","Verse 2","Taylor Swift"
11,"And darling, they all look like me","Verse 2","Taylor Swift"
12,"'Cause we had a beautiful magic love there","Chorus","Taylor Swift"
13,"What a sad, beautiful, tragic love affair (Whoa, oh, whoa, oh)","Chorus","Taylor Swift"
14,"Distance, timing, breakdown, fighting","Bridge","Taylor Swift"
15,"Silence, the train runs off its tracks","Bridge","Taylor Swift"
16,"Kiss me, try to fix it, could you just try to listen?","Bridge","Taylor Swift"
17,"Hang up, give up, and for the life of us we can't get back","Bridge","Taylor Swift"
18,"A beautiful magic love there","Bridge","Taylor Swift"
19,"What a sad, beautiful, tragic, beautiful, tragic, beautiful","Bridge","Taylor Swift"
20,"What we had, a beautiful magic love there","Chorus","Taylor Swift"
21,"What a sad, beautiful, tragic, love affair","Chorus","Taylor Swift"
22,"We had a beautiful magic love there","Chorus","Taylor Swift"
23,"What a sad, beautiful, tragic love affair","Chorus","Taylor Swift"
