"line","lyric","element","element_artist"
1,"I remember tears streaming down your face","Verse 1","Taylor Swift"
2,"When I said I'll never let you go","Verse 1","Taylor Swift"
3,"When all those shadows almost killed your light","Verse 1","Taylor Swift"
4,"I remember you said, ""Don't leave me here alone""","Verse 1","Taylor Swift"
5,"But all that's dead and gone and passed tonight","Verse 1","Taylor Swift"
6,"Just close your eyes","Chorus","Taylor Swift"
7,"The sun is going down","Chorus","Taylor Swift"
8,"You'll be alright","Chorus","Taylor Swift"
9,"No one can hurt you now","Chorus","Taylor Swift"
10,"Come morning light","Chorus","Taylor Swift"
11,"You and I'll be safe and sound","Chorus","Taylor Swift"
12,"Don't you dare look out your window","Verse 2","Taylor Swift"
13,"Darling, everything's on fire","Verse 2","Taylor Swift"
14,"The war outside our door keeps raging on","Verse 2","Taylor Swift"
15,"Hold on to this lullaby","Verse 2","Taylor Swift"
16,"Even when (the) music's gone","Verse 2","Taylor Swift"
17,"Gone","Verse 2","Taylor Swift"
18,"Just close your eyes","Chorus","Taylor Swift"
19,"The sun is going down","Chorus","Taylor Swift"
20,"You'll be alright","Chorus","Taylor Swift"
21,"No one can hurt you now","Chorus","Taylor Swift"
22,"Come morning light","Chorus","Taylor Swift"
23,"You and I'll be safe and sound","Chorus","Taylor Swift"
24,"Ooh, ooh, ooh, ooh, oh, oh","Bridge","Taylor Swift"
25,"Just close your eyes","Chorus","Taylor Swift"
26,"You'll be alright","Chorus","Taylor Swift"
27,"Come morning light","Chorus","Taylor Swift"
28,"You and I'll be safe and sound","Chorus","Taylor Swift"
29,"Ooh, ooh, ooh, ooh oh oh","Outro","Taylor Swift"
