"line","lyric","element","element_artist"
1,"Please picture me in the trees","Verse 1","Taylor Swift"
2,"I hit my peak at seven","Verse 1","Taylor Swift"
3,"Feet in the swing over the creek","Verse 1","Taylor Swift"
4,"I was too scared to jump in","Verse 1","Taylor Swift"
5,"But I, I was high in the sky","Verse 1","Taylor Swift"
6,"With Pennsylvania under me","Verse 1","Taylor Swift"
7,"Are there still beautiful things?","Verse 1","Taylor Swift"
8,"Sweet tea in the summer","Chorus","Taylor Swift"
9,"Cross your heart, won't tell no other","Chorus","Taylor Swift"
10,"And though I can't recall your face","Chorus","Taylor Swift"
11,"I still got love for you","Chorus","Taylor Swift"
12,"Your braids like a pattern","Chorus","Taylor Swift"
13,"Love you to the Moon and to Saturn","Chorus","Taylor Swift"
14,"Passed down like folk songs","Chorus","Taylor Swift"
15,"The love lasts so long","Chorus","Taylor Swift"
16,"And I've been meaning to tell you","Bridge","Taylor Swift"
17,"I think your house is haunted","Bridge","Taylor Swift"
18,"Your dad is always mad and that must be why","Bridge","Taylor Swift"
19,"And I think you should come live with me","Bridge","Taylor Swift"
20,"And we can be pirates","Bridge","Taylor Swift"
21,"Then you won't have to cry","Bridge","Taylor Swift"
22,"Or hide in the closet","Bridge","Taylor Swift"
23,"And just like a folk song","Bridge","Taylor Swift"
24,"Our love will be passed on","Bridge","Taylor Swift"
25,"Please picture me in the weeds","Verse 2","Taylor Swift"
26,"Before I learned civility","Verse 2","Taylor Swift"
27,"I used to scream ferociously","Verse 2","Taylor Swift"
28,"Any time I wanted","Verse 2","Taylor Swift"
29,"I, I","Verse 2","Taylor Swift"
30,"Sweet tea in the summer","Chorus","Taylor Swift"
31,"Cross my heart, won't tell no other","Chorus","Taylor Swift"
32,"And though I can't recall your face","Chorus","Taylor Swift"
33,"I still got love for you","Chorus","Taylor Swift"
34,"Pack your dolls and a sweater","Chorus","Taylor Swift"
35,"We'll move to India forever","Chorus","Taylor Swift"
36,"Passed down like folk songs","Chorus","Taylor Swift"
37,"Our love lasts so long","Chorus","Taylor Swift"
