"line","lyric","element","element_artist"
1,"It's strange to think","Verse 1","Taylor Swift"
2,"The songs we used to sing","Verse 1","Taylor Swift"
3,"The smiles, the flowers, everything is gone","Verse 1","Taylor Swift"
4,"Yesterday I found out about you","Verse 1","Taylor Swift"
5,"Even now just looking at you feels wrong","Verse 1","Taylor Swift"
6,"You say that you'd take it all back, given one chance","Pre-Chorus","Taylor Swift"
7,"It was a moment of weakness and you said ""yes""","Pre-Chorus","Taylor Swift"
8,"You should've said no, you should've gone home","Chorus","Taylor Swift"
9,"You should've thought twice 'fore you let it all go","Chorus","Taylor Swift"
10,"You should have known the word 'bout what you did with her'd get back to me","Chorus","Taylor Swift"
11,"And I should've been there in the back of your mind","Chorus","Taylor Swift"
12,"I shouldn't be asking myself why","Chorus","Taylor Swift"
13,"You shouldn't be begging for forgiveness at my feet","Chorus","Taylor Swift"
14,"You should've said no, baby, and you might still have me","Chorus","Taylor Swift"
15,"You can see that I've been crying","Verse 2","Taylor Swift"
16,"Baby, you know all the right things to say","Verse 2","Taylor Swift"
17,"But do you honestly expect me to believe","Verse 2","Taylor Swift"
18,"We could ever be the same?","Verse 2","Taylor Swift"
19,"You say that the past is the past, you need one chance","Pre-Chorus","Taylor Swift"
20,"It was a moment of weakness and you said yes","Pre-Chorus","Taylor Swift"
21,"You should've said no, you should've gone home","Chorus","Taylor Swift"
22,"You should've thought twice 'fore you let it all go","Chorus","Taylor Swift"
23,"You should've known the word 'bout what you did with her'd get back to me","Chorus","Taylor Swift"
24,"And I should've been there in the back of your mind","Chorus","Taylor Swift"
25,"I shouldn't be asking myself why","Chorus","Taylor Swift"
26,"You shouldn't be begging for forgiveness at my feet","Chorus","Taylor Swift"
27,"You should've said no baby and you might still have me","Chorus","Taylor Swift"
28,"I can't resist","Bridge","Taylor Swift"
29,"Before you go tell me this","Bridge","Taylor Swift"
30,"Was it worth this?","Bridge","Taylor Swift"
31,"Was she worth this?","Bridge","Taylor Swift"
32,"No, no, no, no, no, no","Bridge","Taylor Swift"
33,"You should've said no, you should've gone home","Chorus","Taylor Swift"
34,"You should've thought twice 'fore you let it all go","Chorus","Taylor Swift"
35,"You should've known the word 'bout what you did with her'd get back to me","Chorus","Taylor Swift"
36,"And I should've been there in the back of your mind","Chorus","Taylor Swift"
37,"I shouldn't be asking myself why","Chorus","Taylor Swift"
38,"You shouldn't be begging for forgiveness at my feet","Chorus","Taylor Swift"
39,"You should've said no baby and you might still have me","Chorus","Taylor Swift"
