"line","lyric","element","element_artist"
1,"Silent night, holy night","Verse 1","Taylor Swift"
2,"All is calm and all is bright","Verse 1","Taylor Swift"
3,"Round yon virgin mother and child","Verse 1","Taylor Swift"
4,"Holy infant so tender and mild","Verse 1","Taylor Swift"
5,"Sleep in heavenly peace","Verse 1","Taylor Swift"
6,"Sleep in heavenly peace","Verse 1","Taylor Swift"
7,"Silent night, holy night","Verse 2","Taylor Swift"
8,"Shepherds quake at the sight","Verse 2","Taylor Swift"
9,"Glories stream from Heaven afar","Verse 2","Taylor Swift"
10,"Heavenly hosts sing Hallelujah","Verse 2","Taylor Swift"
11,"Christ the Saviour is born","Verse 2","Taylor Swift"
12,"Christ our Saviour is born","Verse 2","Taylor Swift"
13,"Silent night, holy night","Verse 3","Taylor Swift"
14,"Son of God","Verse 3","Taylor Swift"
15,"Love's pure light","Verse 3","Taylor Swift"
16,"Radiant beams from thy holy face","Verse 3","Taylor Swift"
17,"With the dawn of redeeming grace","Verse 3","Taylor Swift"
18,"Jesus Lord at thy birth","Verse 3","Taylor Swift"
19,"Jesus Lord at thy birth","Verse 3","Taylor Swift"
20,"Hallelujah!","Outro","Taylor Swift"
21,"Hallelujah!","Outro","Taylor Swift"
22,"Hallelujah!","Outro","Taylor Swift"
23,"Christ the Saviour is born","Outro","Taylor Swift"
