"line","lyric","element","element_artist"
1,"Flamingo pink, Sunrise Boulevard","Verse 1","Taylor Swift"
2,"Clink, clink, being this young is art","Verse 1","Taylor Swift"
3,"Aquamarine, moonlit swimmin' pool","Verse 1","Taylor Swift"
4,"What if all I need is you?","Verse 1","Taylor Swift"
5,"Got love-struck, went straight to my head","Pre-Chorus","Taylor Swift"
6,"Got lovesick all over my bed","Pre-Chorus","Taylor Swift"
7,"Love to think you'll never forget","Pre-Chorus","Taylor Swift"
8,"Handprints in wet cement","Pre-Chorus","Taylor Swift"
9,"Adorned with smoke on my clothes","Pre-Chorus","Taylor Swift"
10,"Lovelorn and nobody knows","Pre-Chorus","Taylor Swift"
11,"Love thorns all over this rose","Pre-Chorus","Taylor Swift"
12,"I'll pay the price, you won't","Pre-Chorus","Taylor Swift"
13,"But if I'm all dressed up","Chorus","Taylor Swift"
14,"They might as well be lookin' at us","Chorus","Taylor Swift"
15,"And if they call me a slut","Chorus","Taylor Swift"
16,"You know it might be worth it for once","Chorus","Taylor Swift"
17,"And if I'm gonna be drunk","Chorus","Taylor Swift"
18,"I might as well be drunk in love","Chorus","Taylor Swift"
19,"Send the code, he's waitin' there","Verse 2","Taylor Swift"
20,"The sticks and stones they throw froze mid-air","Verse 2","Taylor Swift"
21,"Everyone wants him, that was my crime","Verse 2","Taylor Swift"
22,"The wrong place at the right time","Verse 2","Taylor Swift"
23,"And I break down, then he's pullin' me in","Verse 2","Taylor Swift"
24,"In a world of boys, he's a gentleman","Verse 2","Taylor Swift"
25,"Got love-struck, went straight to my head (Straight to my head)","Pre-Chorus","Taylor Swift"
26,"Got lovesick all over my bed (Over my bed)","Pre-Chorus","Taylor Swift"
27,"Love to think you'll never forget","Pre-Chorus","Taylor Swift"
28,"We'll pay the price, I guess","Pre-Chorus","Taylor Swift"
29,"But if I'm all dressed up (If I'm all dressed up)","Chorus","Taylor Swift"
30,"They might as well be lookin' at us (Lookin' at us)","Chorus","Taylor Swift"
31,"And if they call me a slut (If they call me a slut)","Chorus","Taylor Swift"
32,"You know it might be worth it for once (Worth it for once)","Chorus","Taylor Swift"
33,"And if I'm gonna be drunk","Chorus","Taylor Swift"
34,"I might as well be drunk in love","Chorus","Taylor Swift"
35,"Half asleep, takin' your time","Bridge","Taylor Swift"
36,"In the tangerine, neon light, this is luxury","Bridge","Taylor Swift"
37,"You're not sayin' you're in love with me","Bridge","Taylor Swift"
38,"But you're going to","Bridge","Taylor Swift"
39,"Half awake, takin' your chances","Bridge","Taylor Swift"
40,"It's a big mistake, I said, ""It might blow up in your pretty face""","Bridge","Taylor Swift"
41,"I'm not saying, ""Do it anyway"" (Do it anyway)","Bridge","Taylor Swift"
42,"But you're going to","Bridge","Taylor Swift"
43,"(Up)","Outro","Taylor Swift"
44,"And if they call me a (Slut)","Outro","Taylor Swift"
45,"You know it might be worth it for once","Outro","Taylor Swift"
46,"And if I'm gonna be (Drunk)","Outro","Taylor Swift"
47,"I might as well be drunk in love","Outro","Taylor Swift"
