"line","lyric","element","element_artist"
1,"One night, a few moons ago","Verse 1","Taylor Swift"
2,"I saw flecks of what could've been lights","Verse 1","Taylor Swift"
3,"But it might just have been you","Verse 1","Taylor Swift"
4,"Passing by unbeknownst to me","Verse 1","Taylor Swift"
5,"Life is emotionally abusive","Verse 1","Taylor Swift"
6,"And time can't stop me quite like you did","Verse 1","Taylor Swift"
7,"And my flight was awful, thanks for asking","Verse 1","Taylor Swift"
8,"I'm unglued, thanks to you","Verse 1","Taylor Swift"
9,"And it's like snow at the beach","Chorus","Taylor Swift"
10,"Weird, but fucking beautiful","Chorus","Taylor Swift"
11,"Flying in a dream","Chorus","Taylor Swift"
12,"Stars by the pocketful","Chorus","Taylor Swift"
13,"You wanting me","Chorus","Taylor Swift"
14,"Tonight feels impossible","Chorus","Taylor Swift"
15,"But it's coming down","Chorus","Taylor Swift"
16,"No sound, it's all around","Chorus","Taylor Swift"
17,"Like snow on the beach","Post-Chorus","Taylor Swift"
18,"Like snow on the beach","Post-Chorus","Taylor Swift"
19,"Like snow on the beach","Post-Chorus","Taylor Swift"
20,"Like snow, ah","Post-Chorus","Taylor Swift"
21,"This scene feels like what I once saw on a screen","Verse 2","Taylor Swift"
22,"I searched ""aurora borealis green""","Verse 2","Taylor Swift"
23,"I've never seen someone lit from within","Verse 2","Taylor Swift"
24,"Blurring out my periphery","Verse 2","Taylor Swift"
25,"My smile is like I won a contest","Verse 2","Taylor Swift"
26,"And to hide that would be so dishonest","Verse 2","Taylor Swift"
27,"And it's fine to fake it 'til you make it","Verse 2","Taylor Swift"
28,"'Til you do, 'til it's true","Verse 2","Taylor Swift"
29,"Now it's like snow at the beach","Chorus","Taylor Swift"
30,"Weird, but fucking beautiful","Chorus","Taylor Swift"
31,"Flying in a dream","Chorus","Taylor Swift"
32,"Stars by the pocketful","Chorus","Taylor Swift"
33,"You wanting me","Chorus","Taylor Swift"
34,"Tonight feels impossible","Chorus","Taylor Swift"
35,"But it's coming down","Chorus","Taylor Swift"
36,"No sound, it's all around","Chorus","Taylor Swift"
37,"Like snow on the beach","Post-Chorus","Taylor Swift"
38,"Like snow on the beach","Post-Chorus","Taylor Swift"
39,"Like snow on the beach","Post-Chorus","Taylor Swift"
40,"Like snow, ah","Post-Chorus","Taylor Swift"
41,"I can't speak, afraid to jinx it","Bridge","Taylor Swift"
42,"I don't even dare to wish it","Bridge","Taylor Swift"
43,"But your eyes are flying saucers from another planet","Bridge","Taylor Swift"
44,"Now I'm all for you like Janet","Bridge","Taylor Swift"
45,"Can this be a real thing? Can it?","Bridge","Taylor Swift"
46,"Are we falling like snow at the beach? (Snow at the beach)","Chorus","Taylor Swift"
47,"Weird, but fucking beautiful","Chorus","Taylor Swift"
48,"Flying in a dream (Flying in a dream)","Chorus","Taylor Swift"
49,"Stars by the pocketful","Chorus","Taylor Swift"
50,"You wanting me (You wanting me)","Chorus","Taylor Swift"
51,"Tonight feels impossible","Chorus","Taylor Swift"
52,"But it's coming down","Chorus","Taylor Swift"
53,"No sound, it's all around","Chorus","Taylor Swift"
54,"Like snow on the beach (Snow on the beach)","Post-Chorus","Taylor Swift"
55,"Like snow on the beach (Snow on the beach)","Post-Chorus","Taylor Swift"
56,"Like snow on the beach (Snow on the beach)","Post-Chorus","Taylor Swift"
57,"Like snow, ah","Post-Chorus","Taylor Swift"
58,"It's coming down","Post-Chorus","Taylor Swift"
59,"No sound, it's all around","Post-Chorus","Taylor Swift"
60,"Like snow on the beach","Outro","Taylor Swift"
61,"(It's coming down, it's coming down)","Outro","Taylor Swift"
62,"(It's coming down, it's coming down)","Outro","Taylor Swift"
63,"Like snow on the beach","Outro","Taylor Swift"
64,"(It's coming down, it's coming down)","Outro","Taylor Swift"
65,"(It's coming down, it's coming down)","Outro","Taylor Swift"
66,"(It's coming down, it's coming down)","Outro","Taylor Swift"
67,"(It's coming down, it's coming down)","Outro","Taylor Swift"
68,"(It's coming down, it's coming down)","Outro","Taylor Swift"
69,"(It's coming down, it's coming down)","Outro","Taylor Swift"
