"line","lyric","element","element_artist"
1,"The buttons of my coat were tangled in my hair","Verse 1","Taylor Swift"
2,"In doctor's office lighting, I didn't tell you I was scared","Verse 1","Taylor Swift"
3,"That was the first time we were there","Verse 1","Taylor Swift"
4,"Holy orange bottles, each night, I pray to you","Verse 1","Taylor Swift"
5,"Desperate people find faith, so now I pray to Jesus too","Verse 1","Taylor Swift"
6,"And I say to you...","Verse 1","Taylor Swift"
7,"Ooh-ah","Chorus","Taylor Swift"
8,"Soon, you'll get better","Chorus","Taylor Swift"
9,"Ooh-ah","Chorus","Taylor Swift"
10,"Soon, you'll get better","Chorus","Taylor Swift"
11,"Ooh-ah","Chorus","Taylor Swift"
12,"You'll get better soon","Chorus","Taylor Swift"
13,"'Cause you have to","Chorus","Taylor Swift"
14,"I know delusion when I see it in the mirror","Verse 2","Taylor Swift"
15,"You like the nicer nurses, you make the best of a bad deal","Verse 2","Taylor Swift"
16,"I just pretend it isn't real","Verse 2","Taylor Swift"
17,"I'll paint the kitchen neon, I'll brighten up the sky","Verse 2","Taylor Swift"
18,"I know I'll never get it, there's not a day that I won't try","Verse 2","Taylor Swift"
19,"And I say to you...","Verse 2","Taylor Swift"
20,"Ooh-ah","Chorus","Taylor Swift"
21,"Soon, you'll get better","Chorus","Taylor Swift"
22,"Ooh-ah","Chorus","Taylor Swift"
23,"Soon, you'll get better","Chorus","Taylor Swift"
24,"Ooh-ah","Chorus","Taylor Swift"
25,"You'll get better soon","Chorus","Taylor Swift"
26,"'Cause you have to","Chorus","Taylor Swift"
27,"And I hate to make this all about me","Bridge","Taylor Swift"
28,"But who am I supposed to talk to?","Bridge","Taylor Swift"
29,"What am I supposed to do","Bridge","Taylor Swift"
30,"If there's no you?","Bridge","Taylor Swift"
31,"This won't go back to normal, if it ever was","Pre-Chorus","Taylor Swift"
32,"It's been years of hoping, and I keep saying it because","Pre-Chorus","Taylor Swift"
33,"'Cause I have to","Pre-Chorus","Taylor Swift"
34,"Ooh-ah","Chorus","Taylor Swift"
35,"You'll get better","Chorus","Taylor Swift"
36,"Ooh-ah","Chorus","Taylor Swift"
37,"Soon, you'll get better","Chorus","Taylor Swift"
38,"Ooh-ah","Chorus","Taylor Swift"
39,"You'll get better soon","Chorus","Taylor Swift"
40,"Ooh-ah","Chorus","Taylor Swift"
41,"Soon, you'll get better","Chorus","Taylor Swift"
42,"Ooh-ah","Chorus","Taylor Swift"
43,"Soon, you'll get better","Chorus","Taylor Swift"
44,"Ooh-ah","Chorus","Taylor Swift"
45,"You'll get better soon","Chorus","Taylor Swift"
46,"'Cause you have to","Chorus","Taylor Swift"
