"line","lyric","element","element_artist"
1,"I am not the kind of girl","Intro","Taylor Swift"
2,"Who should be rudely barging in","Intro","Taylor Swift"
3,"On a white veil occasion","Intro","Taylor Swift"
4,"But you are not the kind of boy","Intro","Taylor Swift"
5,"Who should be marrying the wrong girl","Intro","Taylor Swift"
6,"I sneak in and see your friends","Verse 1","Taylor Swift"
7,"And her snotty little family","Verse 1","Taylor Swift"
8,"All dressed in pastel","Verse 1","Taylor Swift"
9,"And she is yelling at a bridesmaid","Verse 1","Taylor Swift"
10,"Somewhere back inside a room","Verse 1","Taylor Swift"
11,"Wearing a gown shaped like a pastry","Verse 1","Taylor Swift"
12,"This is surely not","Pre-Chorus","Taylor Swift"
13,"What you thought it would be","Pre-Chorus","Taylor Swift"
14,"I lose myself in a daydream","Pre-Chorus","Taylor Swift"
15,"Where I stand and say","Pre-Chorus","Taylor Swift"
16,"Don't say yes, run away now","Chorus","Taylor Swift"
17,"I'll meet you when you're out","Chorus","Taylor Swift"
18,"Of the church at the back door","Chorus","Taylor Swift"
19,"Don't wait or say a single vow","Chorus","Taylor Swift"
20,"You need to hear me out","Chorus","Taylor Swift"
21,"And they said, ""speak now""","Chorus","Taylor Swift"
22,"Fond gestures are exchanged","Verse 2","Taylor Swift"
23,"And the organ starts to play","Verse 2","Taylor Swift"
24,"A song that sounds like a death march","Verse 2","Taylor Swift"
25,"And I am hiding in the curtains","Verse 2","Taylor Swift"
26,"It seems that I was uninvited","Verse 2","Taylor Swift"
27,"By your lovely bride-to-be","Verse 2","Taylor Swift"
28,"She floats down the aisle","Pre-Chorus","Taylor Swift"
29,"Like a pageant queen","Pre-Chorus","Taylor Swift"
30,"But I know you wish it was me","Pre-Chorus","Taylor Swift"
31,"You wish it was me (Don't you)","Pre-Chorus","Taylor Swift"
32,"Don't say yes, run away now","Chorus","Taylor Swift"
33,"I'll meet you when you're out","Chorus","Taylor Swift"
34,"Of the church at the back door","Chorus","Taylor Swift"
35,"Don't wait or say a single vow","Chorus","Taylor Swift"
36,"You need to hear me out","Chorus","Taylor Swift"
37,"And they said, ""speak now""","Chorus","Taylor Swift"
38,"Don't say yes, run away now","Chorus","Taylor Swift"
39,"I'll meet you when you're out","Chorus","Taylor Swift"
40,"Of the church at the back door","Chorus","Taylor Swift"
41,"Don't wait or say a single vow","Chorus","Taylor Swift"
42,"Your time is running out","Chorus","Taylor Swift"
43,"And they said, ""speak now""","Chorus","Taylor Swift"
44,"Ooh, la-da-da-da, oh","Interlude","Taylor Swift"
45,"Ooh, ooh","Interlude","Taylor Swift"
46,"(Say a single vow)","Interlude","Taylor Swift"
47,"I hear the preacher say","Bridge","Taylor Swift"
48,"""Speak now or forever hold your peace""","Bridge","Taylor Swift"
49,"There's the silence, there's my last chance","Bridge","Taylor Swift"
50,"I stand up with shaking hands, all eyes on me","Bridge","Taylor Swift"
51,"Horrified looks from everyone in the room","Bridge","Taylor Swift"
52,"But I'm only looking at you","Bridge","Taylor Swift"
53,"I am not the kind of girl","Verse 3","Taylor Swift"
54,"Who should be rudely barging in","Verse 3","Taylor Swift"
55,"On a white veil occasion","Verse 3","Taylor Swift"
56,"But you are not the kind of boy","Verse 3","Taylor Swift"
57,"Who should be marrying the wrong girl","Verse 3","Taylor Swift"
58,"(Hehe!)","Verse 3","Taylor Swift"
59,"So don't say yes, run away now","Chorus 2","Taylor Swift"
60,"I'll meet you when you're out","Chorus 2","Taylor Swift"
61,"Of the church at the back door","Chorus 2","Taylor Swift"
62,"Don't wait or say a single vow","Chorus 2","Taylor Swift"
63,"You need to hear me out","Chorus 2","Taylor Swift"
64,"And they said, ""speak now""","Chorus 2","Taylor Swift"
65,"And you say","Chorus 2","Taylor Swift"
66,"""Let's run away now","Chorus 2","Taylor Swift"
67,"I'll meet you when","Chorus 2","Taylor Swift"
68,"I'm out of my tux at the back door","Chorus 2","Taylor Swift"
69,"Baby, I didn't say my vows","Chorus 2","Taylor Swift"
70,"So glad you were around when they said","Chorus 2","Taylor Swift"
71,"'Speak now'""","Chorus 2","Taylor Swift"
