"line","lyric","element","element_artist"
1,"I said, ""Oh, my, what a marvelous tune""","Chorus","Taylor Swift"
2,"It was the best night, never would forget how we moved","Chorus","Taylor Swift"
3,"The whole place was dressed to the nines","Chorus","Taylor Swift"
4,"And we were dancing, dancing","Chorus","Taylor Swift"
5,"Like we're made of starlight","Chorus","Taylor Swift"
6,"Like we're made of starlight","Chorus","Taylor Swift"
7,"I met Bobby on the boardwalk, summer of '45","Verse 1","Taylor Swift"
8,"Picked me up, late one night at the window","Verse 1","Taylor Swift"
9,"We were 17 and crazy, running wild, wild","Verse 1","Taylor Swift"
10,"Can't remember what song it was playing when we walked in","Verse 1","Taylor Swift"
11,"The night we snuck into a yacht club party","Verse 1","Taylor Swift"
12,"Pretending to be a duchess and a prince","Verse 1","Taylor Swift"
13,"And I said, ""Oh, my, what a marvelous tune""","Chorus","Taylor Swift"
14,"It was the best night, never would forget how we moved","Chorus","Taylor Swift"
15,"The whole place was dressed to the nines","Chorus","Taylor Swift"
16,"And we were dancing, dancing","Chorus","Taylor Swift"
17,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
18,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
19,"He said, ""Look at you","Verse 2","Taylor Swift"
20,"Worrying so much about things you can't change","Verse 2","Taylor Swift"
21,"You'll spend your whole life singing the blues","Verse 2","Taylor Swift"
22,"If you keep thinking that way""","Verse 2","Taylor Swift"
23,"He was trying to skip rocks on the ocean, saying to me","Verse 2","Taylor Swift"
24,"""Don't you see the starlight, starlight?","Verse 2","Taylor Swift"
25,"Don't you dream impossible things?""","Verse 2","Taylor Swift"
26,"Like, ""Oh, my, what a marvelous tune""","Chorus","Taylor Swift"
27,"It was the best night, never would forget how we moved","Chorus","Taylor Swift"
28,"The whole place was dressed to the nines","Chorus","Taylor Swift"
29,"And we were dancing, dancing","Chorus","Taylor Swift"
30,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
31,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
32,"Ooh, ooh, he's talking crazy","Bridge","Taylor Swift"
33,"Ooh, ooh, dancing with me","Bridge","Taylor Swift"
34,"Ooh, ooh, we could get married","Bridge","Taylor Swift"
35,"Have ten kids and teach 'em how to dream","Bridge","Taylor Swift"
36,"Oh, my, what a marvelous tune","Chorus","Taylor Swift"
37,"It was the best night, never would forget how we moved","Chorus","Taylor Swift"
38,"The whole place was dressed to the nines","Chorus","Taylor Swift"
39,"And we were dancing, dancing","Chorus","Taylor Swift"
40,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
41,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
42,"Like we're made of starlight, starlight","Breakdown","Taylor Swift"
43,"Like we dream impossible dreams","Breakdown","Taylor Swift"
44,"Like starlight, starlight","Breakdown","Taylor Swift"
45,"Like we dream impossible dreams","Breakdown","Taylor Swift"
46,"Don't you see the starlight, starlight?","Outro","Taylor Swift"
47,"Don't you dream impossible things?","Outro","Taylor Swift"
