"line","lyric","element","element_artist"
1,"I said, ""Oh my, what a marvelous tune""","Chorus","Taylor Swift"
2,"It was the best night","Chorus","Taylor Swift"
3,"Never would forget how he moved","Chorus","Taylor Swift"
4,"The whole place was dressed to the nines","Chorus","Taylor Swift"
5,"And we were dancing, dancing","Chorus","Taylor Swift"
6,"Like we're made of starlight","Chorus","Taylor Swift"
7,"Like we're made of starlight","Chorus","Taylor Swift"
8,"I met Bobby on the boardwalk, summer of '45","Verse 1","Taylor Swift"
9,"Picks me up late one night","Verse 1","Taylor Swift"
10,"Out the window, we were seventeen and crazy, running wild, wild","Verse 1","Taylor Swift"
11,"Can't remember what song it was playing when we walked in","Verse 1","Taylor Swift"
12,"The night we snuck into a yacht club party","Verse 1","Taylor Swift"
13,"Pretending to be a duchess and a prince","Verse 1","Taylor Swift"
14,"And I said, ""Oh my, what a marvelous tune""","Chorus","Taylor Swift"
15,"It was the best night, never would forget how he moved","Chorus","Taylor Swift"
16,"The whole place was dressed to the nines","Chorus","Taylor Swift"
17,"And we were dancing, dancing","Chorus","Taylor Swift"
18,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
19,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
20,"He said, ""Look at you, worrying too much about things you can't change","Verse 2","Taylor Swift"
21,"You'll spend your whole life singing the blues if you keep thinking that way""","Verse 2","Taylor Swift"
22,"He was trying to skip rocks on the ocean, saying to me","Verse 2","Taylor Swift"
23,"""Don't you see the starlight, starlight?","Verse 2","Taylor Swift"
24,"Don't you dream impossible things?""","Verse 2","Taylor Swift"
25,"Like, ""Oh my, what a marvelous tune""","Chorus","Taylor Swift"
26,"It was the best night, never would forget how he moved","Chorus","Taylor Swift"
27,"The whole place was dressed to the nines","Chorus","Taylor Swift"
28,"And we were dancing, dancing","Chorus","Taylor Swift"
29,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
30,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
31,"Ooh-ooh, he's talking crazy","Bridge","Taylor Swift"
32,"Ooh-ooh, dancing with me","Bridge","Taylor Swift"
33,"Ooh-ooh, we could get married","Bridge","Taylor Swift"
34,"Have ten kids and teach 'em how to dream","Bridge","Taylor Swift"
35,"(Ooh, hoo, hoo)","Post-Chorus","Taylor Swift"
36,"(Ooh, hoo, hoo)","Post-Chorus","Taylor Swift"
37,"(Ooh, hoo, hoo)","Post-Chorus","Taylor Swift"
38,"(Ooh, hoo, hoo)","Post-Chorus","Taylor Swift"
39,"Oh my, what a marvelous tune","Chorus","Taylor Swift"
40,"It was the best night, never would forget how he moved","Chorus","Taylor Swift"
41,"The whole place was dressed to the nines","Chorus","Taylor Swift"
42,"And we were dancing, dancing","Chorus","Taylor Swift"
43,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
44,"Like we're made of starlight, starlight","Chorus","Taylor Swift"
45,"Like we're made of starlight, starlight","Breakdown","Taylor Swift"
46,"Like we dream impossible dreams","Breakdown","Taylor Swift"
47,"Like starlight, starlight (Ooh, hoo, hoo)","Breakdown","Taylor Swift"
48,"Like we dream impossible dreams (Ooh, hoo, hoo)","Breakdown","Taylor Swift"
49,"Don't you see the starlight, starlight? (Ooh, hoo, hoo)","Outro","Taylor Swift"
50,"Don't you dream impossible things?","Outro","Taylor Swift"
