"line","lyric","element","element_artist"
1,"Corey's eyes are like a jungle","Verse 1","Taylor Swift"
2,"He smiles, it's like the radio","Verse 1","Taylor Swift"
3,"He whispers songs into my window in words that nobody knows","Verse 1","Taylor Swift"
4,"These pretty girls on every corner","Verse 1","Taylor Swift"
5,"They watch him as he's walking home, saying, ""Does he know?""","Verse 1","Taylor Swift"
6,"Will you ever know?","Verse 1","Taylor Swift"
7,"You're beautiful","Chorus","Taylor Swift"
8,"Every little piece, love","Chorus","Taylor Swift"
9,"And don't you know","Chorus","Taylor Swift"
10,"You're really gonna be someone","Chorus","Taylor Swift"
11,"Ask anyone","Chorus","Taylor Swift"
12,"And when you find everything you looked for","Chorus","Taylor Swift"
13,"I hope your life will lead you back to my door","Chorus","Taylor Swift"
14,"Oh, but if it don't","Chorus","Taylor Swift"
15,"Stay beautiful","Chorus","Taylor Swift"
16,"Corey finds another way to be the highlight of my day","Verse 2","Taylor Swift"
17,"I'm taking pictures in my mind so I can save them for a rainy day","Verse 2","Taylor Swift"
18,"It's hard to make a conversation when he's taking my breath away","Verse 2","Taylor Swift"
19,"I should say","Verse 2","Taylor Swift"
20,"Hey, by the way","Verse 2","Taylor Swift"
21,"You're beautiful","Chorus","Taylor Swift"
22,"Every little piece, love","Chorus","Taylor Swift"
23,"And don't you know","Chorus","Taylor Swift"
24,"You're really gonna be someone","Chorus","Taylor Swift"
25,"Ask anyone","Chorus","Taylor Swift"
26,"And when you find everything you looked for","Chorus","Taylor Swift"
27,"I hope your life will lead you back to my door","Chorus","Taylor Swift"
28,"Oh, but if it don't","Chorus","Taylor Swift"
29,"Stay beautiful","Chorus","Taylor Swift"
30,"If you and I are a story","Bridge","Taylor Swift"
31,"That never gets told","Bridge","Taylor Swift"
32,"If what you are is a daydream","Bridge","Taylor Swift"
33,"I'll never get to hold","Bridge","Taylor Swift"
34,"At least you'll know","Bridge","Taylor Swift"
35,"You're beautiful","Chorus","Taylor Swift"
36,"Every little piece, love","Chorus","Taylor Swift"
37,"And don't you know","Chorus","Taylor Swift"
38,"You're really gonna be someone","Chorus","Taylor Swift"
39,"Ask anyone","Chorus","Taylor Swift"
40,"And when you find everything you looked for","Chorus","Taylor Swift"
41,"I hope your life will lead you back to my front door","Chorus","Taylor Swift"
42,"Oh, but if it don't","Chorus","Taylor Swift"
43,"Will you stay","Chorus","Taylor Swift"
44,"Beautiful, beautiful, beautiful?","Chorus","Taylor Swift"
45,"Beautiful, beautiful, beautiful?","Chorus","Taylor Swift"
46,"La la la","Outro","Taylor Swift"
47,"Oh, oh, oh, oh","Outro","Taylor Swift"
48,"Oh, but if it don't","Outro","Taylor Swift"
49,"Stay beautiful","Outro","Taylor Swift"
50,"Stay beautiful","Outro","Taylor Swift"
51,"Na, na, na, na, na","Outro","Taylor Swift"
