"line","lyric","element","element_artist"
1,"I'm pretty sure we almost broke up last night","Verse 1","Taylor Swift"
2,"I threw my phone across the room, at you","Verse 1","Taylor Swift"
3,"I was expecting some dramatic turn away","Verse 1","Taylor Swift"
4,"But you stayed","Verse 1","Taylor Swift"
5,"This morning, I said we should talk about it","Verse 1","Taylor Swift"
6,"'Cause I read you should never leave a fight unresolved","Verse 1","Taylor Swift"
7,"That's when you came in wearing a football helmet","Verse 1","Taylor Swift"
8,"And said, ""Okay, let's talk""","Verse 1","Taylor Swift"
9,"And I said","Verse 1","Taylor Swift"
10,"Stay, stay, stay","Chorus","Taylor Swift"
11,"I've been loving you for quite some time, time, time","Chorus","Taylor Swift"
12,"You think that it's funny when I'm mad, mad, mad","Chorus","Taylor Swift"
13,"But I think that it's best if we both stay","Chorus","Taylor Swift"
14,"Before you, I'd only dated self-indulgent takers","Verse 2","Taylor Swift"
15,"Who took all of their problems out on me","Verse 2","Taylor Swift"
16,"But you carry my groceries and now I'm always laughing","Verse 2","Taylor Swift"
17,"And I love you because you have given me","Verse 2","Taylor Swift"
18,"No choice but to","Verse 2","Taylor Swift"
19,"Stay, stay, stay","Chorus","Taylor Swift"
20,"I've been loving you for quite some time, time, time","Chorus","Taylor Swift"
21,"You think that it's funny when I'm mad, mad, mad","Chorus","Taylor Swift"
22,"But I think that it's best if we both stay, stay, stay, stay","Chorus","Taylor Swift"
23,"You took the time to memorize me","Bridge","Taylor Swift"
24,"My fears, my hopes, and dreams","Bridge","Taylor Swift"
25,"I just like hanging out with you, all the time","Bridge","Taylor Swift"
26,"All those times that you didn't leave, it's been occurring to me","Bridge","Taylor Swift"
27,"I'd like to hang out with you, for my whole life","Bridge","Taylor Swift"
28,"Stay, and I'll be loving you for quite some time","Breakdown","Taylor Swift"
29,"No one else is gonna love me when I get mad, mad, mad","Breakdown","Taylor Swift"
30,"So I think that it's best if we both stay, stay","Breakdown","Taylor Swift"
31,"Stay, stay, stay, stay!","Breakdown","Taylor Swift"
32,"Stay, stay, stay","Chorus","Taylor Swift"
33,"I've been loving you for quite some time, time, time","Chorus","Taylor Swift"
34,"You think that it's funny when I'm mad, mad, mad","Chorus","Taylor Swift"
35,"But I think that it's best if we both stay, stay","Chorus","Taylor Swift"
36,"Stay, stay, stay, stay!","Chorus","Taylor Swift"
37,"Stay, stay, stay","Outro","Taylor Swift"
38,"I've been loving you for quite some time, time, time","Outro","Taylor Swift"
39,"You think that it's funny when I'm mad, mad, mad","Outro","Taylor Swift"
40,"But I think that it's best if we both stay","Outro","Taylor Swift"
41,"(Ha-ha-ha, it's so fun)","Outro","Taylor Swift"
