"line","lyric","element","element_artist"
1,"Midnight","Verse 1","Taylor Swift"
2,"You come and pick me up, no headlights","Verse 1","Taylor Swift"
3,"A long drive","Verse 1","Taylor Swift"
4,"Could end in burning flames or paradise","Verse 1","Taylor Swift"
5,"Fade into view, oh","Verse 1","Taylor Swift"
6,"It's been a while since I have even heard from you","Verse 1","Taylor Swift"
7,"(Heard from you)","Verse 1","Taylor Swift"
8,"And I should just tell you to leave, 'cause I","Verse 1","Taylor Swift"
9,"Know exactly where it leads, but I","Verse 1","Taylor Swift"
10,"Watch us go 'round and 'round each time","Verse 1","Taylor Swift"
11,"You got that James Dean daydream look in your eye","Chorus","Taylor Swift"
12,"And I got that red lip classic thing that you like","Chorus","Taylor Swift"
13,"And when we go crashing down, we come back every time","Chorus","Taylor Swift"
14,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
15,"You got that long hair, slicked back, white t-shirt","Chorus","Taylor Swift"
16,"And I got that good girl faith and a tight little skirt","Chorus","Taylor Swift"
17,"And when we go crashing down, we come back every time","Chorus","Taylor Swift"
18,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
19,"So it goes","Verse 2","Taylor Swift"
20,"He can't keep his wild eyes on the road (Mmm)","Verse 2","Taylor Swift"
21,"Takes me home","Verse 2","Taylor Swift"
22,"The lights are off, he's taking off his coat (Mmm, yeah)","Verse 2","Taylor Swift"
23,"I say, ""I heard, oh","Verse 2","Taylor Swift"
24,"That you've been out and about with some other girl""","Verse 2","Taylor Swift"
25,"Some other girl","Verse 2","Taylor Swift"
26,"He says, ""What you heard is true, but I","Verse 2","Taylor Swift"
27,"Can't stop thinking 'bout you and I""","Verse 2","Taylor Swift"
28,"I said, ""I've been there too a few times""","Verse 2","Taylor Swift"
29,"'Cause you got that James Dean daydream look in your eye","Chorus","Taylor Swift"
30,"And I got that red lip classic thing that you like","Chorus","Taylor Swift"
31,"And when we go crashing down, we come back every time","Chorus","Taylor Swift"
32,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
33,"You got that long hair, slicked back, white t-shirt","Chorus","Taylor Swift"
34,"And I got that good girl faith and a tight little skirt","Chorus","Taylor Swift"
35,"(A tight little skirt)","Chorus","Taylor Swift"
36,"And when we go crashing down, we come back every time","Chorus","Taylor Swift"
37,"'Cause we never go out of style (We never go, we never go)","Chorus","Taylor Swift"
38,"We never go out of style","Chorus","Taylor Swift"
39,"Take me home","Bridge","Taylor Swift"
40,"Just take me home","Bridge","Taylor Swift"
41,"Yeah, just take me home","Bridge","Taylor Swift"
42,"Oh-oh, whoa-oh, oh","Bridge","Taylor Swift"
43,"(Out of style)","Bridge","Taylor Swift"
44,"Oh, you got that James Dean daydream look in your eye","Chorus","Taylor Swift"
45,"And I got that red lip classic thing that you like","Chorus","Taylor Swift"
46,"And when we go crashing down (And when we go)","Chorus","Taylor Swift"
47,"We come back every time","Chorus","Taylor Swift"
48,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
