"line","lyric","element","element_artist"
1,"Midnight","Verse 1","Taylor Swift"
2,"You come and pick me up, no headlights","Verse 1","Taylor Swift"
3,"Long drive","Verse 1","Taylor Swift"
4,"Could end in burnin' flames or paradise","Verse 1","Taylor Swift"
5,"Fade into view, oh","Verse 1","Taylor Swift"
6,"It's been a while since I have even heard from you","Verse 1","Taylor Swift"
7,"(Heard from you)","Verse 1","Taylor Swift"
8,"I should just tell you to leave 'cause I","Pre-Chorus","Taylor Swift"
9,"Know exactly where it leads, but I","Pre-Chorus","Taylor Swift"
10,"Watch us go 'round and 'round each time","Pre-Chorus","Taylor Swift"
11,"You got that James Dean daydream look in your eye","Chorus","Taylor Swift"
12,"And I got that red lip classic thing that you like","Chorus","Taylor Swift"
13,"And when we go crashin' down, we come back every time","Chorus","Taylor Swift"
14,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
15,"You got that long hair, slicked back, white t-shirt","Chorus","Taylor Swift"
16,"And I got that good girl faith and a tight little skirt","Chorus","Taylor Swift"
17,"And when we go crashin' down, we come back every time","Chorus","Taylor Swift"
18,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
19,"So it goes","Verse 2","Taylor Swift"
20,"He can't keep his wild eyes on the road, mmm","Verse 2","Taylor Swift"
21,"Takes me home","Verse 2","Taylor Swift"
22,"Lights are off, he's taking off his coat, oh, yeah","Verse 2","Taylor Swift"
23,"I say, ""I heard, oh","Verse 2","Taylor Swift"
24,"That you've been out and about with some other girl""","Verse 2","Taylor Swift"
25,"Some other girl","Verse 2","Taylor Swift"
26,"He says, ""What you heard is true, but I","Pre-Chorus","Taylor Swift"
27,"Can't stop thinkin' 'bout you"" and I","Pre-Chorus","Taylor Swift"
28,"I said, ""I've been there too a few times""","Pre-Chorus","Taylor Swift"
29,"'Cause you got that James Dean daydream look in your eye","Chorus","Taylor Swift"
30,"And I got that red lip classic thing that you like","Chorus","Taylor Swift"
31,"And when we go crashin' down, we come back every time","Chorus","Taylor Swift"
32,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
33,"You got that long hair, slicked back, white t-shirt","Chorus","Taylor Swift"
34,"And I got that good girl faith and a tight little skirt (A tight little skirt)","Chorus","Taylor Swift"
35,"And when we go crashin' down, we come back every time","Chorus","Taylor Swift"
36,"'Cause we never go out of style (We never go, we never go), we never go out of style","Chorus","Taylor Swift"
37,"Take me home (Ah)","Bridge","Taylor Swift"
38,"Just take me home (Ah)","Bridge","Taylor Swift"
39,"Yeah, just take me home (Ah)","Bridge","Taylor Swift"
40,"Woah, woah, oh (Out of style)","Bridge","Taylor Swift"
41,"Oh, 'cause you got that James Dean daydream look in your eye","Chorus","Taylor Swift"
42,"And I got that red lip classic thing that you like","Chorus","Taylor Swift"
43,"And when we go crashin' down (And when we go), we come back every time","Chorus","Taylor Swift"
44,"'Cause we never go out of style, we never go out of style","Chorus","Taylor Swift"
