"line","lyric","element","element_artist"
1,"You had people who called you on unmarked numbers","Verse 1","Taylor Swift"
2,"In my peripheral vision","Verse 1","Taylor Swift"
3,"I let it slide like a hose on a slippery plastic summer","Verse 1","Taylor Swift"
4,"All was quickly forgiven","Verse 1","Taylor Swift"
5,"You were so magnetic, it was almost obnoxious","Verse 1","Taylor Swift"
6,"Flush with the currency of cool","Verse 1","Taylor Swift"
7,"I was always turnin' out my empty pockets","Verse 1","Taylor Swift"
8,"And when it came to you","Verse 1","Taylor Swift"
9,"I didn't come here to make friends","Chorus","Taylor Swift"
10,"We were born to be suburban legends","Chorus","Taylor Swift"
11,"When you hold me, it holds me together","Chorus","Taylor Swift"
12,"And you kiss me in a way that's gonna screw me up forever","Chorus","Taylor Swift"
13,"I had the fantasy that maybe our mismatched star signs","Verse 2","Taylor Swift"
14,"Would surprise the whole school","Verse 2","Taylor Swift"
15,"When I ended up back at our class reunion","Verse 2","Taylor Swift"
16,"Walkin' in with you","Verse 2","Taylor Swift"
17,"You'd be more than a chapter in my old diaries","Verse 2","Taylor Swift"
18,"With the pages ripped out","Verse 2","Taylor Swift"
19,"I am standin' in a 1950s gymnasium","Verse 2","Taylor Swift"
20,"And I can still see you now","Verse 2","Taylor Swift"
21,"I didn't come here to make friends","Chorus","Taylor Swift"
22,"We were born to be suburban legends","Chorus","Taylor Swift"
23,"When you hold me, it holds me together","Chorus","Taylor Swift"
24,"And you kiss me in a way that's gonna screw me up forever","Chorus","Taylor Swift"
25,"I know that you still remember","Chorus","Taylor Swift"
26,"We were born to be national treasures","Chorus","Taylor Swift"
27,"When you told me we'd get back together","Chorus","Taylor Swift"
28,"And you kissed me in a way that's gonna screw me up forever","Chorus","Taylor Swift"
29,"Tick-tock on the clock, I pace down your block","Outro","Taylor Swift"
30,"I broke my own heart 'cause you were too polite to do it","Outro","Taylor Swift"
31,"Waves crash on the shore, I dash to the door","Outro","Taylor Swift"
32,"You don't knock anymore and my whole life's ruined","Outro","Taylor Swift"
33,"Tick-tock on the clock, I pace down your block","Outro","Taylor Swift"
34,"I broke my own heart 'cause you were too polite to do it","Outro","Taylor Swift"
35,"Waves crash to the shore, I dash to the door","Outro","Taylor Swift"
36,"You don't knock anymore and I always knew it","Outro","Taylor Swift"
37,"That my life would be ruined","Outro","Taylor Swift"
