"line","lyric","element","element_artist"
1,"This is wrong but I can't help but feel like","Verse 1","Taylor Swift"
2,"There ain't nothing more right babe","Verse 1","Taylor Swift"
3,"Misty morning comes again and I can't","Verse 1","Taylor Swift"
4,"Help but wish I could see your face","Verse 1","Taylor Swift"
5,"And I knew from the first note played","Verse 1","Taylor Swift"
6,"I'd be breaking all my rules to see you","Verse 1","Taylor Swift"
7,"You smile that beautiful smile and all the girls in the front row","Verse 1","Taylor Swift"
8,"Scream your name","Verse 1","Taylor Swift"
9,"So dim that spotlight, tell me things like","Chorus","Taylor Swift"
10,"I can't keep my eyes off of you","Chorus","Taylor Swift"
11,"I'm no one special, just another wide-eyed girl","Chorus","Taylor Swift"
12,"Who's desperately in love with you","Chorus","Taylor Swift"
13,"Give me a photograph to hang on my wall, superstar","Chorus","Taylor Swift"
14,"Morning loneliness","Verse 2","Taylor Swift"
15,"Comes around when I'm not dreaming about you","Verse 2","Taylor Swift"
16,"When my world wakes up today","Verse 2","Taylor Swift"
17,"You'll be in another town","Verse 2","Taylor Swift"
18,"And I knew when I saw your face","Verse 2","Taylor Swift"
19,"I'd be counting down the ways to see you","Verse 2","Taylor Swift"
20,"You smile that beautiful smile and all the girls in the front row","Verse 2","Taylor Swift"
21,"Scream your name","Verse 2","Taylor Swift"
22,"So dim that spotlight, tell me things like","Chorus","Taylor Swift"
23,"I can't take my eyes off of you","Chorus","Taylor Swift"
24,"I'm no one special, just another wide-eyed girl","Chorus","Taylor Swift"
25,"Who's desperately in love with you","Chorus","Taylor Swift"
26,"Give me a photograph to hang on my wall, superstar","Chorus","Taylor Swift"
27,"You played in bars, you play guitar","Bridge","Taylor Swift"
28,"And I'm invisible and everyone knows who you are","Bridge","Taylor Swift"
29,"And you'll never see, you sing me to sleep","Bridge","Taylor Swift"
30,"Every night from the radio","Bridge","Taylor Swift"
31,"So dim that spotlight, tell me things like","Chorus","Taylor Swift"
32,"I can't take my eyes off of you","Chorus","Taylor Swift"
33,"I'm no one special, just another wide-eyed girl","Chorus","Taylor Swift"
34,"Who's desperately in love with you","Chorus","Taylor Swift"
35,"Give me a photograph to hang on my wall, superstar","Chorus","Taylor Swift"
36,"Sweet, sweet superstar","Outro","Taylor Swift"
37,"Superstar","Outro","Taylor Swift"
