"line","lyric","element","element_artist"
1,"I spy with my little tired eye","Verse 1","Taylor Swift"
2,"Tiny as a firefly, a pebble","Verse 1","Taylor Swift"
3,"That we picked up last July","Verse 1","Taylor Swift"
4,"Down deep inside your pocket","Verse 1","Taylor Swift"
5,"We almost forgot it","Verse 1","Taylor Swift"
6,"Does it ever miss Wicklow sometimes?","Verse 1","Taylor Swift"
7,"Ooh, ooh","Verse 1","Taylor Swift"
8,"They said the end is coming","Chorus","Taylor Swift"
9,"Everyone's up to something","Chorus","Taylor Swift"
10,"I found myself a-running home to your sweet nothings","Chorus","Taylor Swift"
11,"Outside they're push and shoving","Chorus","Taylor Swift"
12,"You're in the kitchen humming","Chorus","Taylor Swift"
13,"All that you ever wanted from me was sweet nothing","Chorus","Taylor Swift"
14,"On the way home","Verse 2","Taylor Swift"
15,"I wrote a poem","Verse 2","Taylor Swift"
16,"You say, ""What a mind""","Verse 2","Taylor Swift"
17,"This happens all the time","Verse 2","Taylor Swift"
18,"Ooh, ooh","Verse 2","Taylor Swift"
19,"'Cause they said the end is coming","Chorus","Taylor Swift"
20,"Everyone's up to something","Chorus","Taylor Swift"
21,"I found myself a-running home to your sweet nothings","Chorus","Taylor Swift"
22,"Outside they're push and shoving","Chorus","Taylor Swift"
23,"You're in the kitchen humming","Chorus","Taylor Swift"
24,"All that you ever wanted from me was nothing","Chorus","Taylor Swift"
25,"Industry disruptors and soul deconstructors","Bridge","Taylor Swift"
26,"And smooth-talking hucksters out glad-handing each other","Bridge","Taylor Swift"
27,"And the voices that implore, ""You should be doing more""","Bridge","Taylor Swift"
28,"To you, I can't admit that I'm just too soft for all of it","Bridge","Taylor Swift"
29,"Ooh","Bridge","Taylor Swift"
30,"They said the end is coming","Chorus","Taylor Swift"
31,"Everyone's up to something","Chorus","Taylor Swift"
32,"I found myself a-running home to your sweet nothings","Chorus","Taylor Swift"
33,"Outside they're push and shoving","Chorus","Taylor Swift"
34,"You're in the kitchen humming","Chorus","Taylor Swift"
35,"All that you ever wanted from me was sweet nothing","Chorus","Taylor Swift"
36,"They said the end is coming","Chorus","Taylor Swift"
37,"(They said the end is coming)","Chorus","Taylor Swift"
38,"Everyone's up to something","Chorus","Taylor Swift"
39,"(Everyone's up to something)","Chorus","Taylor Swift"
40,"I found myself a-running home to your sweet nothings","Chorus","Taylor Swift"
41,"Outside they're push and shoving","Chorus","Taylor Swift"
42,"(Outside they're push and shoving)","Chorus","Taylor Swift"
43,"You're in the kitchen humming","Chorus","Taylor Swift"
44,"(You're in the kitchen humming)","Chorus","Taylor Swift"
45,"All that you ever wanted from me was sweet nothing","Chorus","Taylor Swift"
