"line","lyric","element","element_artist"
1,"You said, ""I know""","Verse 1","Taylor Swift"
2,"When I said, ""I need some time, need some space","Verse 1","Taylor Swift"
3,"To think about all of this""","Verse 1","Taylor Swift"
4,"You watched me go","Verse 1","Taylor Swift"
5,"And I knew my","Verse 1","Taylor Swift"
6,"Words were hard to hear","Verse 1","Taylor Swift"
7,"And harder to ever take back","Verse 1","Taylor Swift"
8,"And I said, ""When can I-I-I come back?""","Verse 1","Taylor Swift"
9,"And you said that's when","Chorus","Taylor Swift"
10,"When I wake up in the morning","Chorus","Taylor Swift"
11,"That's when, when it's sunny or storming","Chorus","Taylor Swift"
12,"Laughing, when I'm crying","Chorus","Taylor Swift"
13,"And that's when, I'll be waiting at the front gate","Chorus","Taylor Swift"
14,"That's when, when I see your face","Chorus","Taylor Swift"
15,"I'll let you in, and baby, that's when","Chorus","Taylor Swift"
16,"Mm, mm","Chorus","Taylor Swift"
17,"I said, ""I know""","Verse 2","Taylor Swift"
18,"When you said, ""I did you wrong","Verse 2","Taylor Swift"
19,"Made mistakes","Verse 2","Taylor Swift"
20,"And put you through all of this"" (through all of this)","Verse 2","Taylor Swift"
21,"Then through the phone","Verse 2","Taylor Swift"
22,"Came all your tears","Verse 2","Taylor Swift"
23,"And I said, ""Leave those all in our past""","Verse 2","Taylor Swift"
24,"And you said, ""When can I-I-I come back?""","Verse 2","Taylor Swift"
25,"And I said, that's when","Chorus","Taylor Swift"
26,"When I wake up in the morning","Chorus","Taylor Swift"
27,"That's when, when it's sunny or storming","Chorus","Taylor Swift"
28,"Laughing, when I'm crying","Chorus","Taylor Swift"
29,"And that's when I'll be waiting at the front gate","Chorus","Taylor Swift"
30,"That's when, when I see your face","Chorus","Taylor Swift"
31,"I'll let you in, and baby, that's when""","Chorus","Taylor Swift"
32,"And you said, ""Honestly","Bridge","Taylor Swift"
33,"When you were gone","Bridge","Taylor Swift"
34,"Did you ever think of me?""","Bridge","Taylor Swift"
35,"And I said","Bridge","Taylor Swift"
36,"""That's when, when I woke up in the morning","Chorus","Taylor Swift"
37,"That's when, it was sunny or storming","Chorus","Taylor Swift"
38,"Laughing when I was crying","Chorus","Taylor Swift"
39,"And that's when, you were waiting at the front gate","Chorus","Taylor Swift"
40,"That's when, when I saw your face","Chorus","Taylor Swift"
41,"You let me in, and baby, that's when""","Chorus","Taylor Swift"
42,"That's when, when I wake up in the morning (Yeah)","Outro","Taylor Swift"
43,"That's when, when it's sunny or storming","Outro","Taylor Swift"
44,"When I'm laughing, when I'm crying","Outro","Taylor Swift"
45,"That's when I'll be waiting at the front gate","Outro","Taylor Swift"
46,"(That when I miss you, that's when I want you)","Outro","Taylor Swift"
47,"That's when, when I see your face","Outro","Taylor Swift"
48,"That's when I love you, that's when","Outro","Taylor Swift"
