"line","lyric","element","element_artist"
1,"I'm five years old, it's getting cold, I've got my big coat on","Verse 1","Taylor Swift"
2,"I hear your laugh and look up smiling at you, I run and run","Verse 1","Taylor Swift"
3,"Past the pumpkin patch and the tractor rides","Verse 1","Taylor Swift"
4,"Look now, the sky is gold","Verse 1","Taylor Swift"
5,"I hug your legs and fall asleep on the way home","Verse 1","Taylor Swift"
6,"I don't know why all the trees change in the fall","Chorus","Taylor Swift"
7,"But I know you're not scared of anything at all","Chorus","Taylor Swift"
8,"Don't know if Snow White's house is near or far away","Chorus","Taylor Swift"
9,"But I know I had the best day with you today","Chorus","Taylor Swift"
10,"I'm thirteen now","Verse 2","Taylor Swift"
11,"And don't know how my friends could be so mean","Verse 2","Taylor Swift"
12,"I come home crying and you hold me tight and grab the keys","Verse 2","Taylor Swift"
13,"And we drive and drive until we found a town far enough away","Verse 2","Taylor Swift"
14,"And we talk and window shop 'til I've forgotten all their names","Verse 2","Taylor Swift"
15,"I don't know who I'm going to talk to now at school","Chorus","Taylor Swift"
16,"But I know I'm laughing on the car ride home with you","Chorus","Taylor Swift"
17,"Don't know how long it's going to take to feel okay","Chorus","Taylor Swift"
18,"But I know I had the best day with you today","Chorus","Taylor Swift"
19,"I have an excellent father, his strength is making me stronger","Bridge","Taylor Swift"
20,"God smiles on my little brother, inside and out","Bridge","Taylor Swift"
21,"He's better than I am","Bridge","Taylor Swift"
22,"I grew up in a pretty house and I had space to run","Bridge","Taylor Swift"
23,"And I had the best days with you","Bridge","Taylor Swift"
24,"There is a video I found from back when I was three","Verse 3","Taylor Swift"
25,"You set up a paint set in the kitchen and you're talking to me","Verse 3","Taylor Swift"
26,"It's the age of princesses and pirate ships and the seven dwarves","Verse 3","Taylor Swift"
27,"Daddy's smart","Verse 3","Taylor Swift"
28,"And you're the prettiest lady in the whole wide world","Verse 3","Taylor Swift"
29,"Now I know why all the trees change in the fall","Chorus","Taylor Swift"
30,"I know you were on my side even when I was wrong","Chorus","Taylor Swift"
31,"And I love you for giving me your eyes","Chorus","Taylor Swift"
32,"For staying back and watching me shine","Chorus","Taylor Swift"
33,"And I didn't know if you knew, so I'm taking this chance to say","Chorus","Taylor Swift"
34,"That I had the best day with you today","Chorus","Taylor Swift"
