"line","lyric","element","element_artist"
1,"My knuckles were bruised like violets","Verse 1","Taylor Swift"
2,"Sucker punching walls, cursed you as I sleep talked","Verse 1","Taylor Swift"
3,"Spineless in my tomb of silence","Verse 1","Taylor Swift"
4,"Tore your banners down, took the battle underground","Verse 1","Taylor Swift"
5,"And maybe it was ego swinging","Verse 1","Taylor Swift"
6,"Maybe, it was her","Verse 1","Taylor Swift"
7,"Flashes of the battle come back to me in a blur","Verse 1","Taylor Swift"
8,"All that blood shed, crimson clover","Chorus","Taylor Swift"
9,"Uh-huh, sweet dream was over","Chorus","Taylor Swift"
10,"My hand was the one you reached for","Chorus","Taylor Swift"
11,"All throughout the Great War","Chorus","Taylor Swift"
12,"Always remember","Chorus","Taylor Swift"
13,"Uh-huh, tears on the letter","Chorus","Taylor Swift"
14,"I vowed not to cry anymore","Chorus","Taylor Swift"
15,"If we survived the Great War","Chorus","Taylor Swift"
16,"You drew up some good faith treaties","Verse 2","Taylor Swift"
17,"I drew curtains closed, drank my poison all alone","Verse 2","Taylor Swift"
18,"You said I have to trust more freely","Verse 2","Taylor Swift"
19,"But diesel is desire, you were playing with fire","Verse 2","Taylor Swift"
20,"And maybe it's the past that's talking","Verse 2","Taylor Swift"
21,"Screaming from a crypt","Verse 2","Taylor Swift"
22,"Telling me to punish you for things you never did","Verse 2","Taylor Swift"
23,"So I justified it","Verse 2","Taylor Swift"
24,"All that blood shed, crimson clover","Chorus","Taylor Swift"
25,"Uh-huh, the bombs were close and","Chorus","Taylor Swift"
26,"My hand was the one you reached for","Chorus","Taylor Swift"
27,"All throughout the Great War","Chorus","Taylor Swift"
28,"Always remember","Chorus","Taylor Swift"
29,"Uh-huh, the burning embers","Chorus","Taylor Swift"
30,"I vowed not to fight anymore","Chorus","Taylor Swift"
31,"If we survived the Great War","Chorus","Taylor Swift"
32,"Uh-huh, uh-huh","Post-Chorus","Taylor Swift"
33,"It turned into something bigger","Bridge","Taylor Swift"
34,"Somewhere in the haze got a sense I'd been betrayed","Bridge","Taylor Swift"
35,"Your finger on my hair pin triggers","Bridge","Taylor Swift"
36,"Hold you down on that icy ground, looked up at me with honor and truth","Bridge","Taylor Swift"
37,"Broken and blue, so I called off the troops","Bridge","Taylor Swift"
38,"That was the night I nearly lost you","Bridge","Taylor Swift"
39,"I really thought I lost you","Bridge","Taylor Swift"
40,"We can plant a memory garden","Verse 3","Taylor Swift"
41,"Say a solemn prayer, place a poppy in my hair","Verse 3","Taylor Swift"
42,"There's no morning glory, it was war, it wasn't fair","Verse 3","Taylor Swift"
43,"And we will never go back","Verse 3","Taylor Swift"
44,"To that bloodshed, crimson clover","Chorus","Taylor Swift"
45,"Uh-huh, the worst was over","Chorus","Taylor Swift"
46,"My hand was the one you reached for","Chorus","Taylor Swift"
47,"All throughout the Great War","Chorus","Taylor Swift"
48,"Always remember","Chorus","Taylor Swift"
49,"Uh-huh, we burn for better","Chorus","Taylor Swift"
50,"I vowed I would always be yours","Chorus","Taylor Swift"
51,"'Cause we survived the Great War","Chorus","Taylor Swift"
52,"Uh-huh, uh-huh","Outro","Taylor Swift"
53,"I would always be yours","Outro","Taylor Swift"
54,"'Cause we survived the Great War","Outro","Taylor Swift"
55,"Uh-huh","Outro","Taylor Swift"
56,"I vowed I would always be yours","Outro","Taylor Swift"
